PID	Ass. Year	Improvements	Land	Total	CollectedOn
27	2023	327100	210000	537100	2024-12-03
27	2022	327100	210000	537100	2024-12-03
28	2025	322000	244000	566000	2024-12-03
28	2023	302000	244000	546000	2024-12-03
28	2022	298800	244000	542800	2024-12-03
29	2025	420400	235700	656100	2024-12-03
29	2023	420400	235700	656100	2024-12-03
29	2022	420400	235700	656100	2024-12-03
30	2025	275300	218200	493500	2024-12-03
30	2023	275300	218200	493500	2024-12-03
30	2022	275300	218200	493500	2024-12-03
32	2025	136200	146800	283000	2024-12-03
32	2023	136200	146800	283000	2024-12-03
32	2022	131000	146800	277800	2024-12-03
33	2025	176400	151600	328000	2024-12-03
33	2023	176400	151600	328000	2024-12-03
33	2022	176400	151600	328000	2024-12-03
34	2025	395200	157700	552900	2024-12-03
34	2023	395200	157700	552900	2024-12-03
34	2022	395200	157700	552900	2024-12-03
35	2025	0	29200	29200	2024-12-03
35	2023	0	29200	29200	2024-12-03
35	2022	0	29200	29200	2024-12-03
36	2025	415200	416200	831400	2024-12-03
36	2023	377800	416200	794000	2024-12-03
36	2022	303000	416200	719200	2024-12-03
37	2025	297500	353000	650500	2024-12-03
37	2023	297500	353000	650500	2024-12-03
37	2022	297500	353000	650500	2024-12-03
40	2025	0	43000	43000	2024-12-03
40	2023	0	43000	43000	2024-12-03
40	2022	0	43000	43000	2024-12-03
41	2025	447000	186000	633000	2024-12-03
41	2023	447000	186000	633000	2024-12-03
41	2022	447000	186000	633000	2024-12-03
42	2025	269800	218700	488500	2024-12-03
42	2023	269800	218700	488500	2024-12-03
42	2022	269800	218700	488500	2024-12-03
43	2025	137300	208300	345600	2024-12-03
43	2023	137300	208300	345600	2024-12-03
43	2022	137300	208300	345600	2024-12-03
50	2025	194300	0	194300	2024-12-03
50	2023	194300	0	194300	2024-12-03
50	2022	194300	0	194300	2024-12-03
51	2025	197400	0	197400	2024-12-03
51	2023	197400	0	197400	2024-12-03
51	2022	197400	0	197400	2024-12-03
52	2025	184100	0	184100	2024-12-03
52	2023	184100	0	184100	2024-12-03
52	2022	184100	0	184100	2024-12-03
53	2025	208500	0	208500	2024-12-03
53	2023	208500	0	208500	2024-12-03
53	2022	208500	0	208500	2024-12-03
54	2025	179900	0	179900	2024-12-03
54	2023	179900	0	179900	2024-12-03
54	2022	179900	0	179900	2024-12-03
55	2025	195600	0	195600	2024-12-03
55	2023	195600	0	195600	2024-12-03
55	2022	195600	0	195600	2024-12-03
56	2025	545500	234500	780000	2024-12-03
56	2023	1025200	234500	1259700	2024-12-03
56	2022	976100	234500	1210600	2024-12-03
57	2025	734700	230000	964700	2024-12-03
57	2023	734700	230000	964700	2024-12-03
57	2022	734700	230000	964700	2024-12-03
58	2025	653600	262000	915600	2024-12-03
58	2023	653600	262000	915600	2024-12-03
58	2022	653600	262000	915600	2024-12-03
59	2025	355300	156500	511800	2024-12-03
59	2023	355300	156500	511800	2024-12-03
59	2022	355300	156500	511800	2024-12-03
60	2025	485100	218900	704000	2024-12-03
60	2023	485100	218900	704000	2024-12-03
60	2022	485100	218900	704000	2024-12-03
62	2025	515100	163900	679000	2024-12-03
62	2023	515100	163900	679000	2024-12-03
62	2022	498400	163900	662300	2024-12-03
63	2025	258400	232100	490500	2024-12-03
63	2023	258400	232100	490500	2024-12-03
63	2022	258400	232100	490500	2024-12-03
64	2025	103900	218200	322100	2024-12-03
64	2023	103900	218200	322100	2024-12-03
64	2022	103900	218200	322100	2024-12-03
65	2025	493400	228900	722300	2024-12-03
65	2023	482500	228900	711400	2024-12-03
65	2022	436100	228900	665000	2024-12-03
66	2025	235300	230900	466200	2024-12-03
66	2023	218800	230900	449700	2024-12-03
66	2022	218800	230900	449700	2024-12-03
67	2025	0	103200	103200	2024-12-03
67	2023	0	103200	103200	2024-12-03
67	2022	0	103200	103200	2024-12-03
68	2025	127000	157100	284100	2024-12-03
68	2023	127000	157100	284100	2024-12-03
68	2022	127000	157100	284100	2024-12-03
69	2025	0	8600	8600	2024-12-03
69	2023	0	8600	8600	2024-12-03
69	2022	0	8600	8600	2024-12-03
76	2025	568500	234400	802900	2024-12-03
76	2023	519800	234400	754200	2024-12-03
76	2022	519800	234400	754200	2024-12-03
77	2025	343500	234900	578400	2024-12-03
77	2023	343500	234900	578400	2024-12-03
77	2022	343500	234900	578400	2024-12-03
78	2025	173800	216500	390300	2024-12-03
78	2023	173800	216500	390300	2024-12-03
78	2022	173800	216500	390300	2024-12-03
79	2025	116800	216500	333300	2024-12-03
79	2023	116800	216500	333300	2024-12-03
79	2022	116800	216500	333300	2024-12-03
80	2025	352100	317200	669300	2024-12-03
80	2023	301600	317200	618800	2024-12-03
80	2022	301600	317200	618800	2024-12-03
81	2025	92200	233300	325500	2024-12-03
81	2023	92200	233300	325500	2024-12-03
81	2022	92200	233300	325500	2024-12-03
82	2025	217700	199300	417000	2024-12-03
82	2023	217700	199300	417000	2024-12-03
82	2022	217700	199300	417000	2024-12-03
83	2025	190300	161800	352100	2024-12-03
83	2023	190300	161800	352100	2024-12-03
83	2022	190300	161800	352100	2024-12-03
84	2025	3187200	2000100	5187300	2024-12-03
84	2023	3187200	2000100	5187300	2024-12-03
84	2022	3187200	2000100	5187300	2024-12-03
85	2025	0	16900	16900	2024-12-03
85	2023	0	16900	16900	2024-12-03
85	2022	0	16900	16900	2024-12-03
86	2025	471700	228900	700600	2024-12-03
86	2023	471700	228900	700600	2024-12-03
86	2022	471700	228900	700600	2024-12-03
87	2025	379700	256000	635700	2024-12-03
87	2023	379700	256000	635700	2024-12-03
87	2022	379700	256000	635700	2024-12-03
88	2025	43200	113400	156600	2024-12-03
88	2023	43200	113400	156600	2024-12-03
88	2022	43200	113400	156600	2024-12-03
89	2025	269500	238500	508000	2024-12-03
89	2023	269500	238900	508400	2024-12-03
89	2022	252300	239000	491300	2024-12-03
91	2025	526300	277000	803300	2024-12-03
91	2023	526300	277000	803300	2024-12-03
91	2022	526300	277000	803300	2024-12-03
92	2025	77800	179500	257300	2024-12-03
92	2023	77800	179500	257300	2024-12-03
92	2022	77800	179500	257300	2024-12-03
93	2025	548900	204300	753200	2024-12-03
93	2023	548900	204300	753200	2024-12-03
93	2022	548900	204300	753200	2024-12-03
94	2025	385500	179200	564700	2024-12-03
94	2023	385500	179200	564700	2024-12-03
94	2022	385500	179200	564700	2024-12-03
95	2025	410100	207600	617700	2024-12-03
95	2023	410100	207600	617700	2024-12-03
95	2022	410100	207600	617700	2024-12-03
99	2025	328500	0	328500	2024-12-03
99	2023	328500	0	328500	2024-12-03
99	2022	328500	0	328500	2024-12-03
101	2025	543900	0	543900	2024-12-03
101	2023	543900	0	543900	2024-12-03
101	2022	543900	0	543900	2024-12-03
102	2025	7500	104000	111500	2024-12-03
102	2023	7500	104000	111500	2024-12-03
102	2022	7500	104000	111500	2024-12-03
103	2025	121800	185100	306900	2024-12-03
103	2023	121800	185100	306900	2024-12-03
103	2022	121800	185100	306900	2024-12-03
104	2025	1055000	394300	1449300	2024-12-03
104	2023	1055000	394300	1449300	2024-12-03
104	2022	1055000	394300	1449300	2024-12-03
105	2025	236100	274300	510400	2024-12-03
105	2023	236100	274300	510400	2024-12-03
105	2022	236100	274300	510400	2024-12-03
106	2025	1421000	488300	1909300	2024-12-03
106	2023	1421000	488300	1909300	2024-12-03
106	2022	1421000	488300	1909300	2024-12-03
107	2025	359500	263700	623200	2024-12-03
107	2023	359500	263700	623200	2024-12-03
107	2022	359500	263700	623200	2024-12-03
111	2025	4400	424700	429100	2024-12-03
111	2023	4400	424700	429100	2024-12-03
111	2022	4400	424700	429100	2024-12-03
115	2025	148600	123500	272100	2024-12-03
115	2023	89200	123500	212700	2024-12-03
115	2022	51000	123500	174500	2024-12-03
116	2025	249500	148200	397700	2024-12-03
116	2023	249500	148200	397700	2024-12-03
116	2022	249500	148200	397700	2024-12-03
117	2025	435400	0	435400	2024-12-03
117	2023	435400	0	435400	2024-12-03
117	2022	426300	0	426300	2024-12-03
118	2025	155800	405100	560900	2024-12-03
118	2023	155800	405100	560900	2024-12-03
118	2022	155800	405100	560900	2024-12-03
120	2025	462100	360800	822900	2024-12-03
120	2023	462100	360800	822900	2024-12-03
120	2022	462100	360800	822900	2024-12-03
121	2025	187800	143700	331500	2024-12-03
121	2023	124500	143700	268200	2024-12-03
121	2022	2900	143700	146600	2024-12-03
122	2025	273000	133300	406300	2024-12-03
122	2023	273000	133300	406300	2024-12-03
122	2022	273000	133300	406300	2024-12-03
123	2025	151900	132200	284100	2024-12-03
123	2023	151900	132200	284100	2024-12-03
123	2022	151900	132200	284100	2024-12-03
124	2025	354900	223000	577900	2024-12-03
124	2023	354900	223000	577900	2024-12-03
124	2022	354900	223000	577900	2024-12-03
125	2025	272000	155700	427700	2024-12-03
125	2023	272000	155700	427700	2024-12-03
125	2022	272000	155700	427700	2024-12-03
127	2025	240200	153300	393500	2024-12-03
127	2023	240200	153300	393500	2024-12-03
127	2022	240200	153300	393500	2024-12-03
128	2025	395000	188500	583500	2024-12-03
128	2023	395000	188500	583500	2024-12-03
128	2022	395000	188500	583500	2024-12-03
129	2025	182300	157500	339800	2024-12-03
129	2023	182300	157500	339800	2024-12-03
129	2022	182300	157500	339800	2024-12-03
132	2025	0	40300	40300	2024-12-03
132	2023	0	40300	40300	2024-12-03
132	2022	0	40300	40300	2024-12-03
133	2025	42000	0	42000	2024-12-03
133	2023	42000	0	42000	2024-12-03
133	2022	42000	0	42000	2024-12-03
136	2025	15200	12200	27400	2024-12-03
136	2023	15200	12200	27400	2024-12-03
136	2022	15200	12200	27400	2024-12-03
137	2025	46900	189400	236300	2024-12-03
137	2023	46900	189400	236300	2024-12-03
137	2022	46900	189400	236300	2024-12-03
138	2025	1194500	246000	1440500	2024-12-03
138	2023	1194500	246000	1440500	2024-12-03
138	2022	1194500	246000	1440500	2024-12-03
139	2025	84900	166400	251300	2024-12-03
139	2023	81400	166400	247800	2024-12-03
139	2022	81400	166400	247800	2024-12-03
140	2025	595300	151500	746800	2024-12-03
140	2023	595300	151500	746800	2024-12-03
140	2022	575300	151500	726800	2024-12-03
142	2025	183800	209900	393700	2024-12-03
142	2023	183800	209900	393700	2024-12-03
142	2022	183800	209900	393700	2024-12-03
143	2025	334100	206900	541000	2024-12-03
143	2023	334100	206900	541000	2024-12-03
143	2022	334100	206900	541000	2024-12-03
144	2025	143600	133000	276600	2024-12-03
144	2023	145200	133000	278200	2024-12-03
144	2022	145200	133000	278200	2024-12-03
148	2025	163800	142700	306500	2024-12-03
148	2023	163800	142700	306500	2024-12-03
148	2022	163800	142700	306500	2024-12-03
149	2025	385600	171200	556800	2024-12-03
149	2023	385600	171200	556800	2024-12-03
149	2022	385600	171200	556800	2024-12-03
150	2025	402500	170200	572700	2024-12-03
150	2023	402500	170200	572700	2024-12-03
150	2022	410700	170200	580900	2024-12-03
151	2025	0	218500	218500	2024-12-03
151	2023	0	218500	218500	2024-12-03
151	2022	0	218500	218500	2024-12-03
152	2025	176000	84800	260800	2024-12-03
152	2023	176000	84800	260800	2024-12-03
152	2022	176000	84800	260800	2024-12-03
153	2025	149400	111300	260700	2024-12-03
153	2023	149400	111300	260700	2024-12-03
153	2022	149400	111300	260700	2024-12-03
154	2025	82500	82400	164900	2024-12-03
154	2023	82500	82400	164900	2024-12-03
154	2022	82500	82400	164900	2024-12-03
159	2025	23700	166100	189800	2024-12-03
159	2023	23700	166100	189800	2024-12-03
159	2022	21200	166100	187300	2024-12-03
161	2025	562100	219600	781700	2024-12-03
161	2023	562100	219600	781700	2024-12-03
161	2022	562100	219600	781700	2024-12-03
162	2025	172300	126800	299100	2024-12-03
162	2023	172300	126800	299100	2024-12-03
162	2022	165400	126800	292200	2024-12-03
163	2025	269600	158900	428500	2024-12-03
163	2023	269600	158900	428500	2024-12-03
163	2022	269600	158900	428500	2024-12-03
164	2025	46200	98300	144500	2024-12-03
164	2023	46200	98300	144500	2024-12-03
164	2022	46200	98300	144500	2024-12-03
167	2025	289300	224000	513300	2024-12-03
167	2023	289300	224000	513300	2024-12-03
167	2022	289300	224000	513300	2024-12-03
168	2025	174500	129600	304100	2024-12-03
168	2023	174500	129600	304100	2024-12-03
168	2022	174500	129600	304100	2024-12-03
169	2025	154200	111100	265300	2024-12-03
169	2023	154200	111100	265300	2024-12-03
169	2022	154200	111100	265300	2024-12-03
170	2025	1225500	266800	1492300	2024-12-03
170	2023	1225500	266800	1492300	2024-12-03
170	2022	1225500	266800	1492300	2024-12-03
171	2025	0	200	200	2024-12-03
171	2023	0	200	200	2024-12-03
171	2022	0	200	200	2024-12-03
172	2025	230600	177800	408400	2024-12-03
172	2023	0	300	300	2024-12-03
172	2022	0	300	300	2024-12-03
173	2025	465200	146600	611800	2024-12-03
173	2023	465200	146600	611800	2024-12-03
173	2022	465200	146600	611800	2024-12-03
174	2025	152300	132200	284500	2024-12-03
174	2023	152300	132200	284500	2024-12-03
174	2022	152300	132200	284500	2024-12-03
176	2025	156600	137900	294500	2024-12-03
176	2023	156600	137900	294500	2024-12-03
176	2022	156600	137900	294500	2024-12-03
177	2025	87900	129800	217700	2024-12-03
177	2023	81400	129800	211200	2024-12-03
177	2022	81400	129800	211200	2024-12-03
178	2025	231800	126600	358400	2024-12-03
178	2023	231800	126600	358400	2024-12-03
178	2022	231800	126600	358400	2024-12-03
179	2025	149400	138100	287500	2024-12-03
179	2023	149400	138100	287500	2024-12-03
179	2022	149400	138100	287500	2024-12-03
180	2025	597800	214100	811900	2024-12-03
180	2023	597800	214300	812100	2024-12-03
180	2022	597800	214300	812100	2024-12-03
181	2025	0	2400	2400	2024-12-03
181	2023	0	2500	2500	2024-12-03
181	2022	0	2500	2500	2024-12-03
182	2025	546700	177800	724500	2024-12-03
182	2023	546700	178200	724900	2024-12-03
182	2022	507900	178200	686100	2024-12-03
183	2025	282900	103000	385900	2024-12-03
183	2023	282900	103000	385900	2024-12-03
183	2022	282900	103000	385900	2024-12-03
187	2025	314000	170600	484600	2024-12-03
187	2023	314000	170800	484800	2024-12-03
187	2022	314000	170900	484900	2024-12-03
188	2025	641500	259900	901400	2024-12-03
188	2023	613900	260000	873900	2024-12-03
188	2022	613900	260000	873900	2024-12-03
189	2025	8500	43400	51900	2024-12-03
189	2023	8500	44800	53300	2024-12-03
189	2022	8500	44800	53300	2024-12-03
190	2025	0	800	800	2024-12-03
190	2023	0	1000	1000	2024-12-03
190	2022	0	1000	1000	2024-12-03
191	2025	0	5000	5000	2024-12-03
191	2023	0	5700	5700	2024-12-03
191	2022	0	6000	6000	2024-12-03
192	2025	0	17900	17900	2024-12-03
192	2023	0	24100	24100	2024-12-03
192	2022	0	25500	25500	2024-12-03
194	2025	0	100	100	2024-12-03
194	2023	0	100	100	2024-12-03
194	2022	0	100	100	2024-12-03
195	2025	343500	176200	519700	2024-12-03
195	2023	343500	176200	519700	2024-12-03
195	2022	343500	176200	519700	2024-12-03
197	2025	0	2300	2300	2024-12-03
197	2023	0	2600	2600	2024-12-03
197	2022	0	2500	2500	2024-12-03
201	2025	322700	134200	456900	2024-12-03
201	2023	322700	134700	457400	2024-12-03
201	2022	322700	134800	457500	2024-12-03
202	2025	420600	291100	711700	2024-12-03
202	2023	420600	292700	713300	2024-12-03
202	2022	418600	293300	711900	2024-12-03
203	2025	232400	125100	357500	2024-12-03
203	2023	232400	125100	357500	2024-12-03
203	2022	232400	125100	357500	2024-12-03
204	2025	396000	322800	718800	2024-12-03
204	2023	396000	324500	720500	2024-12-03
204	2022	396000	324800	720800	2024-12-03
206	2025	606800	135500	742300	2024-12-03
206	2023	606800	135700	742500	2024-12-03
206	2022	606800	135800	742600	2024-12-03
207	2025	1700	51500	53200	2024-12-03
207	2023	1700	52300	54000	2024-12-03
207	2022	1700	52700	54400	2024-12-03
208	2025	136600	142400	279000	2024-12-03
208	2023	136600	142400	279000	2024-12-03
208	2022	180600	142400	323000	2024-12-03
209	2025	124500	143300	267800	2024-12-03
209	2023	124500	143300	267800	2024-12-03
209	2022	124500	143300	267800	2024-12-03
210	2025	193800	143300	337100	2024-12-03
210	2023	193800	143300	337100	2024-12-03
210	2022	193800	143300	337100	2024-12-03
217	2025	0	1700	1700	2024-12-03
217	2023	0	2500	2500	2024-12-03
217	2022	0	2600	2600	2024-12-03
219	2025	176100	164500	340600	2024-12-03
219	2023	176100	164500	340600	2024-12-03
219	2022	176100	164500	340600	2024-12-03
220	2025	180400	108100	288500	2024-12-03
220	2023	180400	108100	288500	2024-12-03
220	2022	180400	108100	288500	2024-12-03
221	2025	221900	95600	317500	2024-12-03
221	2023	221900	95600	317500	2024-12-03
221	2022	221900	95600	317500	2024-12-03
222	2025	269100	168700	437800	2024-12-03
222	2023	269100	168700	437800	2024-12-03
222	2022	269100	168700	437800	2024-12-03
223	2025	346400	125800	472200	2024-12-03
223	2023	334100	125900	460000	2024-12-03
223	2022	334100	125900	460000	2024-12-03
224	2025	234300	215300	449600	2024-12-03
224	2023	234300	215300	449600	2024-12-03
224	2022	234300	215300	449600	2024-12-03
225	2025	69400	176600	246000	2024-12-03
225	2023	86100	176600	262700	2024-12-03
225	2022	86100	176600	262700	2024-12-03
229	2025	344200	179600	523800	2024-12-03
229	2023	312700	179600	492300	2024-12-03
229	2022	312700	179600	492300	2024-12-03
230	2025	0	1800	1800	2024-12-03
230	2023	0	2500	2500	2024-12-03
230	2022	0	2800	2800	2024-12-03
231	2025	0	91300	91300	2024-12-03
231	2023	0	91300	91300	2024-12-03
231	2022	82800	91300	174100	2024-12-03
232	2025	72200	57800	130000	2024-12-03
232	2023	72200	57800	130000	2024-12-03
232	2022	72200	57800	130000	2024-12-03
233	2025	81500	65100	146600	2024-12-03
233	2023	81500	65100	146600	2024-12-03
233	2022	81500	65100	146600	2024-12-03
234	2025	228500	134400	362900	2024-12-03
234	2023	228500	134400	362900	2024-12-03
234	2022	228500	134400	362900	2024-12-03
235	2025	455900	169300	625200	2024-12-03
235	2023	455900	169300	625200	2024-12-03
235	2022	455900	169300	625200	2024-12-03
236	2025	184400	119700	304100	2024-12-03
236	2023	184400	119700	304100	2024-12-03
236	2022	184400	119700	304100	2024-12-03
237	2025	45100	88200	133300	2024-12-03
237	2023	45100	88200	133300	2024-12-03
237	2022	45100	88200	133300	2024-12-03
238	2025	149100	133300	282400	2024-12-03
238	2023	149100	133300	282400	2024-12-03
238	2022	149100	133300	282400	2024-12-03
241	2025	62700	160900	223600	2024-12-03
241	2023	62700	163000	225700	2024-12-03
241	2022	143900	163300	307200	2024-12-03
243	2025	0	900	900	2024-12-03
243	2023	0	900	900	2024-12-03
243	2022	0	900	900	2024-12-03
244	2025	0	800	800	2024-12-03
244	2023	0	800	800	2024-12-03
244	2022	0	800	800	2024-12-03
245	2025	193200	115700	308900	2024-12-03
245	2023	193200	115700	308900	2024-12-03
245	2022	193200	115700	308900	2024-12-03
246	2025	0	6100	6100	2024-12-03
246	2023	0	6100	6100	2024-12-03
246	2022	0	6200	6200	2024-12-03
247	2025	13400	149200	162600	2024-12-03
247	2023	13400	149200	162600	2024-12-03
247	2022	13400	149200	162600	2024-12-03
248	2025	126300	137700	264000	2024-12-03
248	2023	126300	137700	264000	2024-12-03
248	2022	126300	137700	264000	2024-12-03
249	2025	155900	144300	300200	2024-12-03
249	2023	155900	144300	300200	2024-12-03
249	2022	155900	144300	300200	2024-12-03
250	2025	0	2500	2500	2024-12-03
250	2023	0	2700	2700	2024-12-03
250	2022	0	2700	2700	2024-12-03
251	2025	397000	231700	628700	2024-12-03
251	2023	367000	232100	599100	2024-12-03
251	2022	367000	232200	599200	2024-12-03
252	2025	176700	143800	320500	2024-12-03
252	2023	176700	144200	320900	2024-12-03
252	2022	176700	144300	321000	2024-12-03
253	2025	227100	150400	377500	2024-12-03
253	2023	212100	150400	362500	2024-12-03
253	2022	212100	150400	362500	2024-12-03
254	2025	416800	150700	567500	2024-12-03
254	2023	356800	150700	507500	2024-12-03
254	2022	356800	150800	507600	2024-12-03
255	2025	575400	129400	704800	2024-12-03
255	2023	523800	129400	653200	2024-12-03
255	2022	471100	129400	600500	2024-12-03
256	2025	1367900	364300	1732200	2024-12-03
256	2023	1367900	364300	1732200	2024-12-03
256	2022	1367900	364300	1732200	2024-12-03
257	2025	56900	130700	187600	2024-12-03
257	2023	56900	130700	187600	2024-12-03
257	2022	56900	130700	187600	2024-12-03
258	2025	378800	0	378800	2024-12-03
258	2023	378800	0	378800	2024-12-03
258	2022	378800	0	378800	2024-12-03
259	2025	2454700	592700	3047400	2024-12-03
259	2023	2454700	592700	3047400	2024-12-03
259	2022	2454700	592700	3047400	2024-12-03
260	2025	70800	164500	235300	2024-12-03
260	2023	82600	164500	247100	2024-12-03
260	2022	82600	164500	247100	2024-12-03
267	2025	72400	122600	195000	2024-12-03
267	2023	66900	122600	189500	2024-12-03
267	2022	66900	122600	189500	2024-12-03
270	2025	54400	117800	172200	2024-12-03
270	2023	54400	117800	172200	2024-12-03
270	2022	54400	117800	172200	2024-12-03
271	2025	293800	127600	421400	2024-12-03
271	2023	293800	127600	421400	2024-12-03
271	2022	293800	127600	421400	2024-12-03
272	2025	0	11300	11300	2024-12-03
272	2023	0	11300	11300	2024-12-03
272	2022	0	11300	11300	2024-12-03
273	2025	32800	100700	133500	2024-12-03
273	2023	32800	100700	133500	2024-12-03
273	2022	32800	100700	133500	2024-12-03
274	2025	230700	139000	369700	2024-12-03
274	2023	230700	139000	369700	2024-12-03
274	2022	230700	139000	369700	2024-12-03
275	2025	15500	109800	125300	2024-12-03
275	2023	15500	109800	125300	2024-12-03
275	2022	15500	109800	125300	2024-12-03
276	2025	133100	173400	306500	2024-12-03
276	2023	133100	173400	306500	2024-12-03
276	2022	133100	173400	306500	2024-12-03
277	2025	0	1500	1500	2024-12-03
277	2023	0	1500	1500	2024-12-03
277	2022	0	1500	1500	2024-12-03
278	2025	147100	178900	326000	2024-12-03
278	2023	147100	180100	327200	2024-12-03
278	2022	147100	180500	327600	2024-12-03
279	2025	161300	176800	338100	2024-12-03
279	2023	161300	176800	338100	2024-12-03
279	2022	161300	176800	338100	2024-12-03
280	2025	0	7500	7500	2024-12-03
280	2023	0	8200	8200	2024-12-03
280	2022	0	8400	8400	2024-12-03
283	2025	25500	171600	197100	2024-12-03
283	2023	25500	171600	197100	2024-12-03
283	2022	25500	171600	197100	2024-12-03
287	2025	566500	297100	863600	2024-12-03
287	2023	566500	297100	863600	2024-12-03
287	2022	566500	297100	863600	2024-12-03
288	2025	245600	328100	573700	2024-12-03
288	2023	245600	328100	573700	2024-12-03
288	2022	245600	328100	573700	2024-12-03
290	2025	618200	290500	908700	2024-12-03
290	2023	618200	290500	908700	2024-12-03
290	2022	618200	290500	908700	2024-12-03
291	2025	0	6400	6400	2024-12-03
291	2023	0	6400	6400	2024-12-03
291	2022	0	6400	6400	2024-12-03
292	2025	376400	173300	549700	2024-12-03
292	2023	376400	174300	550700	2024-12-03
292	2022	376500	174000	550500	2024-12-03
294	2025	411100	179900	591000	2024-12-03
294	2023	411100	180700	591800	2024-12-03
294	2022	411100	180800	591900	2024-12-03
295	2025	132400	104100	236500	2024-12-03
295	2023	132400	104100	236500	2024-12-03
295	2022	132400	104100	236500	2024-12-03
296	2025	131100	0	131100	2024-12-03
296	2023	131100	0	131100	2024-12-03
296	2022	131100	0	131100	2024-12-03
297	2025	40800	88400	129200	2024-12-03
297	2023	40800	88400	129200	2024-12-03
297	2022	40800	88400	129200	2024-12-03
298	2025	168100	118200	286300	2024-12-03
298	2023	168100	118200	286300	2024-12-03
298	2022	168100	118200	286300	2024-12-03
299	2025	108200	133400	241600	2024-12-03
299	2023	108200	133400	241600	2024-12-03
299	2022	108200	133400	241600	2024-12-03
300	2025	116500	93400	209900	2024-12-03
300	2023	116500	93400	209900	2024-12-03
300	2022	116500	93400	209900	2024-12-03
301	2025	197200	148700	345900	2024-12-03
301	2023	197200	148800	346000	2024-12-03
301	2022	197200	148800	346000	2024-12-03
303	2025	398500	179200	577700	2024-12-03
303	2023	392100	179200	571300	2024-12-03
303	2022	392100	179200	571300	2024-12-03
306	2025	252100	220000	472100	2024-12-03
306	2023	252100	220000	472100	2024-12-03
306	2022	252100	220000	472100	2024-12-03
307	2025	520400	260000	780400	2024-12-03
307	2023	498100	260400	758500	2024-12-03
307	2022	498100	260400	758500	2024-12-03
308	2025	280100	196600	476700	2024-12-03
308	2023	280100	196600	476700	2024-12-03
308	2022	280100	196600	476700	2024-12-03
309	2025	283000	304300	587300	2024-12-03
309	2023	283000	306100	589100	2024-12-03
309	2022	283000	306800	589800	2024-12-03
310	2025	511300	182400	693700	2024-12-03
310	2023	511300	183100	694400	2024-12-03
310	2022	511300	183400	694700	2024-12-03
311	2025	0	10500	10500	2024-12-03
311	2023	0	14500	14500	2024-12-03
311	2022	0	15600	15600	2024-12-03
313	2025	675600	428300	1103900	2024-12-03
313	2023	675600	429800	1105400	2024-12-03
313	2022	675600	430100	1105700	2024-12-03
315	2025	484200	174900	659100	2024-12-03
315	2023	484200	174900	659100	2024-12-03
315	2022	484200	174900	659100	2024-12-03
316	2025	229500	180700	410200	2024-12-03
316	2023	229500	180700	410200	2024-12-03
