PID	Building #	Year Built	Living Area	Replacement Cost	Percent Good	Value after Depreciation	Style	Model	Grade	Stories	Total Bedrooms	Total Bthrms	Total Half Baths	Total Rooms	Num Kitchens	Gross Floor Area	Living Area	CollectedOn
33	1	1854	1,608	213660	76	162400	Antique	Residential	Average	1.5	3	2	0	6	01	3,368	1,608	2024-03-13
34	1	1850	3,217	440756	85	374600	Antique	Residential	Average +10	1.75	4	3	0	10	01	6,416	3,217	2024-03-13
35	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
36	1	1790	8,514	747858	50	373900	Stor/Off/Apt	Commercial	Average +10	2	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	13,455	8,514	2024-03-13
37	1	1870	3,431	407916	72	293700	Office Bldg	Commercial	Average +10	1.75	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	13	MISSING-Num Kitchens:	4,845	3,431	2024-03-13
39	1	1818	3,544	553413	80	442700	Family Conver.	Residential	Good	2	4	4	2	12	02	5,821	3,544	2024-03-13
39	2	1899	1,404	188719	65	122700	Apt/Garage	Residential	Average +20	2	2	1	 	4	 	2,808	1,404	2024-03-13
39	3	2022	3,036	501865	65	326200	Family Conver.	Residential	Good	2	4	4	 	5	 	4,738	3,036	2024-03-13
40	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
41	1	1800	2,999	475652	90	428100	Antique	Residential	Good	2	3	3	1	11	01	4,903	2,999	2024-03-13
42	1	1969	1,990	304983	72	219600	Cape Cod	Residential	Average +10	1.5	3	2	1	10	01	5,395	1,990	2024-03-13
43	1	1850	1,344	159425	85	135500	Conventional	Residential	Average +20	2	2	1	1	4	01	1,794	1,344	2024-03-13
50	1	1820	936	105719	75	79300	Condominium	Res Condo	Average	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	4	MISSING-Num Kitchens:	1,083	936	2024-03-13
51	1	1820	847	96964	85	82400	Condominium	Res Condo	Average	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	4	MISSING-Num Kitchens:	1,029	847	2024-03-13
52	1	1880	761	86348	80	69100	Condominium	Res Condo	Average	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	4	MISSING-Num Kitchens:	950	761	2024-03-13
53	1	1880	1,038	124700	75	93500	Condominium	Res Condo	Average	1.5	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	4	MISSING-Num Kitchens:	1,384	1,038	2024-03-13
54	1	1880	761	86567	75	64900	Condominium	Res Condo	Average	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	4	MISSING-Num Kitchens:	1,208	761	2024-03-13
55	1	1880	1,150	123941	65	80600	Condominium	Res Condo	Average	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	5	MISSING-Num Kitchens:	1,226	1,150	2024-03-13
56	1	1960	1,519	290932	72	209500	Telephone Bldg	Industrial	Below Average	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	1,534	1,519	2024-03-13
57	1	1780	4,592	771795	90	694600	Antique	Residential	Good +10	2	4	3	1	11	01	7,766	4,592	2024-03-13
58	1	1761	3,196	893960	72	643700	Library	Commercial	Average +20	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	7,064	3,196	2024-03-13
59	1	1840	2,864	417970	85	355300	Antique	Residential	Average +20	2	4	2	1	10	01	5,574	2,864	2024-03-13
60	1	1823	3,319	542185	85	460900	Family Conver.	Residential	Good	1.75	4	3	0	11	02	7,594	3,319	2024-03-13
62	1	1946	3,232	555935	85	472500	Colonial	Residential	Good	2	3	3	0	8	01	4,424	3,232	2024-03-13
62	2	1982	648	63214	59	37300	Studio/Garage	Residential	Below Average	2	00	0	0	3	01	1,983	648	2024-03-13
63	1	1870	3,801	385735	67	258400	Apartments	Commercial	Average	1.5	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	6,532	3,801	2024-03-13
64	1	1840	1,640	181822	50	90900	Antique	Residential	Below Average	1.75	2	1	0	7	01	2,762	1,640	2024-03-13
65	1	1808	3,182	529915	80	423900	Antique	Residential	Good	2	4	2	1	9	01	7,066	3,182	2024-03-13
66	1	1800	1,890	232507	76	176700	Family Conver.	Residential	Average	1.75	4	2	1	9	02	3,000	1,890	2024-03-13
67	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
68	1	1845	2,207	168181	60	100900	Conventional	Residential	Below Average	1.75	5	2	0	7	01	4,092	2,207	2024-03-13
69	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
76	1	1840	2,818	571252	90	514100	Antique	Residential	Good +10	1.5	4	3	0	10	01	6,560	2,818	2024-03-13
77	1	1998	2,194	397527	85	337900	Cape Cod	Residential	Good +10	1.75	4	3	1	9	01	4,560	2,194	2024-03-13
78	1	1867	1,510	229964	72	165600	Antique	Residential	Average	1.5	3	2	0	7	01	3,836	1,510	2024-03-13
79	1	1850	1,617	181697	60	109000	Antique	Residential	Below Average	1.5	2	1	0	6	01	3,554	1,617	2024-03-13
80	1	1934	2,336	382777	72	275600	Colonial	Residential	Average +20	2	4	1	1	8	01	4,816	2,336	2024-03-13
81	1	1841	3,073	409428	20	81900	Family Conver.	Residential	Average +10	1.75	4	4	1	11	 	5,970	3,073	2024-03-13
82	1	1840	2,496	283558	72	204200	Family Conver.	Residential	Average	1.5	4	2	1	11	02	4,382	2,496	2024-03-13
83	1	1854	1,429	219863	85	186900	Antique	Residential	Average +10	1.5	3	1	1	6	01	2,989	1,429	2024-03-13
84	1	1959	35,876	4334562	72	3120900	Public School	Commercial	Average +10	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	37,641	35,876	2024-03-13
85	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
86	1	1812	3,256	598992	72	431300	Antique	Residential	Good +10	3	5	2	2	12	01	6,960	3,256	2024-03-13
87	1	1799	2,800	394181	83	327200	Antique	Residential	Average +20	1.5	4	2	0	8	01	6,068	2,800	2024-03-13
88	1	1900	835	89880	45	40400	Ranch	Residential	Minimum	1	2	1	0	5	01	2,059	835	2024-03-13
89	1	1889	2,616	271536	80	217200	Conventional	Residential	Average +20	2	3	2	0	9	01	5,168	2,616	2024-03-13
89	2		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
91	1	1942	3,372	496001	85	421600	Cape Cod	Residential	Good	2	4	4	0	9	01	5,670	3,372	2024-03-13
91	2	2004	728	115930	87	100900	Studio/Garage	Residential	Good	2	00	1	0	1	 	1,456	728	2024-03-13
92	1	1956	888	115128	57	65600	Ranch	Residential	Below Average	1	2	1	0	4	01	1,592	888	2024-03-13
93	1	1928	3,142	578938	90	521000	Colonial	Residential	Good	2	4	3	0	10	01	5,025	3,142	2024-03-13
94	1	1929	2,030	370748	90	333700	Colonial	Residential	Average +20	2	3	2	0	9	01	3,239	2,030	2024-03-13
95	1	1842	2,658	436879	89	388800	Family Conver.	Residential	Good	1.75	5	4	0	12	02	4,907	2,658	2024-03-13
99	1	1900	2,703	312766	72	225200	Stor/Off/Apt	Commercial	Average +10	2	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	4,737	2,703	2024-03-13
101	1	1840	1,755	227439	65	147800	Office Bldg	Commercial	Average	1.5	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	2,376	1,755	2024-03-13
101	2	1978	4,320	360589	57	205500	Stor/Off/Apt	Commercial	Average	2	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	4,464	4,320	2024-03-13
102	1		0	0		0	Accessory Bldg	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
103	1	1949	1,781	171225	62	106200	Conventional	Residential	Average +10	2	4	1	0	8	01	3,158	1,781	2024-03-13
104	1	1973	13,115	1367654	72	984700	Stor/Off/Apt	Commercial	Average +10	2.5	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	21,260	13,115	2024-03-13
105	1	1885	2,542	301897	72	217400	Stor/Off/Apt	Commercial	Average +10	1.75	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	9	MISSING-Num Kitchens:	4,992	2,542	2024-03-13
106	1	1780	14,114	1426871	72	1027300	B&B/Inn	Commercial	Average +20	2	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	20,278	14,114	2024-03-13
106	2	1800	600	66561	80	53200	Cape Cod	Residential	Average	1	1	1	0	3	01	868	600	2024-03-13
106	3	2016	1,684	325187	94	305700	Restaurant	Commercial	Average +20	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	1	MISSING-Num Kitchens:	1,684	1,684	2024-03-13
107	1	1981	4,564	451829	70	316300	Stor/Off/Apt	Commercial	Average +10	2	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	8,257	4,564	2024-03-13
107	2	1981	576	40493	58	23500	Shop	Industrial	Average	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	576	576	2024-03-13
111	1		0	0		0	Accessory Bldg	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
115	1	1850	2,212	297266	30	89200	Antique	Residential	Average +10	2	4	1	1	8	01	4,564	2,212	2024-03-13
116	1	1780	2,233	252163	80	201700	Cape Cod	Residential	Average +10	1.75	4	2	0	8	01	3,846	2,233	2024-03-13
117	1	1821	1,968	269833	85	229400	Antique	Residential	Average +10	1.75	2	2	0	7	01	3,658	1,968	2024-03-13
117	2	2004	360	85017	87	74000	Studio/Garage	Residential	Good +20	1.5	 	0	1	1	 	1,460	360	2024-03-13
118	1	1996	4,032	192165	78	149900	Warehousing	Industrial	Average	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	4,032	4,032	2024-03-13
120	1	1987	25,944	1074115	43	461900	Warehousing	Industrial	Average	2	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	26,290	25,944	2024-03-13
121	1	2021	1,404	191588	65	124500	Ranch	Residential	Average	1	3	2	0	6	01	2,808	1,404	2024-03-13
122	1	1860	2,522	331594	80	265300	Antique	Residential	Average +10	2	5	3	0	10	02	3,420	2,522	2024-03-13
123	1	1953	1,352	196742	76	149500	Ranch	Residential	Average	1	2	2	0	6	01	2,606	1,352	2024-03-13
124	1	1819	3,199	390191	70	273100	Family Conver.	Residential	Average +10	2	4	3	0	11	03	5,172	3,199	2024-03-13
124	2	1960	2,064	120688	60	72400	Service-Shops	Industrial	Below Average	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	2,064	2,064	2024-03-13
125	1	1843	2,458	297102	76	225800	Antique	Residential	Average +10	2	3	1	1	7	01	3,535	2,458	2024-03-13
127	1	1840	2,462	267778	85	227600	Conventional	Residential	Average +20	1.75	4	2	1	7	01	4,638	2,462	2024-03-13
128	1	2011	2,352	182466	90	164200	Conventional	Residential	Average	2	2	2	0	6	01	2,464	2,352	2024-03-13
128	2	2011	2,352	248178	90	223400	Modern/Contemp	Residential	Average	2	3	2	0	6	01	2,464	2,352	2024-03-13
129	1	1905	1,340	202905	80	162300	Antique	Residential	Average	2	3	1	0	6	01	2,554	1,340	2024-03-13
132	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
133	1		0	0		0	Accessory Bldg	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
136	1	1890	192	25392	60	15200	Gvrment Municp	Industrial	Minimum	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	192	192	2024-03-13
137	1	1965	720	77053	60	46200	Clubs/Lodge/Ha	Commercial	Minimum	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	720	720	2024-03-13
138	1	1812	9,928	1566301	72	1127700	Church	Industrial	Average +20	2	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	11,299	9,928	2024-03-13
139	1	1850	730	123322	66	81400	Clubs/Lodge/Ha	Commercial	Minimum	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	1,395	730	2024-03-13
140	1	1780	3,213	628434	90	565600	Antique	Residential	Good +20	1.75	3	3	1	11	01	5,838	3,213	2024-03-13
142	1	1835	1,946	214372	85	182200	Conventional	Residential	Average +20	1.75	3	2	0	8	01	3,314	1,946	2024-03-13
143	1	1850	2,504	419407	76	318700	Antique	Residential	Good	1.5	3	3	0	8	01	4,534	2,504	2024-03-13
144	1	1925	1,367	155495	85	132200	Cape Cod	Residential	Average	1.5	2	1	0	5	01	2,535	1,367	2024-03-13
148	1	1890	1,311	203235	80	162600	Antique	Residential	Average +10	1.75	3	1	0	6	01	2,442	1,311	2024-03-13
149	1	1995	1,952	505568	76	384200	Vet Hospital	Commercial	Average	2.5	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	4,779	1,952	2024-03-13
150	1	2020	920	410718	98	402500	Fire Station V	Industrial	Average	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	5,664	920	2024-03-13
151	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
152	1	1946	1,584	243151	71	172600	Colonial	Residential	Average	2	3	1	1	7	01	2,952	1,584	2024-03-13
153	1	1778	1,238	147297	75	110500	Cape Cod	Residential	Average	1.5	2	1	0	5	01	2,145	1,238	2024-03-13
154	1	1965	1,744	137361	60	82400	Conventional	Residential	Below Average	2	3	1	0	6	01	2,680	1,744	2024-03-13
159	1		0	0		0	Accessory Bldg	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
161	1	2004	8,649	619476	86	532700	Pre-Eng Warhse	Industrial	Excellent	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	9,793	8,649	2024-03-13
162	1	1930	1,608	165746	85	140900	Conventional	Residential	Average +10	2	3	1	1	7	01	2,200	1,608	2024-03-13
163	1	1942	2,168	209472	80	167600	Conventional	Residential	Average +10	2	3	2	0	8	01	3,828	2,168	2024-03-13
163	2	2014	624	97922	94	92000	Studio/Garage	Residential	Average +10	1.75	 	0	0	1	 	2,096	624	2024-03-13
164	1	1829	600	57852	72	41700	Ranch	Residential	Below Average	1	1	1	0	3	01	616	600	2024-03-13
167	1	1966	792	167670	72	120700	Modern/Contemp	Residential	Average	1	3	2	0	6	01	2,059	792	2024-03-13
167	2	1912	2,006	216077	72	155600	Stor/Off/Apt	Commercial	Average	1.75	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	3,241	2,006	2024-03-13
167	3		0	0		0	Accessory Bldg	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
168	1	1968	1,440	219765	72	158200	Ranch	Residential	Average	1	3	2	0	6	01	3,108	1,440	2024-03-13
169	1	1946	1,346	166779	76	126800	Ranch	Residential	Below Average	1	2	2	0	6	01	2,218	1,346	2024-03-13
170	1	1830	1,522	199700	90	179700	Antique	Residential	Average	1.5	2	1	0	7	01	2,778	1,522	2024-03-13
170	2	2008	4,782	953524	96	915400	Town Hall	Industrial	Good	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	8	MISSING-Num Kitchens:	4,928	4,782	2024-03-13
171	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
172	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
173	1	1988	2,577	512170	90	461000	Colonial	Residential	Good	2	4	3	1	8	01	4,960	2,577	2024-03-13
174	1	1994	1,344	174435	77	134300	Ranch	Residential	Below Average	1	3	2	0	5	01	2,856	1,344	2024-03-13
176	1	1981	1,300	211752	72	152500	Ranch	Residential	Average	1	3	2	0	6	01	3,372	1,300	2024-03-13
177	1	1852	1,440	129789	62	80500	Conventional	Residential	Below Average	1	2	1	0	6	01	3,267	1,440	2024-03-13
178	1	1900	1,881	272687	85	231800	Cape Cod	Residential	Average +10	1.75	3	3	0	7	01	3,812	1,881	2024-03-13
179	1	1890	1,453	168856	80	135100	Cape Cod	Residential	Average	1.75	4	1	1	8	01	2,598	1,453	2024-03-13
180	1	1997	3,514	731918	81	592900	Modern/Contemp	Residential	Good +20	2	3	4	1	11	01	6,752	3,514	2024-03-13
181	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
182	1	1989	3,015	575524	85	489200	Modern/Contemp	Residential	Good +10	2	4	3	1	12	01	6,897	3,015	2024-03-13
183	1	2021	2,154	239384	100	239400	Conventional	Residential	Average +20	2	3	2	 	5	 	3,321	2,154	2024-03-13
187	1	1774	2,158	332755	74	246200	Colonial	Residential	Average	2	2	1	1	7	01	5,928	2,158	2024-03-13
187	2	2008	558	46806	91	42600	Studio/Garage	Residential	Average	1	00	0	0	2	 	750	558	2024-03-13
188	1	1964	2,611	326504	90	293900	Ranch	Residential	Average	2	3	3	0	9	01	6,936	2,611	2024-03-13
188	2		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
188	3	2021	1,296	278706	100	278700	Apt/Cust Stbl	Residential	Average +20	2	1	1	 	4	 	7,016	1,296	2024-03-13
189	1		0	0		0	Accessory Bldg	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
190	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
191	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
192	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
194	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
195	1	1795	2,539	359536	90	323600	Antique	Residential	Average +20	1.5	4	2	1	9	01	4,290	2,539	2024-03-13
197	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
201	1	1781	2,298	354262	80	283400	Antique	Residential	Average +20	1.5	5	2	0	8	01	4,960	2,298	2024-03-13
202	1	2013	1,820	304700	97	295600	Cape Cod	Residential	Good +10	1.75	3	3	0	5	 	2,276	1,820	2024-03-13
202	2		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
203	1	1930	2,190	304336	76	231300	Colonial	Residential	Average	2	4	1	1	10	01	3,553	2,190	2024-03-13
204	1	1957	7,211	588589	66	388500	Apartments	Commercial	Below Average	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	13,734	7,211	2024-03-13
204	2		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
206	1	2017	3,703	617478	98	605100	Cape Cod	Residential	Good +20	1.75	4	3	1	9	 	8,275	3,703	2024-03-13
207	1		0	0		0	Accessory Bldg	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
207	2		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
208	1	1952	2,066	217528	60	130500	Cape Cod	Residential	Average	1.75	4	2	0	9	01	4,216	2,066	2024-03-13
209	1	1992	1,037	148485	75	111400	Ranch	Residential	Below Average	1	2	1	1	6	01	2,992	1,037	2024-03-13
210	1	1991	1,813	219394	77	168900	Cape Cod	Residential	Average +10	1.75	3	1	1	6	01	3,357	1,813	2024-03-13
217	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
219	1	1990	1,638	233213	75	174900	Cape Cod	Residential	Average +10	1.75	3	2	0	6	01	4,099	1,638	2024-03-13
220	1	1960	1,508	241139	72	173600	Ranch	Residential	Average +10	1	2	2	0	6	01	3,937	1,508	2024-03-13
221	1	1975	1,966	285977	76	217300	Ranch	Residential	Average	1.5	3	3	0	8	01	4,966	1,966	2024-03-13
222	1	1997	1,766	289484	85	246100	Ranch	Residential	Average +10	1	3	2	0	9	01	3,716	1,766	2024-03-13
223	1	2010	4,488	410600	80	328500	Modern/Contemp	Residential	Average	2	3	3	0	7	 	5,690	4,488	2024-03-13
224	1	1940	1,920	270776	85	230200	Cape Cod	Residential	Average +20	1.75	3	2	0	6	01	3,675	1,920	2024-03-13
225	1	1984	784	43247	71	30700	Mobile Home	Mobile Home	Average +10	1	2	1	0	4	 	948	784	2024-03-13
225	2	2016	868	47611	70	33300	Mobile Home	Mobile Home	Average +10	1	3	1	 	5	 	886	868	2024-03-13
229	1	1784	1,745	335043	90	301500	Antique	Residential	Average +20	1.5	3	3	0	7	01	4,000	1,745	2024-03-13
230	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
231	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
232	1	1979	570	79865	90	71900	Modern/Contemp	Residential	Below Average	1	2	1	1	4	01	1,938	570	2024-03-13
233	1	1975	1,056	154949	52	80600	Ranch	Residential	Average	1	3	1	0	6	01	2,268	1,056	2024-03-13
234	1	2012	1,703	236564	95	224700	Cape Cod	Residential	Average +10	1.75	3	2	1	5	 	3,428	1,703	2024-03-13
235	1	1976	2,523	357412	89	318100	Modern/Contemp	Residential	Average +20	1.75	2	2	0	7	01	4,850	2,523	2024-03-13
235	2	2003	792	102919	87	89500	Studio/Garage	Residential	Good +10	1	00	0	1	 	 	1,296	792	2024-03-13
236	1	1975	2,024	254325	72	183100	Cape Cod	Residential	Average +10	1.75	4	3	0	8	01	3,672	2,024	2024-03-13
237	1	1991	994	49225	77	37900	Mobile Home	Mobile Home	Average	1	3	2	0	5	01	1,210	994	2024-03-13
238	1	1999	1,352	167719	83	139200	Ranch	Residential	Below Average	1	3	2	0	5	01	3,144	1,352	2024-03-13
241	1		0	0		0	Accessory Bldg	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
243	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
244	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
245	1	1965	1,144	214647	90	193200	Ranch	Residential	Average +20	1	2	1	1	5	01	2,577	1,144	2024-03-13
246	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
247	1	1938	775	68195	15	10200	Ranch	Residential	Minimum	1	2	1	0	5	01	1,220	775	2024-03-13
247	2	1955	256	11325	15	1700	Mobile Home	Mobile Home	Minimum	1	1	0	0	3	01	348	256	2024-03-13
248	1	1850	1,712	147617	71	104800	Conventional	Residential	Average	2	2	1	0	5	01	2,490	1,712	2024-03-13
249	1	1988	1,512	218576	68	148600	Cape Cod	Residential	Average +10	1.75	3	2	0	6	01	3,400	1,512	2024-03-13
