PID	Code	Description	Units	UnitType	CollectedOn
251	6514	FARMR-4	5	AC	2024-11-26
252	6236	HWUNR-6	27	AC	2024-11-26
254	6516	FARMR-6	25	AC	2024-11-26
254	6810	WETLANDS-REC	3	AC	2024-11-26
254	6216	HWMR-6	23	AC	2024-11-26
277	6516	FARMR-6	1	AC	2024-11-26
277	6516	FARMR-6	3	AC	2024-11-26
278	6505	FARM-5	16	AC	2024-11-26
278	6030	WATERFR FF	90	FF	2024-11-26
278	6125	WPUN-5	25	AC	2024-11-26
280	6515	FARMR-5	1	AC	2024-11-26
280	6515	FARMR-5	15	AC	2024-11-26
280	6115	WPMR-5	30	AC	2024-11-26
280	6215	HWMR-5	17	AC	2024-11-26
280	6030	WATERFR FF	630	WF	2024-11-26
290	6505	FARM-5	10	AC	2024-11-26
290	6030	WATERFR FF	960	FF	2024-11-26
291	6515	FARMR-5	1	AC	2024-11-26
291	6515	FARMR-5	19	AC	2024-11-26
291	6030	WATERFR FF	1160	FF	2024-11-26
292	6800	WETLANDS	8	AC	2024-11-26
292	6017	FARM W/SPI	33	AC	2024-11-26
292	6224	HWUN-4	40	AC	2024-11-26
294	6134	WPUNR-4	19	AC	2024-11-26
294	6334	OTUNR-4	7	AC	2024-11-26
294	6810	WETLANDS-REC	4	AC	2024-11-26
294	6514	FARMR-4	5	AC	2024-11-26
301	6134	WPUNR-4	0	AC	2024-11-26
301	6134	WPUNR-4	2	AC	2024-11-26
301	6514	FARMR-4	9	AC	2024-11-26
307	6504	FARM-4	2	AC	2024-11-26
307	6124	WPUN-4	5	AC	2024-11-26
307	6224	HWUN-4	9	AC	2024-11-26
309	6505	FARM-5	6	AC	2024-11-26
309	6325	OTUN-5	51	AC	2024-11-26
309	6125	WPUN-5	20	AC	2024-11-26
310	6125	WPUN-5	0	AC	2024-11-26
310	6125	WPUN-5	14	AC	2024-11-26
311	6235	HWUNR-5	1	AC	2024-11-26
311	6235	HWUNR-5	32	AC	2024-11-26
311	6135	WPUNR-5	93	AC	2024-11-26
311	6335	OTUNR-5	20	AC	2024-11-26
313	6135	WPUNR-5	42	AC	2024-11-26
320	6514	FARMR-4	1	AC	2024-11-26
320	6514	FARMR-4	18	AC	2024-11-26
320	6135	WPUNR-5	23	AC	2024-11-26
320	6234	HWUNR-4	14	AC	2024-11-26
322	6114	WPMR-4	19	AC	2024-11-26
322	6514	FARMR-4	1	AC	2024-11-26
330	6235	HWUNR-5	0	AC	2024-11-26
330	6235	HWUNR-5	9	AC	2024-11-26
330	6810	WETLANDS-REC	3	AC	2024-11-26
334	6134	WPUNR-4	16	AC	2024-11-26
334	6334	OTUNR-4	50	AC	2024-11-26
344	6800	WETLANDS	8	AC	2024-11-26
344	6506	FARM-6	14	AC	2024-11-26
344	6226	HWUN-6	70	AC	2024-11-26
344	6506	FARM-6	0	AC	2024-11-26
347	6505	FARM-5	24	AC	2024-11-26
347	6800	WETLANDS	2	AC	2024-11-26
347	6325	OTUN-5	4	AC	2024-11-26
347	6505	FARM-5	0	AC	2024-11-26
361	6106	WPM-6	20	AC	2024-11-26
361	6306	OTM-6	16	AC	2024-11-26
361	6506	FARM-6	1	AC	2024-11-26
361	6700	UNPRODUCTIVE	1	AC	2024-11-26
365	6125	WPUN-5	26	AC	2024-11-26
365	6505	FARM-5	19	AC	2024-11-26
369	6515	FARMR-5	9	AC	2024-11-26
369	6810	WETLANDS-REC	5	AC	2024-11-26
369	6115	WPMR-5	6	AC	2024-11-26
369	6215	HWMR-5	13	AC	2024-11-26
369	6315	OTMR-5	6	AC	2024-11-26
369	6030	WATERFR FF	730	FF	2024-11-26
376	6335	OTUNR-5	46	AC	2024-11-26
377	6334	OTUNR-4	31	AC	2024-11-26
377	6134	WPUNR-4	34	AC	2024-11-26
377	6234	HWUNR-4	39	AC	2024-11-26
383	6235	HWUNR-5	1	AC	2024-11-26
383	6235	HWUNR-5	75	AC	2024-11-26
384	6505	FARM-5	13	AC	2024-11-26
384	6800	WETLANDS	4	AC	2024-11-26
384	6030	WATERFR FF	1570	FF	2024-11-26
407	6516	FARMR-6	1	AC	2024-11-26
407	6516	FARMR-6	39	AC	2024-11-26
407	6136	WPUNR-6	0	AC	2024-11-26
415	6516	FARMR-6	22	AC	2024-11-26
417	6515	FARMR-5	0	AC	2024-11-26
417	6335	OTUNR-5	24	AC	2024-11-26
417	6515	FARMR-5	25	AC	2024-11-26
417	6030	WATERFR FF	957	FF	2024-11-26
417	6810	WETLANDS-REC	2	AC	2024-11-26
429	6515	FARMR-5	10	AC	2024-11-26
446	6516	FARMR-6	11	AC	2024-11-26
446	6136	WPUNR-6	40	AC	2024-11-26
446	6236	HWUNR-6	37	AC	2024-11-26
448	6125	WPUN-5	13	AC	2024-11-26
450	6505	FARM-5	22	AC	2024-11-26
450	6304	OTM-4	211	AC	2024-11-26
450	6205	HWM-5	45	AC	2024-11-26
450	6810	WETLANDS-REC	5	AC	2024-11-26
450	6114	WPMR-4	104	AC	2024-11-26
454	6504	FARM-4	8	AC	2024-11-26
454	6800	WETLANDS	8	AC	2024-11-26
454	6104	WPM-4	74	AC	2024-11-26
454	6204	HWM-4	39	AC	2024-11-26
454	6506	FARM-6	14	AC	2024-11-26
454	6030	WATERFR FF	730	FF	2024-11-26
457	6506	FARM-6	14	AC	2024-11-26
457	6126	WPUN-6	18	AC	2024-11-26
460	6126	WPUN-6	24	AC	2024-11-26
461	6236	HWUNR-6	19	AC	2024-11-26
462	6506	FARM-6	2	AC	2024-11-26
462	6126	WPUN-6	2	AC	2024-11-26
462	6226	HWUN-6	3	AC	2024-11-26
462	6326	OTUN-6	2	AC	2024-11-26
463	6516	FARMR-6	1	AC	2024-11-26
463	6516	FARMR-6	8	AC	2024-11-26
463	6116	WPMR-6	6	AC	2024-11-26
463	6216	HWMR-6	6	AC	2024-11-26
463	6316	OTMR-6	8	AC	2024-11-26
465	6516	FARMR-6	36	AC	2024-11-26
472	6235	HWUNR-5	9	AC	2024-11-26
472	6135	WPUNR-5	3	AC	2024-11-26
475	6515	FARMR-5	37	AC	2024-11-26
476	6504	FARM-4	11	AC	2024-11-26
476	6304	OTM-4	19	AC	2024-11-26
476	6104	WPM-4	4	AC	2024-11-26
478	6503	FARM-3	41	AC	2024-11-26
478	6113	WPMR-3	26	AC	2024-11-26
478	6313	OTMR-3	36	AC	2024-11-26
478	6213	HWMR-3	110	AC	2024-11-26
479	6515	FARMR-5	10	AC	2024-11-26
479	6135	WPUNR-5	23	AC	2024-11-26
479	6235	HWUNR-5	36	AC	2024-11-26
479	6335	OTUNR-5	32	AC	2024-11-26
480	6335	OTUNR-5	11	AC	2024-11-26
482	6135	WPUNR-5	0	AC	2024-11-26
482	6135	WPUNR-5	14	AC	2024-11-26
491	6116	WPMR-6	6	AC	2024-11-26
491	6611	FARM SPIR	26	AC	2024-11-26
491	6030	WATERFR FF	671	FF	2024-11-26
491	6216	HWMR-6	17	AC	2024-11-26
491	6316	OTMR-6	45	AC	2024-11-26
491	6810	WETLANDS-REC	6	AC	2024-11-26
493	6515	FARMR-5	10	AC	2024-11-26
493	6235	HWUNR-5	53	AC	2024-11-26
493	6810	WETLANDS-REC	1	AC	2024-11-26
493	6030	WATERFR FF	1040	FF	2024-11-26
494	6114	WPMR-4	66	AC	2024-11-26
494	6030	WATERFR FF	1282	FF	2024-11-26
494	6214	HWMR-4	52	AC	2024-11-26
505	6503	FARM-3	6	AC	2024-11-26
505	6800	WETLANDS	16	AC	2024-11-26
505	6030	WATERFR FF	2320	FF	2024-11-26
507	6019	FARM SP RC	49	AC	2024-11-26
507	6030	WATERFR FF	840	FF	2024-11-26
507	6516	FARMR-6	67	AC	2024-11-26
510	6506	FARM-6	5	AC	2024-11-26
510	6326	OTUN-6	5	AC	2024-11-26
512	6506	FARM-6	1	AC	2024-11-26
512	6226	HWUN-6	14	AC	2024-11-26
512	6506	FARM-6	20	AC	2024-11-26
514	6506	FARM-6	13	AC	2024-11-26
517	6505	FARM-5	12	AC	2024-11-26
517	6800	WETLANDS	0	AC	2024-11-26
530	6326	OTUN-6	1	AC	2024-11-26
533	6515	FARMR-5	0	AC	2024-11-26
533	6515	FARMR-5	13	AC	2024-11-26
538	6104	WPM-4	16	AC	2024-11-26
540	6124	WPUN-4	20	AC	2024-11-26
543	6134	WPUNR-4	1	AC	2024-11-26
543	6134	WPUNR-4	7	AC	2024-11-26
543	6810	WETLANDS-REC	5	AC	2024-11-26
546	6125	WPUN-5	9	AC	2024-11-26
546	6505	FARM-5	3	AC	2024-11-26
552	6125	WPUN-5	40	AC	2024-11-26
559	6516	FARMR-6	0	AC	2024-11-26
559	6516	FARMR-6	10	AC	2024-11-26
564	6135	WPUNR-5	8	AC	2024-11-26
564	6515	FARMR-5	38	AC	2024-11-26
564	6030	WATERFR FF	1700	FF	2024-11-26
565	6515	FARMR-5	5	AC	2024-11-26
565	6135	WPUNR-5	4	AC	2024-11-26
565	6235	HWUNR-5	9	AC	2024-11-26
569	6506	FARM-6	6	AC	2024-11-26
569	6126	WPUN-6	8	AC	2024-11-26
569	6226	HWUN-6	1	AC	2024-11-26
569	6030	WATERFR FF	592	FF	2024-11-26
570	6505	FARM-5	25	AC	2024-11-26
570	6030	WATERFR FF	397	FF	2024-11-26
575	6505	FARM-5	18	AC	2024-11-26
575	6800	WETLANDS	1	AC	2024-11-26
575	6030	WATERFR FF	1010	FF	2024-11-26
578	6506	FARM-6	10	AC	2024-11-26
578	6030	WATERFR FF	307	FF	2024-11-26
579	6336	OTUNR-6	8	AC	2024-11-26
581	6506	FARM-6	0	AC	2024-11-26
581	6506	FARM-6	38	AC	2024-11-26
581	6900	FLOOPLAINS	1	AC	2024-11-26
581	6126	WPUN-6	9	AC	2024-11-26
582	6504	FARM-4	10	AC	2024-11-26
582	6124	WPUN-4	51	AC	2024-11-26
582	6900	FLOOPLAINS	1	AC	2024-11-26
584	6515	FARMR-5	28	AC	2024-11-26
584	6710	UNPRODUCTIVE-REC	6	AC	2024-11-26
584	6235	HWUNR-5	25	AC	2024-11-26
591	6225	HWUN-5	0	AC	2024-11-26
591	6225	HWUN-5	9	AC	2024-11-26
591	6125	WPUN-5	8	AC	2024-11-26
591	6505	FARM-5	1	AC	2024-11-26
592	6126	WPUN-6	1	AC	2024-11-26
592	6126	WPUN-6	4	AC	2024-11-26
593	6126	WPUN-6	17	AC	2024-11-26
594	6136	WPUNR-6	5	AC	2024-11-26
597	6506	FARM-6	14	AC	2024-11-26
603	6515	FARMR-5	1	AC	2024-11-26
603	6515	FARMR-5	57	AC	2024-11-26
611	6504	FARM-4	19	AC	2024-11-26
611	6104	WPM-4	10	AC	2024-11-26
611	6204	HWM-4	14	AC	2024-11-26
611	6304	OTM-4	82	AC	2024-11-26
618	6514	FARMR-4	36	AC	2024-11-26
618	6134	WPUNR-4	11	AC	2024-11-26
618	6234	HWUNR-4	11	AC	2024-11-26
618	6333	OTUNR-3	9	AC	2024-11-26
618	6710	UNPRODUCTIVE-REC	7	AC	2024-11-26
620	6123	WPUN-3	30	AC	2024-11-26
620	6223	HWUN-3	25	AC	2024-11-26
620	6323	OTUN-3	30	AC	2024-11-26
621	6516	FARMR-6	2	AC	2024-11-26
621	6136	WPUNR-6	5	AC	2024-11-26
621	6236	HWUNR-6	5	AC	2024-11-26
621	6336	OTUNR-6	2	AC	2024-11-26
623	6516	FARMR-6	17	AC	2024-11-26
624	6124	WPUN-4	14	AC	2024-11-26
624	6224	HWUN-4	11	AC	2024-11-26
624	6324	OTUN-4	14	AC	2024-11-26
626	6306	OTM-6	25	AC	2024-11-26
626	6106	WPM-6	10	AC	2024-11-26
627	6710	UNPRODUCTIVE-REC	13	AC	2024-11-26
627	6234	HWUNR-4	10	AC	2024-11-26
627	6334	OTUNR-4	9	AC	2024-11-26
634	6213	HWMR-3	169	AC	2024-11-26
634	6113	WPMR-3	22	AC	2024-11-26
634	6810	WETLANDS-REC	15	AC	2024-11-26
634	6213	HWMR-3	1	AC	2024-11-26
638	6502	FARM-2	4	AC	2024-11-26
638	6322	OTUN-2	42	AC	2024-11-26
639	6505	FARM-5	0	AC	2024-11-26
639	6225	HWUN-5	41	AC	2024-11-26
639	6505	FARM-5	3	AC	2024-11-26
639	6125	WPUN-5	12	AC	2024-11-26
639	6325	OTUN-5	9	AC	2024-11-26
639	6700	UNPRODUCTIVE	7	AC	2024-11-26
647	6325	OTUN-5	0	AC	2024-11-26
647	6325	OTUN-5	5	AC	2024-11-26
647	6125	WPUN-5	2	AC	2024-11-26
647	6800	WETLANDS	3	AC	2024-11-26
654	6325	OTUN-5	50	AC	2024-11-26
673	6233	HWUNR-3	10	AC	2024-11-26
675	6324	OTUN-4	16	AC	2024-11-26
689	6325	OTUN-5	11	AC	2024-11-26
691	6505	FARM-5	17	AC	2024-11-26
691	6800	WETLANDS	2	AC	2024-11-26
697	6506	FARM-6	0	AC	2024-11-26
697	6506	FARM-6	4	AC	2024-11-26
697	6126	WPUN-6	5	AC	2024-11-26
717	6610	SPI FARMR	1	AC	2024-11-26
717	6610	SPI FARMR	20	AC	2024-11-26
717	6115	WPMR-5	12	AC	2024-11-26
717	6810	WETLANDS-REC	6	AC	2024-11-26
717	6315	OTMR-5	35	AC	2024-11-26
719	6325	OTUN-5	10	AC	2024-11-26
719	6019	FARM SP RC	0	AC	2024-11-26
724	6506	FARM-6	48	AC	2024-11-26
724	6800	WETLANDS	7	AC	2024-11-26
724	6506	FARM-6	6	AC	2024-11-26
725	6506	FARM-6	10	AC	2024-11-26
737	6225	HWUN-5	19	AC	2024-11-26
741	6326	OTUN-6	0	AC	2024-11-26
741	6326	OTUN-6	29	AC	2024-11-26
742	6226	HWUN-6	11	AC	2024-11-26
742	6800	WETLANDS	2	AC	2024-11-26
744	6505	FARM-5	9	AC	2024-11-26
744	6325	OTUN-5	7	AC	2024-11-26
745	6515	FARMR-5	1	AC	2024-11-26
745	6515	FARMR-5	20	AC	2024-11-26
748	6234	HWUNR-4	20	AC	2024-11-26
748	6810	WETLANDS-REC	7	AC	2024-11-26
749	6224	HWUN-4	26	AC	2024-11-26
749	6800	WETLANDS	7	AC	2024-11-26
751	6225	HWUN-5	10	AC	2024-11-26
752	6125	WPUN-5	9	AC	2024-11-26
752	6225	HWUN-5	4	AC	2024-11-26
752	6800	WETLANDS	1	AC	2024-11-26
753	6226	HWUN-6	22	AC	2024-11-26
754	6515	FARMR-5	5	AC	2024-11-26
754	6135	WPUNR-5	23	AC	2024-11-26
754	6235	HWUNR-5	20	AC	2024-11-26
754	6335	OTUNR-5	20	AC	2024-11-26
754	6710	UNPRODUCTIVE-REC	8	AC	2024-11-26
756	6314	OTMR-4	10	AC	2024-11-26
756	6214	HWMR-4	67	AC	2024-11-26
758	6134	WPUNR-4	8	AC	2024-11-26
758	6234	HWUNR-4	7	AC	2024-11-26
760	6324	OTUN-4	44	AC	2024-11-26
762	6303	OTM-3	1	AC	2024-11-26
762	6303	OTM-3	20	AC	2024-11-26
765	6515	FARMR-5	5	AC	2024-11-26
767	6504	FARM-4	44	AC	2024-11-26
767	6224	HWUN-4	88	AC	2024-11-26
770	6505	FARM-5	1	AC	2024-11-26
770	6505	FARM-5	10	AC	2024-11-26
770	6125	WPUN-5	11	AC	2024-11-26
770	6800	WETLANDS	3	AC	2024-11-26
782	6124	WPUN-4	32	AC	2024-11-26
785	6332	OTUNR-2	68	AC	2024-11-26
786	6134	WPUNR-4	19	AC	2024-11-26
789	6800	WETLANDS	0	AC	2024-11-26
789	6504	FARM-4	2	AC	2024-11-26
789	6305	OTM-5	7	AC	2024-11-26
793	6503	FARM-3	1	AC	2024-11-26
793	6503	FARM-3	1	AC	2024-11-26
793	6103	WPM-3	20	AC	2024-11-26
793	6303	OTM-3	14	AC	2024-11-26
798	6125	WPUN-5	61	AC	2024-11-26
798	6225	HWUN-5	120	AC	2024-11-26
800	6506	FARM-6	10	AC	2024-11-26
801	6506	FARM-6	40	AC	2024-11-26
801	6316	OTMR-6	9	AC	2024-11-26
801	6106	WPM-6	12	AC	2024-11-26
801	6206	HWM-6	43	AC	2024-11-26
804	6225	HWUN-5	45	AC	2024-11-26
806	6326	OTUN-6	0	AC	2024-11-26
806	6506	FARM-6	0	AC	2024-11-26
806	6226	HWUN-6	15	AC	2024-11-26
806	6326	OTUN-6	4	AC	2024-11-26
807	6335	OTUNR-5	1	AC	2024-11-26
807	6335	OTUNR-5	184	AC	2024-11-26
807	6515	FARMR-5	20	AC	2024-11-26
810	6225	HWUN-5	5	AC	2024-11-26
810	6505	FARM-5	10	AC	2024-11-26
811	6325	OTUN-5	20	AC	2024-11-26
812	6324	OTUN-4	7	AC	2024-11-26
816	6504	FARM-4	7	AC	2024-11-26
816	6324	OTUN-4	10	AC	2024-11-26
820	6515	FARMR-5	3	AC	2024-11-26
820	6235	HWUNR-5	7	AC	2024-11-26
821	6236	HWUNR-6	1	AC	2024-11-26
821	6236	HWUNR-6	13	AC	2024-11-26
821	6336	OTUNR-6	7	AC	2024-11-26
826	6324	OTUN-4	14	AC	2024-11-26
826	6324	OTUN-4	10	AC	2024-11-26
827	6514	FARMR-4	20	AC	2024-11-26
827	6114	WPMR-4	29	AC	2024-11-26
827	6214	HWMR-4	22	AC	2024-11-26
827	6314	OTMR-4	11	AC	2024-11-26
829	6515	FARMR-5	16	AC	2024-11-26
836	6505	FARM-5	0	AC	2024-11-26
836	6505	FARM-5	13	AC	2024-11-26
836	6030	WATERFR FF	400	WF	2024-11-26
837	6505	FARM-5	0	AC	2024-11-26
837	1091	MULTI HSES	0	SF	2024-11-26
837	1091	MULTI HSES	0	SF	2024-11-26
839	6505	FARM-5	0	AC	2024-11-26
839	6800	WETLANDS	2	AC	2024-11-26
839	6505	FARM-5	11	AC	2024-11-26
839	6325	OTUN-5	26	AC	2024-11-26
844	6235	HWUNR-5	0	AC	2024-11-26
844	6235	HWUNR-5	13	AC	2024-11-26
844	6135	WPUNR-5	16	AC	2024-11-26
844	6335	OTUNR-5	14	AC	2024-11-26
844	6030	WATERFR FF	865	WF	2024-11-26
851	6333	OTUNR-3	34	AC	2024-11-26
851	6030	WATERFR FF	490	WF	2024-11-26
858	6516	FARMR-6	1	AC	2024-11-26
858	6120	WPUN-0	20	AC	2024-11-26
858	6516	FARMR-6	17	AC	2024-11-26
860	6234	HWUNR-4	1	AC	2024-11-26
860	6234	HWUNR-4	19	AC	2024-11-26
860	6134	WPUNR-4	45	AC	2024-11-26
860	6334	OTUNR-4	11	AC	2024-11-26
863	6335	OTUNR-5	1	AC	2024-11-26
863	6335	OTUNR-5	7	AC	2024-11-26
864	6335	OTUNR-5	1	AC	2024-11-26
864	6335	OTUNR-5	7	AC	2024-11-26
865	6333	OTUNR-3	14	AC	2024-11-26
865	6133	WPUNR-3	19	AC	2024-11-26
865	6513	FARMR-3	4	AC	2024-11-26
867	6503	FARM-3	5	AC	2024-11-26
867	6223	HWUN-3	20	AC	2024-11-26
867	6323	OTUN-3	13	AC	2024-11-26
868	6124	WPUN-4	8	AC	2024-11-26
868	6224	HWUN-4	0	AC	2024-11-26
868	6504	FARM-4	0	AC	2024-11-26
868	6324	OTUN-4	13	AC	2024-11-26
872	6223	HWUN-3	8	AC	2024-11-26
872	6323	OTUN-3	8	AC	2024-11-26
873	6810	WETLANDS-REC	2	AC	2024-11-26
873	6515	FARMR-5	47	AC	2024-11-26
873	6135	WPUNR-5	49	AC	2024-11-26
873	6235	HWUNR-5	24	AC	2024-11-26
873	6335	OTUNR-5	15	AC	2024-11-26
876	6136	WPUNR-6	6	AC	2024-11-26
876	6516	FARMR-6	8	AC	2024-11-26
877	6516	FARMR-6	10	AC	2024-11-26
878	6125	WPUN-5	14	AC	2024-11-26
879	6126	WPUN-6	13	AC	2024-11-26
880	6123	WPUN-3	10	AC	2024-11-26
881	6333	OTUNR-3	16	AC	2024-11-26
883	6502	FARM-2	0	AC	2024-11-26
883	6700	UNPRODUCTIVE	30	AC	2024-11-26
883	6502	FARM-2	18	AC	2024-11-26
884	6133	WPUNR-3	8	AC	2024-11-26
884	6233	HWUNR-3	2	AC	2024-11-26
884	6333	OTUNR-3	9	AC	2024-11-26
887	6513	FARMR-3	3	AC	2024-11-26
887	6133	WPUNR-3	5	AC	2024-11-26
887	6233	HWUNR-3	20	AC	2024-11-26
888	6124	WPUN-4	1	AC	2024-11-26
888	6124	WPUN-4	0	AC	2024-11-26
888	6514	FARMR-4	0	AC	2024-11-26
888	6234	HWUNR-4	3	AC	2024-11-26
888	6334	OTUNR-4	7	AC	2024-11-26
891	6325	OTUN-5	11	AC	2024-11-26
891	6325	OTUN-5	0	AC	2024-11-26
892	6515	FARMR-5	5	AC	2024-11-26
892	6710	UNPRODUCTIVE-REC	6	AC	2024-11-26
892	6135	WPUNR-5	10	AC	2024-11-26
892	6235	HWUNR-5	16	AC	2024-11-26
892	6335	OTUNR-5	2	AC	2024-11-26
892	6515	FARMR-5	1	AC	2024-11-26
892	6515	FARMR-5	1	AC	2024-11-26
895	6516	FARMR-6	10	AC	2024-11-26
896	6505	FARM-5	10	AC	2024-11-26
897	6506	FARM-6	1	AC	2024-11-26
897	6506	FARM-6	13	AC	2024-11-26
898	6226	HWUN-6	1	AC	2024-11-26
898	6226	HWUN-6	12	AC	2024-11-26
899	6226	HWUN-6	28	AC	2024-11-26
900	6506	FARM-6	10	AC	2024-11-26
900	6326	OTUN-6	7	AC	2024-11-26
900	6800	WETLANDS	12	AC	2024-11-26
907	6233	HWUNR-3	1	AC	2024-11-26
907	6233	HWUNR-3	9	AC	2024-11-26
907	6133	WPUNR-3	0	AC	2024-11-26
908	6514	FARMR-4	1	AC	2024-11-26
908	6514	FARMR-4	9	AC	2024-11-26
908	6134	WPUNR-4	3	AC	2024-11-26
909	6800	WETLANDS	4	AC	2024-11-26
909	6505	FARM-5	26	AC	2024-11-26
909	6325	OTUN-5	77	AC	2024-11-26
910	6505	FARM-5	20	AC	2024-11-26
910	6225	HWUN-5	0	AC	2024-11-26
911	6504	FARM-4	18	AC	2024-11-26
911	6124	WPUN-4	38	AC	2024-11-26
911	6224	HWUN-4	18	AC	2024-11-26
911	6324	OTUN-4	27	AC	2024-11-26
912	6504	FARM-4	1	AC	2024-11-26
912	6504	FARM-4	9	AC	2024-11-26
920	6124	WPUN-4	13	AC	2024-11-26
921	6123	WPUN-3	10	AC	2024-11-26
924	6516	FARMR-6	1	AC	2024-11-26
924	6236	HWUNR-6	38	AC	2024-11-26
924	6516	FARMR-6	0	AC	2024-11-26
924	6136	WPUNR-6	4	AC	2024-11-26
924	6810	WETLANDS-REC	16	AC	2024-11-26
934	6115	WPMR-5	1	AC	2024-11-26
934	6315	OTMR-5	3	AC	2024-11-26
934	6215	HWMR-5	2	AC	2024-11-26
934	6115	WPMR-5	9	AC	2024-11-26
934	6515	FARMR-5	0	AC	2024-11-26
939	6515	FARMR-5	4	AC	2024-11-26
939	6215	HWMR-5	1	AC	2024-11-26
939	6315	OTMR-5	16	AC	2024-11-26
939	6115	WPMR-5	21	AC	2024-11-26
939	6810	WETLANDS-REC	0	AC	2024-11-26
940	6233	HWUNR-3	3	AC	2024-11-26
940	6133	WPUNR-3	7	AC	2024-11-26
940	6513	FARMR-3	1	AC	2024-11-26
940	6513	FARMR-3	0	AC	2024-11-26
944	6710	UNPRODUCTIVE-REC	3	AC	2024-11-26
944	6513	FARMR-3	15	AC	2024-11-26
944	6333	OTUNR-3	1	AC	2024-11-26
949	6515	FARMR-5	24	AC	2024-11-26
949	6135	WPUNR-5	40	AC	2024-11-26
949	6235	HWUNR-5	8	AC	2024-11-26
949	6335	OTUNR-5	28	AC	2024-11-26
949	6710	UNPRODUCTIVE-REC	10	AC	2024-11-26
968	6125	WPUN-5	19	AC	2024-11-26
968	6505	FARM-5	5	AC	2024-11-26
972	6135	WPUNR-5	1	AC	2024-11-26
972	6135	WPUNR-5	11	AC	2024-11-26
974	6225	HWUN-5	16	AC	2024-11-26
975	6324	OTUN-4	1	AC	2024-11-26
975	6324	OTUN-4	18	AC	2024-11-26
987	6515	FARMR-5	15	AC	2024-11-26
987	6135	WPUNR-5	48	AC	2024-11-26
987	6235	HWUNR-5	15	AC	2024-11-26
990	6233	HWUNR-3	5	AC	2024-11-26
