PID	App. Year	Improvements	Land	Total	CollectedOn
65	2022	436100	228900	665000	2024-12-04
66	2025	235300	230900	466200	2024-12-04
66	2023	218800	230900	449700	2024-12-04
66	2022	218800	230900	449700	2024-12-04
67	2025	0	103200	103200	2024-12-04
67	2023	0	103200	103200	2024-12-04
67	2022	0	103200	103200	2024-12-04
68	2025	127000	157100	284100	2024-12-04
68	2023	127000	157100	284100	2024-12-04
68	2022	127000	157100	284100	2024-12-04
69	2025	0	8600	8600	2024-12-04
69	2023	0	8600	8600	2024-12-04
69	2022	0	8600	8600	2024-12-04
76	2025	568500	234400	802900	2024-12-04
76	2023	519800	234400	754200	2024-12-04
76	2022	519800	234400	754200	2024-12-04
77	2025	343500	234900	578400	2024-12-04
77	2023	343500	234900	578400	2024-12-04
77	2022	343500	234900	578400	2024-12-04
78	2025	173800	216500	390300	2024-12-04
78	2023	173800	216500	390300	2024-12-04
78	2022	173800	216500	390300	2024-12-04
79	2025	116800	216500	333300	2024-12-04
79	2023	116800	216500	333300	2024-12-04
79	2022	116800	216500	333300	2024-12-04
80	2025	352100	317200	669300	2024-12-04
80	2023	301600	317200	618800	2024-12-04
80	2022	301600	317200	618800	2024-12-04
81	2025	92200	233300	325500	2024-12-04
81	2023	92200	233300	325500	2024-12-04
81	2022	92200	233300	325500	2024-12-04
82	2025	217700	199300	417000	2024-12-04
82	2023	217700	199300	417000	2024-12-04
82	2022	217700	199300	417000	2024-12-04
83	2025	190300	161800	352100	2024-12-04
83	2023	190300	161800	352100	2024-12-04
83	2022	190300	161800	352100	2024-12-04
84	2025	3187200	2000100	5187300	2024-12-04
84	2023	3187200	2000100	5187300	2024-12-04
84	2022	3187200	2000100	5187300	2024-12-04
85	2025	0	16900	16900	2024-12-04
85	2023	0	16900	16900	2024-12-04
85	2022	0	16900	16900	2024-12-04
86	2025	471700	228900	700600	2024-12-04
86	2023	471700	228900	700600	2024-12-04
86	2022	471700	228900	700600	2024-12-04
87	2025	379700	256000	635700	2024-12-04
87	2023	379700	256000	635700	2024-12-04
87	2022	379700	256000	635700	2024-12-04
88	2025	43200	113400	156600	2024-12-04
88	2023	43200	113400	156600	2024-12-04
88	2022	43200	113400	156600	2024-12-04
89	2025	269500	375600	645100	2024-12-04
89	2023	269500	375600	645100	2024-12-04
89	2022	252300	375600	627900	2024-12-04
91	2025	526300	277000	803300	2024-12-04
91	2023	526300	277000	803300	2024-12-04
91	2022	526300	277000	803300	2024-12-04
92	2025	77800	179500	257300	2024-12-04
92	2023	77800	179500	257300	2024-12-04
92	2022	77800	179500	257300	2024-12-04
93	2025	548900	204300	753200	2024-12-04
93	2023	548900	204300	753200	2024-12-04
93	2022	548900	204300	753200	2024-12-04
94	2025	385500	179200	564700	2024-12-04
94	2023	385500	179200	564700	2024-12-04
94	2022	385500	179200	564700	2024-12-04
95	2025	410100	207600	617700	2024-12-04
95	2023	410100	207600	617700	2024-12-04
95	2022	410100	207600	617700	2024-12-04
99	2025	328500	0	328500	2024-12-04
99	2023	328500	0	328500	2024-12-04
99	2022	328500	0	328500	2024-12-04
101	2025	543900	0	543900	2024-12-04
101	2023	543900	0	543900	2024-12-04
101	2022	543900	0	543900	2024-12-04
102	2025	7500	104000	111500	2024-12-04
102	2023	7500	104000	111500	2024-12-04
102	2022	7500	104000	111500	2024-12-04
103	2025	121800	185100	306900	2024-12-04
103	2023	121800	185100	306900	2024-12-04
103	2022	121800	185100	306900	2024-12-04
104	2025	1055000	394300	1449300	2024-12-04
104	2023	1055000	394300	1449300	2024-12-04
104	2022	1055000	394300	1449300	2024-12-04
105	2025	236100	274300	510400	2024-12-04
105	2023	236100	274300	510400	2024-12-04
105	2022	236100	274300	510400	2024-12-04
106	2025	1421000	488300	1909300	2024-12-04
106	2023	1421000	488300	1909300	2024-12-04
106	2022	1421000	488300	1909300	2024-12-04
107	2025	359500	263700	623200	2024-12-04
107	2023	359500	263700	623200	2024-12-04
107	2022	359500	263700	623200	2024-12-04
111	2025	4400	424700	429100	2024-12-04
111	2023	4400	424700	429100	2024-12-04
111	2022	4400	424700	429100	2024-12-04
115	2025	148600	194200	342800	2024-12-04
115	2023	89200	194200	283400	2024-12-04
115	2022	51000	194200	245200	2024-12-04
116	2025	249500	148200	397700	2024-12-04
116	2023	249500	148200	397700	2024-12-04
116	2022	249500	148200	397700	2024-12-04
117	2025	435400	0	435400	2024-12-04
117	2023	435400	0	435400	2024-12-04
117	2022	426300	0	426300	2024-12-04
118	2025	155800	405100	560900	2024-12-04
118	2023	155800	405100	560900	2024-12-04
118	2022	155800	405100	560900	2024-12-04
120	2025	462100	360800	822900	2024-12-04
120	2023	462100	360800	822900	2024-12-04
120	2022	462100	360800	822900	2024-12-04
121	2025	187800	143700	331500	2024-12-04
121	2023	124500	143700	268200	2024-12-04
121	2022	2900	143700	146600	2024-12-04
122	2025	273000	133300	406300	2024-12-04
122	2023	273000	133300	406300	2024-12-04
122	2022	273000	133300	406300	2024-12-04
123	2025	151900	132200	284100	2024-12-04
123	2023	151900	132200	284100	2024-12-04
123	2022	151900	132200	284100	2024-12-04
124	2025	354900	223000	577900	2024-12-04
124	2023	354900	223000	577900	2024-12-04
124	2022	354900	223000	577900	2024-12-04
125	2025	272000	155700	427700	2024-12-04
125	2023	272000	155700	427700	2024-12-04
125	2022	272000	155700	427700	2024-12-04
127	2025	240200	153300	393500	2024-12-04
127	2023	240200	153300	393500	2024-12-04
127	2022	240200	153300	393500	2024-12-04
128	2025	395000	188500	583500	2024-12-04
128	2023	395000	188500	583500	2024-12-04
128	2022	395000	188500	583500	2024-12-04
129	2025	182300	157500	339800	2024-12-04
129	2023	182300	157500	339800	2024-12-04
129	2022	182300	157500	339800	2024-12-04
132	2025	0	40300	40300	2024-12-04
132	2023	0	40300	40300	2024-12-04
132	2022	0	40300	40300	2024-12-04
133	2025	42000	0	42000	2024-12-04
133	2023	42000	0	42000	2024-12-04
133	2022	42000	0	42000	2024-12-04
136	2025	15200	12200	27400	2024-12-04
136	2023	15200	12200	27400	2024-12-04
136	2022	15200	12200	27400	2024-12-04
137	2025	46900	189400	236300	2024-12-04
137	2023	46900	189400	236300	2024-12-04
137	2022	46900	189400	236300	2024-12-04
138	2025	1194500	246000	1440500	2024-12-04
138	2023	1194500	246000	1440500	2024-12-04
138	2022	1194500	246000	1440500	2024-12-04
139	2025	84900	166400	251300	2024-12-04
139	2023	81400	166400	247800	2024-12-04
139	2022	81400	166400	247800	2024-12-04
140	2025	595300	151500	746800	2024-12-04
140	2023	595300	151500	746800	2024-12-04
140	2022	575300	151500	726800	2024-12-04
142	2025	183800	209900	393700	2024-12-04
142	2023	183800	209900	393700	2024-12-04
142	2022	183800	209900	393700	2024-12-04
143	2025	334100	206900	541000	2024-12-04
143	2023	334100	206900	541000	2024-12-04
143	2022	334100	206900	541000	2024-12-04
144	2025	143600	133000	276600	2024-12-04
144	2023	145200	133000	278200	2024-12-04
144	2022	145200	133000	278200	2024-12-04
148	2025	163800	142700	306500	2024-12-04
148	2023	163800	142700	306500	2024-12-04
148	2022	163800	142700	306500	2024-12-04
149	2025	385600	171200	556800	2024-12-04
149	2023	385600	171200	556800	2024-12-04
149	2022	385600	171200	556800	2024-12-04
150	2025	402500	170200	572700	2024-12-04
150	2023	402500	170200	572700	2024-12-04
150	2022	410700	170200	580900	2024-12-04
151	2025	0	218500	218500	2024-12-04
151	2023	0	218500	218500	2024-12-04
151	2022	0	218500	218500	2024-12-04
152	2025	176000	84800	260800	2024-12-04
152	2023	176000	84800	260800	2024-12-04
152	2022	176000	84800	260800	2024-12-04
153	2025	149400	111300	260700	2024-12-04
153	2023	149400	111300	260700	2024-12-04
153	2022	149400	111300	260700	2024-12-04
154	2025	82500	82400	164900	2024-12-04
154	2023	82500	82400	164900	2024-12-04
154	2022	82500	82400	164900	2024-12-04
159	2025	23700	166100	189800	2024-12-04
159	2023	23700	166100	189800	2024-12-04
159	2022	21200	166100	187300	2024-12-04
161	2025	562100	219600	781700	2024-12-04
161	2023	562100	219600	781700	2024-12-04
161	2022	562100	219600	781700	2024-12-04
162	2025	172300	126800	299100	2024-12-04
162	2023	172300	126800	299100	2024-12-04
162	2022	165400	126800	292200	2024-12-04
163	2025	269600	158900	428500	2024-12-04
163	2023	269600	158900	428500	2024-12-04
163	2022	269600	158900	428500	2024-12-04
164	2025	46200	98300	144500	2024-12-04
164	2023	46200	98300	144500	2024-12-04
164	2022	46200	98300	144500	2024-12-04
167	2025	289300	224000	513300	2024-12-04
167	2023	289300	224000	513300	2024-12-04
167	2022	289300	224000	513300	2024-12-04
168	2025	174500	129600	304100	2024-12-04
168	2023	174500	129600	304100	2024-12-04
168	2022	174500	129600	304100	2024-12-04
169	2025	154200	111100	265300	2024-12-04
169	2023	154200	111100	265300	2024-12-04
169	2022	154200	111100	265300	2024-12-04
170	2025	1225500	266800	1492300	2024-12-04
170	2023	1225500	266800	1492300	2024-12-04
170	2022	1225500	266800	1492300	2024-12-04
171	2025	0	144500	144500	2024-12-04
171	2023	0	144500	144500	2024-12-04
171	2022	0	144500	144500	2024-12-04
172	2025	230600	177800	408400	2024-12-04
172	2023	0	161400	161400	2024-12-04
172	2022	0	161400	161400	2024-12-04
173	2025	465200	146600	611800	2024-12-04
173	2023	465200	146600	611800	2024-12-04
173	2022	465200	146600	611800	2024-12-04
174	2025	152300	132200	284500	2024-12-04
174	2023	152300	132200	284500	2024-12-04
174	2022	152300	132200	284500	2024-12-04
176	2025	156600	137900	294500	2024-12-04
176	2023	156600	137900	294500	2024-12-04
176	2022	156600	137900	294500	2024-12-04
177	2025	87900	129800	217700	2024-12-04
177	2023	81400	129800	211200	2024-12-04
177	2022	81400	129800	211200	2024-12-04
178	2025	231800	126600	358400	2024-12-04
178	2023	231800	126600	358400	2024-12-04
178	2022	231800	126600	358400	2024-12-04
179	2025	149400	138100	287500	2024-12-04
179	2023	149400	138100	287500	2024-12-04
179	2022	149400	138100	287500	2024-12-04
180	2025	597800	284700	882500	2024-12-04
180	2023	597800	284700	882500	2024-12-04
180	2022	597800	284700	882500	2024-12-04
181	2025	0	333600	333600	2024-12-04
181	2023	0	333600	333600	2024-12-04
181	2022	0	333600	333600	2024-12-04
182	2025	546700	233200	779900	2024-12-04
182	2023	546700	233200	779900	2024-12-04
182	2022	507900	233200	741100	2024-12-04
183	2025	282900	103000	385900	2024-12-04
183	2023	282900	103000	385900	2024-12-04
183	2022	282900	103000	385900	2024-12-04
187	2025	314000	322400	636400	2024-12-04
187	2023	314000	322400	636400	2024-12-04
187	2022	314000	322400	636400	2024-12-04
188	2025	641500	312400	953900	2024-12-04
188	2023	613900	312400	926300	2024-12-04
188	2022	613900	312400	926300	2024-12-04
189	2025	8500	129600	138100	2024-12-04
189	2023	8500	129600	138100	2024-12-04
189	2022	8500	129600	138100	2024-12-04
190	2025	0	59200	59200	2024-12-04
190	2023	0	59200	59200	2024-12-04
190	2022	0	59200	59200	2024-12-04
191	2025	0	204100	204100	2024-12-04
191	2023	0	204100	204100	2024-12-04
191	2022	0	204100	204100	2024-12-04
192	2025	0	689600	689600	2024-12-04
192	2023	0	689600	689600	2024-12-04
192	2022	0	689600	689600	2024-12-04
194	2025	0	22300	22300	2024-12-04
194	2023	0	22300	22300	2024-12-04
194	2022	0	22300	22300	2024-12-04
195	2025	343500	176200	519700	2024-12-04
195	2023	343500	176200	519700	2024-12-04
195	2022	343500	176200	519700	2024-12-04
197	2025	0	166600	166600	2024-12-04
197	2023	0	166600	166600	2024-12-04
197	2022	0	166600	166600	2024-12-04
201	2025	322700	251700	574400	2024-12-04
201	2023	322700	251700	574400	2024-12-04
201	2022	322700	251700	574400	2024-12-04
202	2025	420600	774500	1195100	2024-12-04
202	2023	420600	774500	1195100	2024-12-04
202	2022	418600	774500	1193100	2024-12-04
203	2025	232400	125100	357500	2024-12-04
203	2023	232400	125100	357500	2024-12-04
203	2022	232400	125100	357500	2024-12-04
204	2025	396000	484700	880700	2024-12-04
204	2023	396000	484700	880700	2024-12-04
204	2022	396000	484700	880700	2024-12-04
206	2025	606800	227800	834600	2024-12-04
206	2023	606800	227800	834600	2024-12-04
206	2022	606800	227800	834600	2024-12-04
207	2025	1700	647500	649200	2024-12-04
207	2023	1700	647500	649200	2024-12-04
207	2022	1700	647500	649200	2024-12-04
208	2025	136600	142400	279000	2024-12-04
208	2023	136600	142400	279000	2024-12-04
208	2022	180600	142400	323000	2024-12-04
209	2025	124500	143300	267800	2024-12-04
209	2023	124500	143300	267800	2024-12-04
209	2022	124500	143300	267800	2024-12-04
210	2025	193800	143300	337100	2024-12-04
210	2023	193800	143300	337100	2024-12-04
210	2022	193800	143300	337100	2024-12-04
217	2025	0	476800	476800	2024-12-04
217	2023	0	476800	476800	2024-12-04
217	2022	0	476800	476800	2024-12-04
219	2025	176100	164500	340600	2024-12-04
219	2023	176100	164500	340600	2024-12-04
219	2022	176100	164500	340600	2024-12-04
220	2025	180400	108100	288500	2024-12-04
220	2023	180400	108100	288500	2024-12-04
220	2022	180400	108100	288500	2024-12-04
221	2025	221900	95600	317500	2024-12-04
221	2023	221900	95600	317500	2024-12-04
221	2022	221900	95600	317500	2024-12-04
222	2025	269100	168700	437800	2024-12-04
222	2023	269100	168700	437800	2024-12-04
222	2022	269100	168700	437800	2024-12-04
223	2025	346400	175300	521700	2024-12-04
223	2023	334100	175300	509400	2024-12-04
223	2022	334100	175300	509400	2024-12-04
224	2025	234300	215300	449600	2024-12-04
224	2023	234300	215300	449600	2024-12-04
224	2022	234300	215300	449600	2024-12-04
225	2025	69400	176600	246000	2024-12-04
225	2023	86100	176600	262700	2024-12-04
225	2022	86100	176600	262700	2024-12-04
229	2025	344200	179600	523800	2024-12-04
229	2023	312700	179600	492300	2024-12-04
229	2022	312700	179600	492300	2024-12-04
230	2025	0	218200	218200	2024-12-04
230	2023	0	218200	218200	2024-12-04
230	2022	0	218200	218200	2024-12-04
231	2025	0	91300	91300	2024-12-04
231	2023	0	91300	91300	2024-12-04
231	2022	82800	91300	174100	2024-12-04
232	2025	72200	57800	130000	2024-12-04
232	2023	72200	57800	130000	2024-12-04
232	2022	72200	57800	130000	2024-12-04
233	2025	81500	65100	146600	2024-12-04
233	2023	81500	65100	146600	2024-12-04
233	2022	81500	65100	146600	2024-12-04
234	2025	228500	134400	362900	2024-12-04
234	2023	228500	134400	362900	2024-12-04
234	2022	228500	134400	362900	2024-12-04
235	2025	455900	169300	625200	2024-12-04
235	2023	455900	169300	625200	2024-12-04
235	2022	455900	169300	625200	2024-12-04
236	2025	184400	119700	304100	2024-12-04
236	2023	184400	119700	304100	2024-12-04
236	2022	184400	119700	304100	2024-12-04
237	2025	45100	88200	133300	2024-12-04
237	2023	45100	88200	133300	2024-12-04
237	2022	45100	88200	133300	2024-12-04
238	2025	149100	133300	282400	2024-12-04
238	2023	149100	133300	282400	2024-12-04
238	2022	149100	133300	282400	2024-12-04
241	2025	62700	719400	782100	2024-12-04
241	2023	62700	719400	782100	2024-12-04
241	2022	143900	719400	863300	2024-12-04
243	2025	0	9700	9700	2024-12-04
243	2023	0	9700	9700	2024-12-04
243	2022	0	9700	9700	2024-12-04
244	2025	0	800	800	2024-12-04
244	2023	0	800	800	2024-12-04
244	2022	0	800	800	2024-12-04
245	2025	193200	115700	308900	2024-12-04
245	2023	193200	115700	308900	2024-12-04
245	2022	193200	115700	308900	2024-12-04
246	2025	0	300300	300300	2024-12-04
246	2023	0	300300	300300	2024-12-04
246	2022	0	300300	300300	2024-12-04
247	2025	13400	149200	162600	2024-12-04
247	2023	13400	149200	162600	2024-12-04
247	2022	13400	149200	162600	2024-12-04
248	2025	126300	137700	264000	2024-12-04
248	2023	126300	137700	264000	2024-12-04
248	2022	126300	137700	264000	2024-12-04
249	2025	155900	144300	300200	2024-12-04
249	2023	155900	144300	300200	2024-12-04
249	2022	155900	144300	300200	2024-12-04
250	2025	0	341700	341700	2024-12-04
250	2023	0	341700	341700	2024-12-04
250	2022	0	341700	341700	2024-12-04
251	2025	397000	349100	746100	2024-12-04
251	2023	367000	349100	716100	2024-12-04
251	2022	367000	349100	716100	2024-12-04
252	2025	176700	251500	428200	2024-12-04
252	2023	176700	251500	428200	2024-12-04
252	2022	176700	251500	428200	2024-12-04
253	2025	227100	150400	377500	2024-12-04
253	2023	212100	150400	362500	2024-12-04
253	2022	212100	150400	362500	2024-12-04
254	2025	416800	460900	877700	2024-12-04
254	2023	356800	460900	817700	2024-12-04
254	2022	356800	460900	817700	2024-12-04
255	2025	575400	129400	704800	2024-12-04
255	2023	523800	129400	653200	2024-12-04
255	2022	471100	129400	600500	2024-12-04
256	2025	1367900	364300	1732200	2024-12-04
256	2023	1367900	364300	1732200	2024-12-04
256	2022	1367900	364300	1732200	2024-12-04
257	2025	56900	130700	187600	2024-12-04
257	2023	56900	130700	187600	2024-12-04
257	2022	56900	130700	187600	2024-12-04
258	2025	378800	0	378800	2024-12-04
258	2023	378800	0	378800	2024-12-04
258	2022	378800	0	378800	2024-12-04
259	2025	2454700	592700	3047400	2024-12-04
259	2023	2454700	592700	3047400	2024-12-04
259	2022	2454700	592700	3047400	2024-12-04
260	2025	70800	164500	235300	2024-12-04
260	2023	82600	164500	247100	2024-12-04
260	2022	82600	164500	247100	2024-12-04
267	2025	72400	122600	195000	2024-12-04
267	2023	66900	122600	189500	2024-12-04
267	2022	66900	122600	189500	2024-12-04
270	2025	54400	117800	172200	2024-12-04
270	2023	54400	117800	172200	2024-12-04
270	2022	54400	117800	172200	2024-12-04
271	2025	293800	127600	421400	2024-12-04
271	2023	293800	127600	421400	2024-12-04
271	2022	293800	127600	421400	2024-12-04
272	2025	0	11300	11300	2024-12-04
272	2023	0	11300	11300	2024-12-04
272	2022	0	11300	11300	2024-12-04
273	2025	32800	100700	133500	2024-12-04
273	2023	32800	100700	133500	2024-12-04
273	2022	32800	100700	133500	2024-12-04
274	2025	230700	139000	369700	2024-12-04
274	2023	230700	139000	369700	2024-12-04
274	2022	230700	139000	369700	2024-12-04
275	2025	15500	109800	125300	2024-12-04
275	2023	15500	109800	125300	2024-12-04
275	2022	15500	109800	125300	2024-12-04
276	2025	133100	173400	306500	2024-12-04
276	2023	133100	173400	306500	2024-12-04
276	2022	133100	173400	306500	2024-12-04
277	2025	0	58200	58200	2024-12-04
277	2023	0	58200	58200	2024-12-04
277	2022	0	58200	58200	2024-12-04
278	2025	147100	303100	450200	2024-12-04
278	2023	147100	303100	450200	2024-12-04
278	2022	147100	303100	450200	2024-12-04
279	2025	161300	176800	338100	2024-12-04
279	2023	161300	176800	338100	2024-12-04
279	2022	161300	176800	338100	2024-12-04
280	2025	0	431500	431500	2024-12-04
280	2023	0	431500	431500	2024-12-04
280	2022	0	431500	431500	2024-12-04
283	2025	25500	171600	197100	2024-12-04
283	2023	25500	171600	197100	2024-12-04
283	2022	25500	171600	197100	2024-12-04
287	2025	566500	297100	863600	2024-12-04
287	2023	566500	297100	863600	2024-12-04
287	2022	566500	297100	863600	2024-12-04
288	2025	245600	328100	573700	2024-12-04
288	2023	245600	328100	573700	2024-12-04
288	2022	245600	328100	573700	2024-12-04
290	2025	618200	454000	1072200	2024-12-04
290	2023	618200	454000	1072200	2024-12-04
290	2022	618200	454000	1072200	2024-12-04
291	2025	0	139200	139200	2024-12-04
291	2023	0	139200	139200	2024-12-04
291	2022	0	139200	139200	2024-12-04
292	2025	376400	569300	945700	2024-12-04
292	2023	376400	569300	945700	2024-12-04
292	2022	($18,800)	569300	550500	2024-12-04
294	2025	411100	386400	797500	2024-12-04
294	2023	411100	386400	797500	2024-12-04
294	2022	411100	386400	797500	2024-12-04
295	2025	132400	104100	236500	2024-12-04
295	2023	132400	104100	236500	2024-12-04
295	2022	132400	104100	236500	2024-12-04
296	2025	131100	0	131100	2024-12-04
296	2023	131100	0	131100	2024-12-04
296	2022	131100	0	131100	2024-12-04
297	2025	40800	88400	129200	2024-12-04
297	2023	40800	88400	129200	2024-12-04
297	2022	40800	88400	129200	2024-12-04
298	2025	168100	118200	286300	2024-12-04
298	2023	168100	118200	286300	2024-12-04
298	2022	168100	118200	286300	2024-12-04
299	2025	108200	133400	241600	2024-12-04
299	2023	108200	133400	241600	2024-12-04
299	2022	108200	133400	241600	2024-12-04
300	2025	116500	93400	209900	2024-12-04
300	2023	116500	93400	209900	2024-12-04
300	2022	116500	93400	209900	2024-12-04
301	2025	197200	235000	432200	2024-12-04
301	2023	197200	235000	432200	2024-12-04
301	2022	197200	235000	432200	2024-12-04
303	2025	398500	179200	577700	2024-12-04
303	2023	392100	179200	571300	2024-12-04
303	2022	392100	179200	571300	2024-12-04
306	2025	252100	220000	472100	2024-12-04
306	2023	252100	220000	472100	2024-12-04
306	2022	252100	220000	472100	2024-12-04
307	2025	520400	362500	882900	2024-12-04
307	2023	498100	362500	860600	2024-12-04
307	2022	498100	362500	860600	2024-12-04
308	2025	280100	196600	476700	2024-12-04
308	2023	280100	196600	476700	2024-12-04
308	2022	280100	196600	476700	2024-12-04
309	2025	283000	571900	854900	2024-12-04
309	2023	283000	571900	854900	2024-12-04
309	2022	283000	571900	854900	2024-12-04
310	2025	511300	244800	756100	2024-12-04
310	2023	511300	244800	756100	2024-12-04
310	2022	511300	244800	756100	2024-12-04
311	2025	0	637800	637800	2024-12-04
311	2023	0	637800	637800	2024-12-04
311	2022	0	637800	637800	2024-12-04
313	2025	675600	661400	1337000	2024-12-04
313	2023	675600	661400	1337000	2024-12-04
313	2022	675600	661400	1337000	2024-12-04
315	2025	484200	174900	659100	2024-12-04
315	2023	484200	174900	659100	2024-12-04
315	2022	484200	174900	659100	2024-12-04
