App. Year	Improvements	Land	Total	PID	CollectedOn
2022	121800	185100	306900	103	2023-12-18
2021	121800	185100	306900	103	2023-12-18
2023	1055000	394300	1449300	104	2023-12-18
2022	1055000	394300	1449300	104	2023-12-18
2021	1055000	394300	1449300	104	2023-12-18
2023	236100	274300	510400	105	2023-12-18
2022	236100	274300	510400	105	2023-12-18
2021	236100	274300	510400	105	2023-12-18
2023	1421000	488300	1909300	106	2023-12-18
2022	1421000	488300	1909300	106	2023-12-18
2021	1421000	488300	1909300	106	2023-12-18
2023	359500	263700	623200	107	2023-12-18
2022	359500	263700	623200	107	2023-12-18
2021	359500	263700	623200	107	2023-12-18
2023	4400	424700	429100	111	2023-12-18
2022	4400	424700	429100	111	2023-12-18
2021	4400	424700	429100	111	2023-12-18
2023	89200	194200	283400	115	2023-12-18
2022	51000	194200	245200	115	2023-12-18
2021	221200	258500	479700	115	2023-12-18
2023	249500	148200	397700	116	2023-12-18
2022	249500	148200	397700	116	2023-12-18
2021	249500	148200	397700	116	2023-12-18
2023	435400	0	435400	117	2023-12-18
2022	426300	0	426300	117	2023-12-18
2021	426300	0	426300	117	2023-12-18
2023	155800	405100	560900	118	2023-12-18
2022	155800	405100	560900	118	2023-12-18
2021	155800	405100	560900	118	2023-12-18
2023	462100	360800	822900	120	2023-12-18
2022	462100	360800	822900	120	2023-12-18
2021	462100	360800	822900	120	2023-12-18
2023	124500	143700	268200	121	2023-12-18
2022	2900	143700	146600	121	2023-12-18
2021	2400	143700	146100	121	2023-12-18
2023	273000	133300	406300	122	2023-12-18
2022	273000	133300	406300	122	2023-12-18
2021	273000	133300	406300	122	2023-12-18
2023	151900	132200	284100	123	2023-12-18
2022	151900	132200	284100	123	2023-12-18
2021	151900	132200	284100	123	2023-12-18
2023	354900	223000	577900	124	2023-12-18
2022	354900	223000	577900	124	2023-12-18
2021	354900	223000	577900	124	2023-12-18
2023	272000	155700	427700	125	2023-12-18
2022	272000	155700	427700	125	2023-12-18
2021	272000	155700	427700	125	2023-12-18
2023	240200	153300	393500	127	2023-12-18
2022	240200	153300	393500	127	2023-12-18
2021	240200	153300	393500	127	2023-12-18
2023	395000	188500	583500	128	2023-12-18
2022	395000	188500	583500	128	2023-12-18
2021	395000	188500	583500	128	2023-12-18
2023	182300	157500	339800	129	2023-12-18
2022	182300	157500	339800	129	2023-12-18
2021	182300	157500	339800	129	2023-12-18
2023	0	40300	40300	132	2023-12-18
2022	0	40300	40300	132	2023-12-18
2021	0	40300	40300	132	2023-12-18
2023	42000	0	42000	133	2023-12-18
2022	42000	0	42000	133	2023-12-18
2021	42000	0	42000	133	2023-12-18
2023	15200	12200	27400	136	2023-12-18
2022	15200	12200	27400	136	2023-12-18
2021	15200	12200	27400	136	2023-12-18
2023	46900	189400	236300	137	2023-12-18
2022	46900	189400	236300	137	2023-12-18
2021	46900	189400	236300	137	2023-12-18
2023	1194500	246000	1440500	138	2023-12-18
2022	1194500	246000	1440500	138	2023-12-18
2021	1194500	246000	1440500	138	2023-12-18
2023	81400	166400	247800	139	2023-12-18
2022	81400	166400	247800	139	2023-12-18
2021	81400	166400	247800	139	2023-12-18
2023	595300	151500	746800	140	2023-12-18
2022	575300	151500	726800	140	2023-12-18
2021	575300	151500	726800	140	2023-12-18
2023	183800	209900	393700	142	2023-12-18
2022	183800	209900	393700	142	2023-12-18
2021	183800	209900	393700	142	2023-12-18
2023	334100	206900	541000	143	2023-12-18
2022	334100	206900	541000	143	2023-12-18
2021	334100	206900	541000	143	2023-12-18
2023	145200	133000	278200	144	2023-12-18
2022	145200	133000	278200	144	2023-12-18
2021	144800	133000	277800	144	2023-12-18
2023	163800	142700	306500	148	2023-12-18
2022	163800	142700	306500	148	2023-12-18
2021	163800	142700	306500	148	2023-12-18
2023	385600	171200	556800	149	2023-12-18
2022	385600	171200	556800	149	2023-12-18
2021	385600	171200	556800	149	2023-12-18
2023	402500	170200	572700	150	2023-12-18
2022	410700	170200	580900	150	2023-12-18
2021	410700	170200	580900	150	2023-12-18
2023	0	218500	218500	151	2023-12-18
2022	0	218500	218500	151	2023-12-18
2021	0	218500	218500	151	2023-12-18
2023	176000	84800	260800	152	2023-12-18
2022	176000	84800	260800	152	2023-12-18
2021	175200	84800	260000	152	2023-12-18
2023	149400	111300	260700	153	2023-12-18
2022	149400	111300	260700	153	2023-12-18
2021	149400	111300	260700	153	2023-12-18
2023	82500	82400	164900	154	2023-12-18
2022	82500	82400	164900	154	2023-12-18
2021	82500	82400	164900	154	2023-12-18
2023	23700	166100	189800	159	2023-12-18
2022	21200	166100	187300	159	2023-12-18
2021	21200	166100	187300	159	2023-12-18
2023	562100	219600	781700	161	2023-12-18
2022	562100	219600	781700	161	2023-12-18
2021	562100	219600	781700	161	2023-12-18
2023	172300	126800	299100	162	2023-12-18
2022	165400	126800	292200	162	2023-12-18
2021	165400	126800	292200	162	2023-12-18
2023	269600	158900	428500	163	2023-12-18
2022	269600	158900	428500	163	2023-12-18
2021	269600	158900	428500	163	2023-12-18
2023	46200	98300	144500	164	2023-12-18
2022	46200	98300	144500	164	2023-12-18
2021	46200	98300	144500	164	2023-12-18
2023	289300	224000	513300	167	2023-12-18
2022	289300	224000	513300	167	2023-12-18
2021	289300	224000	513300	167	2023-12-18
2023	174500	129600	304100	168	2023-12-18
2022	174500	129600	304100	168	2023-12-18
2021	174500	129600	304100	168	2023-12-18
2023	154200	111100	265300	169	2023-12-18
2022	154200	111100	265300	169	2023-12-18
2021	154200	111100	265300	169	2023-12-18
2023	1225500	266800	1492300	170	2023-12-18
2022	1225500	266800	1492300	170	2023-12-18
2021	1225500	266800	1492300	170	2023-12-18
2023	0	144500	144500	171	2023-12-18
2022	0	144500	144500	171	2023-12-18
2021	0	144500	144500	171	2023-12-18
2023	0	161400	161400	172	2023-12-18
2022	0	161400	161400	172	2023-12-18
2021	0	161400	161400	172	2023-12-18
2023	465200	146600	611800	173	2023-12-18
2022	465200	146600	611800	173	2023-12-18
2021	465200	154000	619200	173	2023-12-18
2023	152300	132200	284500	174	2023-12-18
2022	152300	132200	284500	174	2023-12-18
2021	152300	132200	284500	174	2023-12-18
2023	156600	137900	294500	176	2023-12-18
2022	156600	137900	294500	176	2023-12-18
2021	156600	137900	294500	176	2023-12-18
2023	81400	129800	211200	177	2023-12-18
2022	81400	129800	211200	177	2023-12-18
2021	85100	129800	214900	177	2023-12-18
2023	231800	126600	358400	178	2023-12-18
2022	231800	126600	358400	178	2023-12-18
2021	231800	126600	358400	178	2023-12-18
2023	149400	138100	287500	179	2023-12-18
2022	149400	138100	287500	179	2023-12-18
2021	149400	138100	287500	179	2023-12-18
2023	597800	284700	882500	180	2023-12-18
2022	597800	284700	882500	180	2023-12-18
2021	597800	284700	882500	180	2023-12-18
2023	0	333600	333600	181	2023-12-18
2022	0	333600	333600	181	2023-12-18
2021	0	333600	333600	181	2023-12-18
2023	546700	233200	779900	182	2023-12-18
2022	507900	233200	741100	182	2023-12-18
2021	507900	233200	741100	182	2023-12-18
2023	282900	103000	385900	183	2023-12-18
2022	282900	103000	385900	183	2023-12-18
2021	10900	103000	113900	183	2023-12-18
2023	314000	322400	636400	187	2023-12-18
2022	314000	322400	636400	187	2023-12-18
2021	351200	344600	695800	187	2023-12-18
2023	613900	312400	926300	188	2023-12-18
2022	613900	312400	926300	188	2023-12-18
2021	329500	275100	604600	188	2023-12-18
2023	8500	129600	138100	189	2023-12-18
2022	8500	129600	138100	189	2023-12-18
2021	8500	129600	138100	189	2023-12-18
2023	0	59200	59200	190	2023-12-18
2022	0	59200	59200	190	2023-12-18
2021	0	59200	59200	190	2023-12-18
2023	0	204100	204100	191	2023-12-18
2022	0	204100	204100	191	2023-12-18
2021	0	204100	204100	191	2023-12-18
2023	0	689600	689600	192	2023-12-18
2022	0	689600	689600	192	2023-12-18
2021	0	689600	689600	192	2023-12-18
2023	0	22300	22300	194	2023-12-18
2022	0	22300	22300	194	2023-12-18
2021	0	22300	22300	194	2023-12-18
2023	343500	176200	519700	195	2023-12-18
2022	343500	176200	519700	195	2023-12-18
2021	343500	176200	519700	195	2023-12-18
2023	0	166600	166600	197	2023-12-18
2022	0	166600	166600	197	2023-12-18
2021	0	166600	166600	197	2023-12-18
2023	322700	251700	574400	201	2023-12-18
2022	322700	251700	574400	201	2023-12-18
2021	322700	251700	574400	201	2023-12-18
2023	420600	774500	1195100	202	2023-12-18
2022	418600	774500	1193100	202	2023-12-18
2021	392300	774500	1166800	202	2023-12-18
2023	232400	125100	357500	203	2023-12-18
2022	232400	125100	357500	203	2023-12-18
2021	232400	125100	357500	203	2023-12-18
2023	396000	484700	880700	204	2023-12-18
2022	396000	484700	880700	204	2023-12-18
2021	396000	484700	880700	204	2023-12-18
2023	606800	227800	834600	206	2023-12-18
2022	606800	227800	834600	206	2023-12-18
2021	606800	227800	834600	206	2023-12-18
2023	1700	647500	649200	207	2023-12-18
2022	1700	647500	649200	207	2023-12-18
2021	1700	647500	649200	207	2023-12-18
2023	136600	142400	279000	208	2023-12-18
2022	180600	142400	323000	208	2023-12-18
2021	180600	142400	323000	208	2023-12-18
2023	124500	143300	267800	209	2023-12-18
2022	124500	143300	267800	209	2023-12-18
2021	119000	143300	262300	209	2023-12-18
2023	193800	143300	337100	210	2023-12-18
2022	193800	143300	337100	210	2023-12-18
2021	193800	143300	337100	210	2023-12-18
2023	0	476800	476800	217	2023-12-18
2022	0	476800	476800	217	2023-12-18
2021	0	476800	476800	217	2023-12-18
2023	176100	164500	340600	219	2023-12-18
2022	176100	164500	340600	219	2023-12-18
2021	176100	164500	340600	219	2023-12-18
2023	180400	108100	288500	220	2023-12-18
2022	180400	108100	288500	220	2023-12-18
2021	180400	108100	288500	220	2023-12-18
2023	221900	95600	317500	221	2023-12-18
2022	221900	95600	317500	221	2023-12-18
2021	221900	95600	317500	221	2023-12-18
2023	269100	168700	437800	222	2023-12-18
2022	269100	168700	437800	222	2023-12-18
2021	269100	168700	437800	222	2023-12-18
2023	334100	175300	509400	223	2023-12-18
2022	334100	175300	509400	223	2023-12-18
2021	322900	175300	498200	223	2023-12-18
2023	234300	215300	449600	224	2023-12-18
2022	234300	215300	449600	224	2023-12-18
2021	234300	215300	449600	224	2023-12-18
2023	86100	176600	262700	225	2023-12-18
2022	86100	176600	262700	225	2023-12-18
2021	86100	176600	262700	225	2023-12-18
2023	312700	179600	492300	229	2023-12-18
2022	312700	179600	492300	229	2023-12-18
2021	312700	179600	492300	229	2023-12-18
2023	0	218200	218200	230	2023-12-18
2022	0	218200	218200	230	2023-12-18
2021	0	218200	218200	230	2023-12-18
2023	0	91300	91300	231	2023-12-18
2022	82800	91300	174100	231	2023-12-18
2021	82800	91300	174100	231	2023-12-18
2023	72200	57800	130000	232	2023-12-18
2022	72200	57800	130000	232	2023-12-18
2021	72200	57800	130000	232	2023-12-18
2023	81500	65100	146600	233	2023-12-18
2022	81500	65100	146600	233	2023-12-18
2021	81500	65100	146600	233	2023-12-18
2023	228500	134400	362900	234	2023-12-18
2022	228500	134400	362900	234	2023-12-18
2021	228500	134400	362900	234	2023-12-18
2023	455900	169300	625200	235	2023-12-18
2022	455900	169300	625200	235	2023-12-18
2021	455900	169300	625200	235	2023-12-18
2023	184400	119700	304100	236	2023-12-18
2022	184400	119700	304100	236	2023-12-18
2021	184400	119700	304100	236	2023-12-18
2023	45100	88200	133300	237	2023-12-18
2022	45100	88200	133300	237	2023-12-18
2021	45100	88200	133300	237	2023-12-18
2023	149100	133300	282400	238	2023-12-18
2022	149100	133300	282400	238	2023-12-18
2021	149100	133300	282400	238	2023-12-18
2023	62700	719400	782100	241	2023-12-18
2022	143900	719400	863300	241	2023-12-18
2021	143900	719400	863300	241	2023-12-18
2023	0	9700	9700	243	2023-12-18
2022	0	9700	9700	243	2023-12-18
2021	0	9700	9700	243	2023-12-18
2023	0	800	800	244	2023-12-18
2022	0	800	800	244	2023-12-18
2021	0	800	800	244	2023-12-18
2023	193200	115700	308900	245	2023-12-18
2022	193200	115700	308900	245	2023-12-18
2021	193200	115700	308900	245	2023-12-18
2023	0	300300	300300	246	2023-12-18
2022	0	300300	300300	246	2023-12-18
2021	0	300300	300300	246	2023-12-18
2023	13400	149200	162600	247	2023-12-18
2022	13400	149200	162600	247	2023-12-18
2021	13400	149200	162600	247	2023-12-18
2023	126300	137700	264000	248	2023-12-18
2022	126300	137700	264000	248	2023-12-18
2021	126300	137700	264000	248	2023-12-18
2023	155900	144300	300200	249	2023-12-18
2022	155900	144300	300200	249	2023-12-18
2021	155900	144300	300200	249	2023-12-18
2023	0	341700	341700	250	2023-12-18
2022	0	341700	341700	250	2023-12-18
2021	0	341700	341700	250	2023-12-18
2023	367000	349100	716100	251	2023-12-18
2022	367000	349100	716100	251	2023-12-18
2021	367000	349100	716100	251	2023-12-18
2023	176700	251500	428200	252	2023-12-18
2022	176700	251500	428200	252	2023-12-18
2021	176700	251500	428200	252	2023-12-18
2023	212100	150400	362500	253	2023-12-18
2022	212100	150400	362500	253	2023-12-18
2021	212100	150400	362500	253	2023-12-18
2023	356800	460900	817700	254	2023-12-18
2022	356800	460900	817700	254	2023-12-18
2021	356800	460900	817700	254	2023-12-18
2023	523800	129400	653200	255	2023-12-18
2022	471100	129400	600500	255	2023-12-18
2021	435400	129400	564800	255	2023-12-18
2023	1367900	364300	1732200	256	2023-12-18
2022	1367900	364300	1732200	256	2023-12-18
2021	1367900	364300	1732200	256	2023-12-18
2023	56900	130700	187600	257	2023-12-18
2022	56900	130700	187600	257	2023-12-18
2021	56900	130700	187600	257	2023-12-18
2023	378800	0	378800	258	2023-12-18
2022	378800	0	378800	258	2023-12-18
2021	378800	0	378800	258	2023-12-18
2023	2454700	592700	3047400	259	2023-12-18
2022	2454700	592700	3047400	259	2023-12-18
2021	2454700	592700	3047400	259	2023-12-18
2023	82600	164500	247100	260	2023-12-18
2022	82600	164500	247100	260	2023-12-18
2021	82600	164500	247100	260	2023-12-18
2023	66900	122600	189500	267	2023-12-18
2022	66900	122600	189500	267	2023-12-18
2021	66900	122600	189500	267	2023-12-18
2023	54400	117800	172200	270	2023-12-18
2022	54400	117800	172200	270	2023-12-18
2021	54400	117800	172200	270	2023-12-18
2023	293800	127600	421400	271	2023-12-18
2022	293800	127600	421400	271	2023-12-18
2021	293800	127600	421400	271	2023-12-18
2023	0	11300	11300	272	2023-12-18
2022	0	11300	11300	272	2023-12-18
2021	0	11300	11300	272	2023-12-18
2023	32800	100700	133500	273	2023-12-18
2022	32800	100700	133500	273	2023-12-18
2021	32800	100700	133500	273	2023-12-18
2023	230700	139000	369700	274	2023-12-18
2022	230700	139000	369700	274	2023-12-18
2021	230700	139000	369700	274	2023-12-18
2023	15500	109800	125300	275	2023-12-18
2022	15500	109800	125300	275	2023-12-18
2021	30200	109800	140000	275	2023-12-18
2023	133100	173400	306500	276	2023-12-18
2022	133100	173400	306500	276	2023-12-18
2021	133100	173400	306500	276	2023-12-18
2023	0	58200	58200	277	2023-12-18
2022	0	58200	58200	277	2023-12-18
2021	0	58200	58200	277	2023-12-18
2023	147100	303100	450200	278	2023-12-18
2022	147100	303100	450200	278	2023-12-18
2021	159300	313600	472900	278	2023-12-18
2023	161300	176800	338100	279	2023-12-18
2022	161300	176800	338100	279	2023-12-18
2021	161300	176800	338100	279	2023-12-18
2023	0	431500	431500	280	2023-12-18
2022	0	431500	431500	280	2023-12-18
2021	0	431500	431500	280	2023-12-18
2023	25500	171600	197100	283	2023-12-18
2022	25500	171600	197100	283	2023-12-18
2021	25500	171600	197100	283	2023-12-18
2023	566500	297100	863600	287	2023-12-18
2022	566500	297100	863600	287	2023-12-18
2021	566500	297100	863600	287	2023-12-18
2023	245600	328100	573700	288	2023-12-18
2022	245600	328100	573700	288	2023-12-18
2021	245600	328100	573700	288	2023-12-18
2023	618200	454000	1072200	290	2023-12-18
2022	618200	454000	1072200	290	2023-12-18
2021	618200	454000	1072200	290	2023-12-18
2023	0	139200	139200	291	2023-12-18
2022	0	139200	139200	291	2023-12-18
2021	0	139200	139200	291	2023-12-18
2023	376400	569300	945700	292	2023-12-18
2022	($18,800)	569300	550500	292	2023-12-18
2021	376400	569300	945700	292	2023-12-18
2023	411100	386400	797500	294	2023-12-18
2022	411100	386400	797500	294	2023-12-18
2021	411100	386400	797500	294	2023-12-18
2023	132400	104100	236500	295	2023-12-18
2022	132400	104100	236500	295	2023-12-18
2021	132400	104100	236500	295	2023-12-18
2023	131100	0	131100	296	2023-12-18
2022	131100	0	131100	296	2023-12-18
2021	131100	0	131100	296	2023-12-18
2023	40800	88400	129200	297	2023-12-18
2022	40800	88400	129200	297	2023-12-18
2021	40800	88400	129200	297	2023-12-18
2023	168100	118200	286300	298	2023-12-18
2022	168100	118200	286300	298	2023-12-18
2021	168100	118200	286300	298	2023-12-18
2023	108200	133400	241600	299	2023-12-18
2022	108200	133400	241600	299	2023-12-18
2021	108200	133400	241600	299	2023-12-18
2023	116500	93400	209900	300	2023-12-18
2022	116500	93400	209900	300	2023-12-18
2021	116500	93400	209900	300	2023-12-18
2023	197200	235000	432200	301	2023-12-18
2022	197200	235000	432200	301	2023-12-18
2021	197200	235000	432200	301	2023-12-18
2023	392100	179200	571300	303	2023-12-18
2022	392100	179200	571300	303	2023-12-18
2021	392100	179200	571300	303	2023-12-18
2023	252100	220000	472100	306	2023-12-18
2022	252100	220000	472100	306	2023-12-18
2021	254500	220000	474500	306	2023-12-18
2023	498100	362500	860600	307	2023-12-18
2022	498100	362500	860600	307	2023-12-18
2021	498100	362500	860600	307	2023-12-18
2023	280100	196600	476700	308	2023-12-18
2022	280100	196600	476700	308	2023-12-18
2021	280100	196600	476700	308	2023-12-18
2023	283000	571900	854900	309	2023-12-18
2022	283000	571900	854900	309	2023-12-18
2021	283000	571900	854900	309	2023-12-18
2023	511300	244800	756100	310	2023-12-18
2022	511300	244800	756100	310	2023-12-18
2021	511300	244800	756100	310	2023-12-18
2023	0	637800	637800	311	2023-12-18
2022	0	637800	637800	311	2023-12-18
2021	0	637800	637800	311	2023-12-18
2023	675600	661400	1337000	313	2023-12-18
2022	675600	661400	1337000	313	2023-12-18
2021	675600	661400	1337000	313	2023-12-18
2023	484200	174900	659100	315	2023-12-18
2022	484200	174900	659100	315	2023-12-18
2021	484200	174900	659100	315	2023-12-18
2023	229500	180700	410200	316	2023-12-18
2022	229500	180700	410200	316	2023-12-18
2021	229500	180700	410200	316	2023-12-18
2023	361800	152900	514700	317	2023-12-18
2022	361800	152900	514700	317	2023-12-18
2021	361800	152900	514700	317	2023-12-18
2023	381800	222900	604700	319	2023-12-18
2022	381800	222900	604700	319	2023-12-18
2021	381800	222900	604700	319	2023-12-18
