MS1_Year,MS1_Null,MS1_Row,MS1_Description,MS1_AC_CT,MS1_Valuation,MS1_Key,MS1_Category
2015,,8,Improvements to Assist Persons with Disabilities,0,0 ,Count / Valuation,Exemption
2015,,9,School Dining/Dormitory/Kitchen Exemption,0,0 ,Count / Valuation,Exemption
2015,,10A,Non-Utility Water & Air Pollution Control Exempt.,0,0 ,Count / Valuation,Exemption
2015,,10B,Utility Water & Air Pollution Control Exemption,0,0 ,Count / Valuation,Exemption
2015,,,,,,,
2015,,11,Modified Assessed Value,,0 ,--- / Valuation,Mod Assess Value
2015,,,,,,,
2015,,12,"Blind Exemption $67,500",3,"202,500 ",Count / Valuation,Exemption
2015,,13,Elderly Exemption,18,"2,873,000 ",Count / Valuation,Exemption
2015,,14,"Deaf Exemption $135,000",0,0 ,Count / Valuation,Exemption
2015,,15,"Disabled Exemption $135,000",2,"270,000 ",Count / Valuation,Exemption
2015,,16,Wood Heating Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2015,,17,Solar Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2015,,18,Wind Powered Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2015,,19,Additional School/Dining/Dorm/Kitchen Exemptions,0,0 ,Count / Valuation,Exemption
2015,,19A,Electric Energy Storage Systems,0,0 ,Count / Valuation,Exemption
2015,,19B,Renewable Generation Facility & Elec. Energy Sys,0,0 ,Count / Valuation,Exemption
2015,,,,,,,
2015,,20,Total Dollar amount of Exemptions,,"33,455,000 ",--- / Valuation,Total Exemption
2015,,21A,Net Valuation,,"330,509,300 ",--- / Valuation,Valuations
2015,,21B,Less TIF Related Value,,,--- / Valuation,Valuations
2015,,21C,Net Valuation Adj to remove TIF Retained Value,,0 ,--- / Valuation,Valuations
2015,,21D,Less Commercial/Industrial Construction Exemption,,0 ,--- / Valuation,Valuations
2015,,21E,Net Valuation Adj. to Remove TIF and Comm/Ind,,0 ,--- / Valuation,Valuations
2015,,22,Less Utilities,,"5,514,600 ",--- / Valuation,Valuations
2015,,23A,Net Valuation without Utilities,,"324,994,700 ",--- / Valuation,Valuations
2015,,23B,"Net Valuation without Util, Adj. to remove TIF",,0 ,--- / Valuation,Valuations
,,,,,,,
Year,,,,Acres,Valuation,Key,Category
2016,,1A,Current Use Land RSA 79-A,26222,"2,283,900 ",Acres / Valuation,Land Value
2016,,1B,Conservation Restriction Assessment RSA 79-B,134.15,"10,700 ",Acres / Valuation,Land Value
2016,,1C,Discretionary Easements RSA 79-C,0,0 ,Acres / Valuation,Land Value
2016,,1D,Discretionary Preservation Easements RSA 79-D,1,"19,500 ",Acres / Valuation,Land Value
2016,,1E,Taxation of Land under Farm Structures RSA 79-F,0,0 ,Acres / Valuation,Land Value
2016,,1F,Residential Land,2314,"120,770,900 ",Acres / Valuation,Land Value
2016,,1G,Commercial/Industrial Land,87,"5,946,300 ",Acres / Valuation,Land Value
2016,,1H,Total of Taxable Land,28758.15,"129,031,300 ",Acres / Valuation,Land Value
2016,,1I,Tax Exempt and Non-Taxable Land,5258,"13,669,300 ",Acres / Valuation,Land Value
2016,,,,,,,
2016,,,,Structures,Valuation,,
2016,,2A,Residential,0,"199,329,600 ",Structures / Valuation,Building Value
2016,,2B,Manufactured Housing,0,"861,600 ",Structures / Valuation,Building Value
2016,,2C,Commercial/Industrial,0,"12,137,800 ",Structures / Valuation,Building Value
2016,,2D,Discretionary Preservation Easements,0,"71,500 ",Structures / Valuation,Building Value
2016,,2E,Taxation of Farm Structures,0,0 ,Structures / Valuation,Building Value
2016,,2F,Total of Taxable Buildings,0,"212,400,500 ",Structures / Valuation,Building Value
2016,,2G,Tax Exempt and Non-Taxable Buildings,0,"16,584,200 ",Structures / Valuation,Building Value
2016,,,,,,,
2016,,,,,,,
2016,,3A,Utilities,,"6,156,700 ",--- / Valuation,Util&Timber
2016,,3B,Other Utilities,,0 ,,Util&Timber
2016,,4,Mature Wood and Timber,,0 ,,Util&Timber
2016,,,,,,,
2016,,5,Valuation before Exemption,,"347,588,500 ",--- / Valuation,Value before Exemption
2016,,,,,,,
2016,,,,Total,,,
2016,,6,Certain Disabled Veterans,0,0 ,Count / Valuation,Exemption
2016,,7,Improvements to Assist the Deaf,0,0 ,Count / Valuation,Exemption
2016,,8,Improvements to Assist Persons with Disabilities,0,0 ,Count / Valuation,Exemption
2016,,9,School Dining/Dormitory/Kitchen Exemption,0,0 ,Count / Valuation,Exemption
2016,,10A,Non-Utility Water & Air Pollution Control Exempt.,0,0 ,Count / Valuation,Exemption
2016,,10B,Utility Water & Air Pollution Control Exemption,0,0 ,Count / Valuation,Exemption
2016,,,,,,,
2016,,11,Modified Assessed Value,,"347,588,700 ",--- / Valuation,Mod Assess Value
2016,,,,,,,
2016,,12,Blind Exemption,3,"145,100 ",Count / Valuation,Exemption
2016,,13,Elderly Exemption,23,"3,503,900 ",Count / Valuation,Exemption
2016,,14,Deaf Exemption,0,0 ,Count / Valuation,Exemption
2016,,15,Disabled Exemption,3,"332,300 ",Count / Valuation,Exemption
2016,,16,Wood Heating Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2016,,17,Solar Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2016,,18,Wind Powered Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2016,,19,Additional School/Dining/Dorm/Kitchen Exemptions,0,0 ,Count / Valuation,Exemption
2016,,19A,Electric Energy Storage Systems,0,0 ,Count / Valuation,Exemption
2016,,19B,Renewable Generation Facility & Elec. Energy Sys,0,0 ,Count / Valuation,Exemption
2016,,,,,,,
2016,,20,Total Dollar amount of Exemptions,,"3,981,300 ",--- / Valuation,Total Exemption
2016,,21A,Net Valuation,,"343,607,200 ",--- / Valuation,Valuations
2016,,21B,Less TIF Related Value,,"6,156,700 ",--- / Valuation,Valuations
2016,,21C,Net Valuation Adj to remove TIF Retained Value,,"337,450,500 ",--- / Valuation,Valuations
2016,,21D,Less Commercial/Industrial Construction Exemption,,0 ,--- / Valuation,Valuations
2016,,21E,Net Valuation Adj. to Remove TIF and Comm/Ind,,0 ,--- / Valuation,Valuations
2016,,22,Less Utilities,,"6,156,700 ",--- / Valuation,Valuations
2016,,23A,Net Valuation without Utilities,,0 ,--- / Valuation,Valuations
2016,,23B,"Net Valuation without Util, Adj. to remove TIF",,0 ,--- / Valuation,Valuations
,,,,,,,
Year,,,,Acres,Valuation,Key,Category
2017,,1A,Current Use Land RSA 79-A,26330.36,"2,296,400 ",Acres / Valuation,Land Value
2017,,1B,Conservation Restriction Assessment RSA 79-B,110.32,"14,100 ",Acres / Valuation,Land Value
2017,,1C,Discretionary Easements RSA 79-C,0,0 ,Acres / Valuation,Land Value
2017,,1D,Discretionary Preservation Easements RSA 79-D,1,"19,500 ",Acres / Valuation,Land Value
2017,,1E,Taxation of Land under Farm Structures RSA 79-F,0,0 ,Acres / Valuation,Land Value
2017,,1F,Residential Land,2315.42,"121,172,500 ",Acres / Valuation,Land Value
2017,,1G,Commercial/Industrial Land,87,"5,946,300 ",Acres / Valuation,Land Value
2017,,1H,Total of Taxable Land,28844.1,"129,448,800 ",Acres / Valuation,Land Value
2017,,1I,Tax Exempt and Non-Taxable Land,5258,"13,669,300 ",Acres / Valuation,Land Value
2017,,,,,,,
2017,,,,Structures,Valuation,,
2017,,2A,Residential,0,"201,582,200 ",Structures / Valuation,Building Value
2017,,2B,Manufactured Housing,0,"886,300 ",Structures / Valuation,Building Value
2017,,2C,Commercial/Industrial,0,"12,129,500 ",Structures / Valuation,Building Value
2017,,2D,Discretionary Preservation Easements,10,"71,500 ",Structures / Valuation,Building Value
2017,,2E,Taxation of Farm Structures,0,0 ,Structures / Valuation,Building Value
2017,,2F,Total of Taxable Buildings,0,"214,669,500 ",Structures / Valuation,Building Value
2017,,2G,Tax Exempt and Non-Taxable Buildings,0,"16,610,700 ",Structures / Valuation,Building Value
2017,,,,,,,
2017,,,,,,,
2017,,3A,Utilities,,"6,302,300 ",--- / Valuation,Util&Timber
2017,,3B,Other Utilities,,0 ,,Util&Timber
2017,,4,Mature Wood and Timber,,0 ,,Util&Timber
2017,,,,,,,
2017,,5,Valuation before Exemption,,"350,420,600 ",--- / Valuation,Value before Exemption
2017,,,,,,,
2017,,,,Total,,,
2017,,6,Certain Disabled Veterans,0,0 ,Count / Valuation,Exemption
2017,,7,Improvements to Assist the Deaf,0,0 ,Count / Valuation,Exemption
2017,,8,Improvements to Assist Persons with Disabilities,0,0 ,Count / Valuation,Exemption
2017,,9,School Dining/Dormitory/Kitchen Exemption,0,0 ,Count / Valuation,Exemption
2017,,10A,Non-Utility Water & Air Pollution Control Exempt.,0,0 ,Count / Valuation,Exemption
2017,,10B,Utility Water & Air Pollution Control Exemption,0,0 ,Count / Valuation,Exemption
2017,,,,,,,
2017,,11,Modified Assessed Value,,"350,420,600 ",--- / Valuation,Mod Assess Value
2017,,,,,,,
2017,,12,Blind Exemption 3,67500,"202,500 ",Count / Valuation,Exemption
2017,,13,Elderly Exemption 24,0,"4,310,000 ",Count / Valuation,Exemption
2017,,14,Deaf Exemption,0,0 ,Count / Valuation,Exemption
2017,,15,Disabled 4,135000,"405,000 ",Count / Valuation,Exemption
2017,,16,Wood Heating Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2017,,17,Solar Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2017,,18,Wind Powered Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2017,,19,Additional School/Dining/Dorm/Kitchen Exemptions,0,0 ,Count / Valuation,Exemption
2017,,19A,Electric Energy Storage Systems,0,0 ,Count / Valuation,Exemption
2017,,19B,Renewable Generation Facility & Elec. Energy Sys,0,0 ,Count / Valuation,Exemption
2017,,,,,,,
2017,,20,Total Dollar amount of Exemptions,,"4,917,500 ",--- / Valuation,Total Exemption
2017,,21A,Net Valuation,,"345,503,100 ",--- / Valuation,Valuations
2017,,21B,Less TIF Related Value,,0 ,--- / Valuation,Valuations
2017,,21C,Net Valuation Adj to remove TIF Retained Value,,0 ,--- / Valuation,Valuations
2017,,21D,Less Commercial/Industrial Construction Exemption,,0 ,--- / Valuation,Valuations
2017,,21E,Net Valuation Adj. to Remove TIF and Comm/Ind,,0 ,--- / Valuation,Valuations
2017,,22,Less Utilities,,"6,302,300 ",--- / Valuation,Valuations
2017,,23A,Net Valuation without Utilities,,"339,200,800 ",--- / Valuation,Valuations
2017,,23B,"Net Valuation without Util, Adj. to remove TIF",,0 ,--- / Valuation,Valuations
,,,,,,,
Year,,,,Acres,Valuation,Key,Category
2018,,1A,Current Use Land RSA 79-A,26162.32,"2,276,600 ",Acres / Valuation,Land Value
2018,,1B,Conservation Restriction Assessment RSA 79-B,110.32,"13,300 ",Acres / Valuation,Land Value
2018,,1C,Discretionary Easements RSA 79-C,0,0 ,Acres / Valuation,Land Value
2018,,1D,Discretionary Preservation Easements RSA 79-D,4.61,"19,500 ",Acres / Valuation,Land Value
2018,,1E,Taxation of Land under Farm Structures RSA 79-F,0,0 ,Acres / Valuation,Land Value
2018,,1F,Residential Land,2329.14,"121,341,500 ",Acres / Valuation,Land Value
2018,,1G,Commercial/Industrial Land,86.99,"5,946,300 ",Acres / Valuation,Land Value
2018,,1H,Total of Taxable Land,28693.38,"129,597,200 ",Acres / Valuation,Land Value
2018,,1I,Tax Exempt and Non-Taxable Land,5251.24,"13,651,800 ",Acres / Valuation,Land Value
2018,,,,,,,
2018,,,,Structures,Valuation,,
2018,,2A,Residential,0,"205,399,600 ",Structures / Valuation,Building Value
2018,,2B,Manufactured Housing,0,"943,400 ",Structures / Valuation,Building Value
2018,,2C,Commercial/Industrial,0,"12,528,700 ",Structures / Valuation,Building Value
2018,,2D,Discretionary Preservation Easements,10,"71,500 ",Structures / Valuation,Building Value
2018,,2E,Taxation of Farm Structures,0,0 ,Structures / Valuation,Building Value
2018,,2F,Total of Taxable Buildings,0,"218,943,200 ",Structures / Valuation,Building Value
2018,,2G,Tax Exempt and Non-Taxable Buildings,0,"16,649,700 ",Structures / Valuation,Building Value
2018,,,,,,,
2018,,,,,,,
2018,,3A,Utilities,,"6,585,100 ",--- / Valuation,Util&Timber
2018,,3B,Other Utilities,,0 ,,Util&Timber
2018,,4,Mature Wood and Timber,,0 ,,Util&Timber
2018,,,,,,,
2018,,5,Valuation before Exemption,,"355,125,500 ",--- / Valuation,Value before Exemption
2018,,,,,,,
2018,,,,Total,,,
2018,,6,Certain Disabled Veterans,0,0 ,Count / Valuation,Exemption
2018,,7,Improvements to Assist the Deaf,0,0 ,Count / Valuation,Exemption
2018,,8,Improvements to Assist Persons with Disabilities,0,0 ,Count / Valuation,Exemption
2018,,9,School Dining/Dormitory/Kitchen Exemption,0,0 ,Count / Valuation,Exemption
2018,,10A,Non-Utility Water & Air Pollution Control Exempt.,0,0 ,Count / Valuation,Exemption
2018,,10B,Utility Water & Air Pollution Control Exemption,0,0 ,Count / Valuation,Exemption
2018,,,,,,,
2018,,11,Modified Assessed Value,,"355,125,500 ",--- / Valuation,Mod Assess Value
2018,,,,,,,
2018,,12,Blind Exemption,2,"135,000 ",Count / Valuation,Exemption
2018,,13,Elderly Exemption,24,"3,686,500 ",Count / Valuation,Exemption
2018,,14,Deaf Exemption,0,0 ,Count / Valuation,Exemption
2018,,15,Disabled Exemption,6,"767,100 ",Count / Valuation,Exemption
2018,,16,Wood Heating Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2018,,17,Solar Energy Systems Exemption,49,"700,000 ",Count / Valuation,Exemption
2018,,18,Wind Powered Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2018,,19,Additional School/Dining/Dorm/Kitchen Exemptions,0,0 ,Count / Valuation,Exemption
2018,,19A,Electric Energy Storage Systems,0,0 ,Count / Valuation,Exemption
2018,,19B,Renewable Generation Facility & Elec. Energy Sys,0,0 ,Count / Valuation,Exemption
2018,,,,,,,
2018,,20,Total Dollar amount of Exemptions,,"5,288,600 ",--- / Valuation,Total Exemption
2018,,21A,Net Valuation,,"349,836,900 ",--- / Valuation,Valuations
2018,,21B,Less TIF Related Value,,0 ,--- / Valuation,Valuations
2018,,21C,Net Valuation Adj to remove TIF Retained Value,,"349,836,900 ",--- / Valuation,Valuations
2018,,21D,Less Commercial/Industrial Construction Exemption,,,--- / Valuation,Valuations
2018,,21E,Net Valuation Adj. to Remove TIF and Comm/Ind,,0 ,--- / Valuation,Valuations
2018,,22,Less Utilities,,"6,585,100 ",--- / Valuation,Valuations
2018,,23A,Net Valuation without Utilities,,"343,251,800 ",--- / Valuation,Valuations
2018,,23B,"Net Valuation without Util, Adj. to remove TIF",,"343,251,800 ",--- / Valuation,Valuations
,,,,,,,
Year,,,,Acres,Valuation,Key,Category
2019,,1A,Current Use Land RSA 79-A,26203.33,"2,489,100 ",Acres / Valuation,Land Value
2019,,1B,Conservation Restriction Assessment RSA 79-B,117.88,"15,900 ",Acres / Valuation,Land Value
2019,,1C,Discretionary Easements RSA 79-C,0,0 ,Acres / Valuation,Land Value
2019,,1D,Discretionary Preservation Easements RSA 79-D,4.61,"19,500 ",Acres / Valuation,Land Value
2019,,1E,Taxation of Land under Farm Structures RSA 79-F,0,0 ,Acres / Valuation,Land Value
2019,,1F,Residential Land,2285.27,"121,206,600 ",Acres / Valuation,Land Value
2019,,1G,Commercial/Industrial Land,86.09,"5,659,400 ",Acres / Valuation,Land Value
2019,,1H,Total of Taxable Land,28697.18,"129,390,500 ",Acres / Valuation,Land Value
2019,,1I,Tax Exempt and Non-Taxable Land,5252.02,"13,938,200 ",Acres / Valuation,Land Value
2019,,,,,,,
2019,,,,Structures,Valuation,,
2019,,2A,Residential,0,"206,618,700 ",Structures / Valuation,Building Value
2019,,2B,Manufactured Housing,0,"1,047,000 ",Structures / Valuation,Building Value
2019,,2C,Commercial/Industrial,0,"12,185,400 ",Structures / Valuation,Building Value
2019,,2D,Discretionary Preservation Easements,10,"71,500 ",Structures / Valuation,Building Value
2019,,2E,Taxation of Farm Structures,0,0 ,Structures / Valuation,Building Value
2019,,2F,Total of Taxable Buildings,0,"219,922,600 ",Structures / Valuation,Building Value
2019,,2G,Tax Exempt and Non-Taxable Buildings,0,"16,991,400 ",Structures / Valuation,Building Value
2019,,,,,,,
2019,,,,,,,
2019,,3A,Utilities,,"5,745,700 ",--- / Valuation,Util&Timber
2019,,3B,Other Utilities,,0 ,,Util&Timber
2019,,4,Mature Wood and Timber,,0 ,,Util&Timber
2019,,,,,,,
2019,,5,Valuation before Exemption,,"355,058,800 ",--- / Valuation,Value before Exemption
2019,,,,,,,
2019,,,,Total,,,
2019,,6,Certain Disabled Veterans,0,0 ,Count / Valuation,Exemption
2019,,7,Improvements to Assist the Deaf,0,0 ,Count / Valuation,Exemption
2019,,8,Improvements to Assist Persons with Disabilities,0,0 ,Count / Valuation,Exemption
2019,,9,School Dining/Dormitory/Kitchen Exemption,0,0 ,Count / Valuation,Exemption
2019,,10A,Non-Utility Water & Air Pollution Control Exempt.,0,0 ,Count / Valuation,Exemption
2019,,10B,Utility Water & Air Pollution Control Exemption,0,0 ,Count / Valuation,Exemption
2019,,,,,,,
2019,,11,Modified Assessed Value,,"355,058,800 ",--- / Valuation,Mod Assess Value
2019,,,,,,,
2019,,12,Blind Exemption,0,0 ,Count / Valuation,Exemption
