Ass. Year,Improvements,Land,Total,PID,CollectedOn
2020,"$284,900 ","$215,400 ","$500,300 ",28,2023-01-25
,,,,,
2022,"$420,400 ","$235,700 ","$656,100 ",29,2023-01-25
2021,"$420,400 ","$235,700 ","$656,100 ",29,2023-01-25
2020,"$393,200 ","$207,900 ","$601,100 ",29,2023-01-25
,,,,,
2022,"$275,300 ","$218,200 ","$493,500 ",30,2023-01-25
2021,"$275,800 ","$218,200 ","$494,000 ",30,2023-01-25
2020,"$273,700 ","$161,800 ","$435,500 ",30,2023-01-25
,,,,,
2022,"$131,000 ","$146,800 ","$277,800 ",32,2023-01-25
2021,"$131,000 ","$146,800 ","$277,800 ",32,2023-01-25
2020,"$119,100 ","$154,700 ","$273,800 ",32,2023-01-25
,,,,,
2022,"$176,400 ","$151,600 ","$328,000 ",33,2023-01-25
2021,"$176,400 ","$151,600 ","$328,000 ",33,2023-01-25
2020,"$148,000 ","$153,900 ","$301,900 ",33,2023-01-25
,,,,,
2022,"$395,200 ","$157,700 ","$552,900 ",34,2023-01-25
2021,"$395,200 ","$157,700 ","$552,900 ",34,2023-01-25
2020,"$391,300 ","$166,100 ","$557,400 ",34,2023-01-25
,,,,,
2022,$0 ,"$29,200 ","$29,200 ",35,2023-01-25
2021,$0 ,"$29,200 ","$29,200 ",35,2023-01-25
2020,$0 ,"$24,000 ","$24,000 ",35,2023-01-25
,,,,,
2022,"$303,000 ","$416,200 ","$719,200 ",36,2023-01-25
2021,"$303,000 ","$416,200 ","$719,200 ",36,2023-01-25
2020,"$404,700 ","$318,600 ","$723,300 ",36,2023-01-25
,,,,,
2022,"$297,500 ","$353,000 ","$650,500 ",37,2023-01-25
2021,"$297,500 ","$353,000 ","$650,500 ",37,2023-01-25
2020,"$199,500 ","$286,400 ","$485,900 ",37,2023-01-25
,,,,,
2022,"$569,100 ","$237,000 ","$806,100 ",39,2023-01-25
2021,"$339,700 ","$237,000 ","$576,700 ",39,2023-01-25
2020,"$421,400 ","$208,700 ","$630,100 ",39,2023-01-25
,,,,,
2022,$0 ,"$43,000 ","$43,000 ",40,2023-01-25
2021,$0 ,"$43,000 ","$43,000 ",40,2023-01-25
2020,$0 ,"$37,300 ","$37,300 ",40,2023-01-25
,,,,,
2022,"$447,000 ","$186,000 ","$633,000 ",41,2023-01-25
2021,"$447,000 ","$186,000 ","$633,000 ",41,2023-01-25
2020,"$441,600 ","$175,800 ","$617,400 ",41,2023-01-25
,,,,,
2022,"$269,800 ","$218,700 ","$488,500 ",42,2023-01-25
2021,"$269,800 ","$218,700 ","$488,500 ",42,2023-01-25
2020,"$246,800 ","$192,400 ","$439,200 ",42,2023-01-25
,,,,,
2022,"$137,300 ","$208,300 ","$345,600 ",43,2023-01-25
2021,"$137,300 ","$208,300 ","$345,600 ",43,2023-01-25
2020,"$156,300 ","$163,100 ","$319,400 ",43,2023-01-25
,,,,,
2022,"$194,300 ",$0 ,"$194,300 ",50,2023-01-25
2021,"$194,300 ",$0 ,"$194,300 ",50,2023-01-25
2020,"$150,100 ",$0 ,"$150,100 ",50,2023-01-25
,,,,,
2022,"$197,400 ",$0 ,"$197,400 ",51,2023-01-25
2021,"$197,400 ",$0 ,"$197,400 ",51,2023-01-25
2020,"$144,300 ",$0 ,"$144,300 ",51,2023-01-25
,,,,,
2022,"$184,100 ",$0 ,"$184,100 ",52,2023-01-25
2021,"$184,100 ",$0 ,"$184,100 ",52,2023-01-25
2020,"$141,100 ",$0 ,"$141,100 ",52,2023-01-25
,,,,,
2022,"$208,500 ",$0 ,"$208,500 ",53,2023-01-25
2021,"$208,500 ",$0 ,"$208,500 ",53,2023-01-25
2020,"$162,700 ",$0 ,"$162,700 ",53,2023-01-25
,,,,,
2022,"$179,900 ",$0 ,"$179,900 ",54,2023-01-25
2021,"$179,900 ",$0 ,"$179,900 ",54,2023-01-25
2020,"$137,400 ",$0 ,"$137,400 ",54,2023-01-25
,,,,,
2022,"$195,600 ",$0 ,"$195,600 ",55,2023-01-25
2021,"$195,600 ",$0 ,"$195,600 ",55,2023-01-25
2020,"$151,200 ",$0 ,"$151,200 ",55,2023-01-25
,,,,,
2022,"$976,100 ","$234,500 ","$1,210,600 ",56,2023-01-25
2021,"$926,400 ","$234,500 ","$1,160,900 ",56,2023-01-25
2020,"$908,500 ","$186,700 ","$1,095,200 ",56,2023-01-25
,,,,,
2022,"$734,700 ","$230,000 ","$964,700 ",57,2023-01-25
2021,"$734,700 ","$230,000 ","$964,700 ",57,2023-01-25
2020,"$714,200 ","$202,400 ","$916,600 ",57,2023-01-25
,,,,,
2022,"$653,600 ","$262,000 ","$915,600 ",58,2023-01-25
2021,"$653,600 ","$262,000 ","$915,600 ",58,2023-01-25
2020,"$604,000 ","$255,500 ","$859,500 ",58,2023-01-25
,,,,,
2022,"$355,300 ","$156,500 ","$511,800 ",59,2023-01-25
2021,"$355,300 ","$156,500 ","$511,800 ",59,2023-01-25
2020,"$331,100 ","$165,000 ","$496,100 ",59,2023-01-25
,,,,,
2022,"$485,100 ","$218,900 ","$704,000 ",60,2023-01-25
2021,"$485,100 ","$218,900 ","$704,000 ",60,2023-01-25
2020,"$442,800 ","$192,600 ","$635,400 ",60,2023-01-25
,,,,,
2022,"$498,400 ","$163,900 ","$662,300 ",62,2023-01-25
2021,"$485,300 ","$163,900 ","$649,200 ",62,2023-01-25
2020,"$404,000 ","$172,100 ","$576,100 ",62,2023-01-25
,,,,,
2022,"$258,400 ","$232,100 ","$490,500 ",63,2023-01-25
2021,"$258,400 ","$232,100 ","$490,500 ",63,2023-01-25
2020,"$182,300 ","$204,300 ","$386,600 ",63,2023-01-25
,,,,,
2022,"$103,900 ","$218,200 ","$322,100 ",64,2023-01-25
2021,"$103,900 ","$218,200 ","$322,100 ",64,2023-01-25
2020,"$100,700 ","$161,800 ","$262,500 ",64,2023-01-25
,,,,,
2022,"$436,100 ","$228,900 ","$665,000 ",65,2023-01-25
2021,"$316,000 ","$228,900 ","$544,900 ",65,2023-01-25
2020,"$288,100 ","$201,400 ","$489,500 ",65,2023-01-25
,,,,,
2022,"$218,800 ","$230,900 ","$449,700 ",66,2023-01-25
2021,"$218,800 ","$230,900 ","$449,700 ",66,2023-01-25
2020,"$205,200 ","$203,200 ","$408,400 ",66,2023-01-25
,,,,,
2022,$0 ,"$103,200 ","$103,200 ",67,2023-01-25
2021,$0 ,"$103,200 ","$103,200 ",67,2023-01-25
2020,$0 ,"$87,400 ","$87,400 ",67,2023-01-25
,,,,,
2022,"$127,000 ","$157,100 ","$284,100 ",68,2023-01-25
2021,"$127,000 ","$157,100 ","$284,100 ",68,2023-01-25
2020,"$136,000 ","$120,600 ","$256,600 ",68,2023-01-25
,,,,,
2022,$0 ,"$8,600 ","$8,600 ",69,2023-01-25
2021,$0 ,"$8,600 ","$8,600 ",69,2023-01-25
2020,$0 ,"$8,400 ","$8,400 ",69,2023-01-25
,,,,,
2022,"$519,800 ","$234,400 ","$754,200 ",76,2023-01-25
2021,"$519,800 ","$234,400 ","$754,200 ",76,2023-01-25
2020,"$537,500 ","$206,400 ","$743,900 ",76,2023-01-25
,,,,,
2022,"$343,500 ","$234,900 ","$578,400 ",77,2023-01-25
2021,"$343,500 ","$234,900 ","$578,400 ",77,2023-01-25
2020,"$338,100 ","$206,800 ","$544,900 ",77,2023-01-25
,,,,,
2022,"$173,800 ","$216,500 ","$390,300 ",78,2023-01-25
2021,"$173,800 ","$216,500 ","$390,300 ",78,2023-01-25
2020,"$132,600 ","$190,400 ","$323,000 ",78,2023-01-25
,,,,,
2022,"$116,800 ","$216,500 ","$333,300 ",79,2023-01-25
2021,"$116,800 ","$216,500 ","$333,300 ",79,2023-01-25
2020,"$105,400 ","$190,200 ","$295,600 ",79,2023-01-25
,,,,,
2022,"$301,600 ","$317,200 ","$618,800 ",80,2023-01-25
2021,"$301,600 ","$317,200 ","$618,800 ",80,2023-01-25
2020,"$226,900 ","$265,000 ","$491,900 ",80,2023-01-25
,,,,,
2022,"$92,200 ","$233,300 ","$325,500 ",81,2023-01-25
2021,"$139,400 ","$290,400 ","$429,800 ",81,2023-01-25
2020,"$119,100 ","$255,500 ","$374,600 ",81,2023-01-25
,,,,,
2022,"$217,700 ","$199,300 ","$417,000 ",82,2023-01-25
2021,"$217,700 ","$199,300 ","$417,000 ",82,2023-01-25
2020,"$157,800 ","$186,800 ","$344,600 ",82,2023-01-25
,,,,,
2022,"$190,300 ","$161,800 ","$352,100 ",83,2023-01-25
2021,"$189,900 ","$161,800 ","$351,700 ",83,2023-01-25
2020,"$151,100 ","$170,400 ","$321,500 ",83,2023-01-25
,,,,,
2022,"$3,187,200 ","$2,000,100 ","$5,187,300 ",84,2023-01-25
2021,"$3,187,200 ","$2,000,100 ","$5,187,300 ",84,2023-01-25
2020,"$2,800,400 ","$1,387,500 ","$4,187,900 ",84,2023-01-25
,,,,,
2022,$0 ,"$16,900 ","$16,900 ",85,2023-01-25
2021,$0 ,"$16,900 ","$16,900 ",85,2023-01-25
2020,$0 ,"$16,400 ","$16,400 ",85,2023-01-25
,,,,,
2022,"$471,700 ","$228,900 ","$700,600 ",86,2023-01-25
2021,"$471,700 ","$228,900 ","$700,600 ",86,2023-01-25
2020,"$422,300 ","$201,400 ","$623,700 ",86,2023-01-25
,,,,,
2022,"$379,700 ","$256,000 ","$635,700 ",87,2023-01-25
2021,"$379,700 ","$256,000 ","$635,700 ",87,2023-01-25
2020,"$373,400 ","$225,400 ","$598,800 ",87,2023-01-25
,,,,,
2022,"$43,200 ","$113,400 ","$156,600 ",88,2023-01-25
2021,"$43,200 ","$113,400 ","$156,600 ",88,2023-01-25
2020,"$36,900 ","$75,200 ","$112,100 ",88,2023-01-25
,,,,,
2022,"$252,300 ","$239,000 ","$491,300 ",89,2023-01-25
2021,"$252,300 ","$239,500 ","$491,800 ",89,2023-01-25
2020,"$272,500 ","$211,800 ","$484,300 ",89,2023-01-25
,,,,,
2022,"$526,300 ","$277,000 ","$803,300 ",91,2023-01-25
2021,"$526,300 ","$277,000 ","$803,300 ",91,2023-01-25
2020,"$548,900 ","$191,900 ","$740,800 ",91,2023-01-25
,,,,,
2022,"$77,800 ","$179,500 ","$257,300 ",92,2023-01-25
2021,"$77,800 ","$179,500 ","$257,300 ",92,2023-01-25
2020,"$63,100 ","$149,400 ","$212,500 ",92,2023-01-25
,,,,,
2022,"$548,900 ","$204,300 ","$753,200 ",93,2023-01-25
2021,"$475,800 ","$204,300 ","$680,100 ",93,2023-01-25
2020,"$298,700 ","$188,200 ","$486,900 ",93,2023-01-25
,,,,,
2022,"$385,500 ","$179,200 ","$564,700 ",94,2023-01-25
2021,"$385,500 ","$179,200 ","$564,700 ",94,2023-01-25
2020,"$266,600 ","$178,700 ","$445,300 ",94,2023-01-25
,,,,,
2022,"$410,100 ","$207,600 ","$617,700 ",95,2023-01-25
2021,"$410,100 ","$207,600 ","$617,700 ",95,2023-01-25
2020,"$287,100 ","$189,100 ","$476,200 ",95,2023-01-25
,,,,,
2022,"$328,500 ",$0 ,"$328,500 ",99,2023-01-25
2021,"$328,500 ",$0 ,"$328,500 ",99,2023-01-25
2020,"$308,800 ",$0 ,"$308,800 ",99,2023-01-25
,,,,,
2022,"$543,900 ",$0 ,"$543,900 ",101,2023-01-25
2021,"$543,900 ",$0 ,"$543,900 ",101,2023-01-25
2020,"$543,200 ",$0 ,"$543,200 ",101,2023-01-25
,,,,,
2022,"$7,500 ","$104,000 ","$111,500 ",102,2023-01-25
2021,"$7,500 ","$104,000 ","$111,500 ",102,2023-01-25
2020,"$7,500 ","$91,900 ","$99,400 ",102,2023-01-25
,,,,,
2022,"$121,800 ","$185,100 ","$306,900 ",103,2023-01-25
2021,"$121,800 ","$185,100 ","$306,900 ",103,2023-01-25
2020,"$116,200 ","$162,700 ","$278,900 ",103,2023-01-25
,,,,,
2022,"$1,055,000 ","$394,300 ","$1,449,300 ",104,2023-01-25
2021,"$1,055,000 ","$394,300 ","$1,449,300 ",104,2023-01-25
2020,"$923,900 ","$298,600 ","$1,222,500 ",104,2023-01-25
,,,,,
2022,"$236,100 ","$274,300 ","$510,400 ",105,2023-01-25
2021,"$236,100 ","$274,300 ","$510,400 ",105,2023-01-25
2020,"$219,000 ","$249,200 ","$468,200 ",105,2023-01-25
,,,,,
2022,"$1,421,000 ","$488,300 ","$1,909,300 ",106,2023-01-25
2021,"$1,421,000 ","$488,300 ","$1,909,300 ",106,2023-01-25
2020,"$1,164,400 ","$388,300 ","$1,552,700 ",106,2023-01-25
,,,,,
2022,"$359,500 ","$263,700 ","$623,200 ",107,2023-01-25
2021,"$359,500 ","$263,700 ","$623,200 ",107,2023-01-25
2020,"$340,500 ","$233,900 ","$574,400 ",107,2023-01-25
,,,,,
2022,"$4,400 ","$424,700 ","$429,100 ",111,2023-01-25
2021,"$4,400 ","$424,700 ","$429,100 ",111,2023-01-25
2020,"$4,000 ","$337,700 ","$341,700 ",111,2023-01-25
,,,,,
2022,"$51,000 ","$123,500 ","$174,500 ",115,2023-01-25
2021,"$221,200 ","$137,700 ","$358,900 ",115,2023-01-25
2020,"$168,500 ","$105,400 ","$273,900 ",115,2023-01-25
,,,,,
2022,"$249,500 ","$148,200 ","$397,700 ",116,2023-01-25
2021,"$249,500 ","$148,200 ","$397,700 ",116,2023-01-25
2020,"$222,400 ","$119,300 ","$341,700 ",116,2023-01-25
,,,,,
2022,"$426,300 ",$0 ,"$426,300 ",117,2023-01-25
2021,"$426,300 ",$0 ,"$426,300 ",117,2023-01-25
2020,"$388,500 ",$0 ,"$388,500 ",117,2023-01-25
,,,,,
2022,"$155,800 ","$405,100 ","$560,900 ",118,2023-01-25
2021,"$155,800 ","$405,100 ","$560,900 ",118,2023-01-25
2020,"$143,400 ","$287,600 ","$431,000 ",118,2023-01-25
,,,,,
2022,"$462,100 ","$360,800 ","$822,900 ",120,2023-01-25
2021,"$462,100 ","$360,800 ","$822,900 ",120,2023-01-25
2020,"$461,500 ","$277,700 ","$739,200 ",120,2023-01-25
,,,,,
2022,"$2,900 ","$143,700 ","$146,600 ",121,2023-01-25
2021,"$2,400 ","$143,700 ","$146,100 ",121,2023-01-25
2020,"$73,600 ","$115,200 ","$188,800 ",121,2023-01-25
,,,,,
2022,"$273,000 ","$133,300 ","$406,300 ",122,2023-01-25
2021,"$273,000 ","$133,300 ","$406,300 ",122,2023-01-25
2020,"$223,700 ","$105,800 ","$329,500 ",122,2023-01-25
,,,,,
2022,"$151,900 ","$132,200 ","$284,100 ",123,2023-01-25
2021,"$151,900 ","$132,200 ","$284,100 ",123,2023-01-25
2020,"$120,600 ","$105,500 ","$226,100 ",123,2023-01-25
,,,,,
2022,"$354,900 ","$223,000 ","$577,900 ",124,2023-01-25
2021,"$354,900 ","$223,000 ","$577,900 ",124,2023-01-25
2020,"$326,200 ","$140,700 ","$466,900 ",124,2023-01-25
,,,,,
2022,"$272,000 ","$155,700 ","$427,700 ",125,2023-01-25
2021,"$272,000 ","$155,700 ","$427,700 ",125,2023-01-25
2020,"$227,400 ","$119,300 ","$346,700 ",125,2023-01-25
,,,,,
2022,"$240,200 ","$153,300 ","$393,500 ",127,2023-01-25
2021,"$240,200 ","$153,300 ","$393,500 ",127,2023-01-25
2020,"$263,100 ","$114,100 ","$377,200 ",127,2023-01-25
,,,,,
2022,"$395,000 ","$188,500 ","$583,500 ",128,2023-01-25
2021,"$395,000 ","$188,500 ","$583,500 ",128,2023-01-25
2020,"$416,100 ","$111,500 ","$527,600 ",128,2023-01-25
,,,,,
2022,"$182,300 ","$157,500 ","$339,800 ",129,2023-01-25
2021,"$182,300 ","$157,500 ","$339,800 ",129,2023-01-25
2020,"$170,700 ","$124,600 ","$295,300 ",129,2023-01-25
,,,,,
2022,$0 ,"$40,300 ","$40,300 ",132,2023-01-25
2021,$0 ,"$40,300 ","$40,300 ",132,2023-01-25
2020,$0 ,"$33,700 ","$33,700 ",132,2023-01-25
,,,,,
2022,"$42,000 ",$0 ,"$42,000 ",133,2023-01-25
2021,"$42,000 ",$0 ,"$42,000 ",133,2023-01-25
2020,"$38,500 ",$0 ,"$38,500 ",133,2023-01-25
,,,,,
2022,"$15,200 ","$12,200 ","$27,400 ",136,2023-01-25
2021,"$15,200 ","$12,200 ","$27,400 ",136,2023-01-25
2020,"$13,400 ","$9,700 ","$23,100 ",136,2023-01-25
,,,,,
2022,"$46,900 ","$189,400 ","$236,300 ",137,2023-01-25
2021,"$46,900 ","$189,400 ","$236,300 ",137,2023-01-25
2020,"$42,400 ","$154,600 ","$197,000 ",137,2023-01-25
,,,,,
2022,"$1,194,500 ","$246,000 ","$1,440,500 ",138,2023-01-25
2021,"$1,194,500 ","$246,000 ","$1,440,500 ",138,2023-01-25
2020,"$1,092,000 ","$237,600 ","$1,329,600 ",138,2023-01-25
,,,,,
2022,"$81,400 ","$166,400 ","$247,800 ",139,2023-01-25
2021,"$81,400 ","$166,400 ","$247,800 ",139,2023-01-25
2020,"$73,400 ","$132,400 ","$205,800 ",139,2023-01-25
,,,,,
2022,"$575,300 ","$151,500 ","$726,800 ",140,2023-01-25
2021,"$575,300 ","$151,500 ","$726,800 ",140,2023-01-25
2020,"$531,800 ","$156,000 ","$687,800 ",140,2023-01-25
,,,,,
2022,"$183,800 ","$209,900 ","$393,700 ",142,2023-01-25
2021,"$183,800 ","$209,900 ","$393,700 ",142,2023-01-25
2020,"$190,500 ","$184,600 ","$375,100 ",142,2023-01-25
,,,,,
2022,"$334,100 ","$206,900 ","$541,000 ",143,2023-01-25
2021,"$334,100 ","$206,900 ","$541,000 ",143,2023-01-25
2020,"$289,400 ","$181,800 ","$471,200 ",143,2023-01-25
,,,,,
2022,"$145,200 ","$133,000 ","$278,200 ",144,2023-01-25
2021,"$144,800 ","$133,000 ","$277,800 ",144,2023-01-25
2020,"$138,000 ","$111,800 ","$249,800 ",144,2023-01-25
,,,,,
2022,"$163,800 ","$142,700 ","$306,500 ",148,2023-01-25
2021,"$163,800 ","$142,700 ","$306,500 ",148,2023-01-25
2020,"$138,200 ","$108,700 ","$246,900 ",148,2023-01-25
,,,,,
2022,"$385,600 ","$171,200 ","$556,800 ",149,2023-01-25
2021,"$385,600 ","$171,200 ","$556,800 ",149,2023-01-25
2020,"$290,200 ","$130,100 ","$420,300 ",149,2023-01-25
,,,,,
2022,"$410,700 ","$170,200 ","$580,900 ",150,2023-01-25
2021,"$410,700 ","$170,200 ","$580,900 ",150,2023-01-25
2020,"$124,300 ","$129,200 ","$253,500 ",150,2023-01-25
,,,,,
2022,$0 ,"$218,500 ","$218,500 ",151,2023-01-25
2021,$0 ,"$218,500 ","$218,500 ",151,2023-01-25
2020,$0 ,"$137,300 ","$137,300 ",151,2023-01-25
,,,,,
2022,"$176,000 ","$84,800 ","$260,800 ",152,2023-01-25
2021,"$175,200 ","$84,800 ","$260,000 ",152,2023-01-25
2020,"$130,800 ","$70,400 ","$201,200 ",152,2023-01-25
,,,,,
2022,"$149,400 ","$111,300 ","$260,700 ",153,2023-01-25
2021,"$149,400 ","$111,300 ","$260,700 ",153,2023-01-25
2020,"$138,400 ","$90,300 ","$228,700 ",153,2023-01-25
,,,,,
2022,"$82,500 ","$82,400 ","$164,900 ",154,2023-01-25
2021,"$82,500 ","$82,400 ","$164,900 ",154,2023-01-25
2020,"$66,800 ","$72,000 ","$138,800 ",154,2023-01-25
,,,,,
2022,"$21,200 ","$166,100 ","$187,300 ",159,2023-01-25
2021,"$21,200 ","$166,100 ","$187,300 ",159,2023-01-25
2020,"$17,900 ","$127,200 ","$145,100 ",159,2023-01-25
,,,,,
2022,"$562,100 ","$219,600 ","$781,700 ",161,2023-01-25
2021,"$562,100 ","$219,600 ","$781,700 ",161,2023-01-25
2020,"$592,300 ","$158,900 ","$751,200 ",161,2023-01-25
,,,,,
2022,"$165,400 ","$126,800 ","$292,200 ",162,2023-01-25
2021,"$165,400 ","$126,800 ","$292,200 ",162,2023-01-25
2020,"$165,400 ","$97,100 ","$262,500 ",162,2023-01-25
,,,,,
2022,"$269,600 ","$158,900 ","$428,500 ",163,2023-01-25
2021,"$269,600 ","$158,900 ","$428,500 ",163,2023-01-25
2020,"$298,800 ","$97,300 ","$396,100 ",163,2023-01-25
,,,,,
2022,"$46,200 ","$98,300 ","$144,500 ",164,2023-01-25
2021,"$46,200 ","$98,300 ","$144,500 ",164,2023-01-25
2020,"$38,900 ","$83,100 ","$122,000 ",164,2023-01-25
,,,,,
2022,"$289,300 ","$224,000 ","$513,300 ",167,2023-01-25
2021,"$289,300 ","$224,000 ","$513,300 ",167,2023-01-25
2020,"$279,800 ","$110,300 ","$390,100 ",167,2023-01-25
,,,,,
2022,"$174,500 ","$129,600 ","$304,100 ",168,2023-01-25
2021,"$174,500 ","$129,600 ","$304,100 ",168,2023-01-25
2020,"$146,700 ","$98,800 ","$245,500 ",168,2023-01-25
,,,,,
2022,"$154,200 ","$111,100 ","$265,300 ",169,2023-01-25
2021,"$154,200 ","$111,100 ","$265,300 ",169,2023-01-25
2020,"$130,800 ","$92,200 ","$223,000 ",169,2023-01-25
,,,,,
2022,"$1,225,500 ","$266,800 ","$1,492,300 ",170,2023-01-25
2021,"$1,225,500 ","$266,800 ","$1,492,300 ",170,2023-01-25
2020,"$1,095,300 ","$204,200 ","$1,299,500 ",170,2023-01-25
,,,,,
2022,$0 ,$200 ,$200 ,171,2023-01-25
2021,$0 ,$200 ,$200 ,171,2023-01-25
2020,$0 ,$200 ,$200 ,171,2023-01-25
,,,,,
2022,$0 ,$300 ,$300 ,172,2023-01-25
2021,$0 ,$300 ,$300 ,172,2023-01-25
2020,$0 ,$300 ,$300 ,172,2023-01-25
,,,,,
2022,"$465,200 ","$146,600 ","$611,800 ",173,2023-01-25
2021,"$465,200 ","$154,000 ","$619,200 ",173,2023-01-25
2020,"$361,400 ","$117,800 ","$479,200 ",173,2023-01-25
,,,,,
2022,"$152,300 ","$132,200 ","$284,500 ",174,2023-01-25
2021,"$152,300 ","$132,200 ","$284,500 ",174,2023-01-25
2020,"$136,900 ","$100,500 ","$237,400 ",174,2023-01-25
,,,,,
2022,"$156,600 ","$137,900 ","$294,500 ",176,2023-01-25
2021,"$156,600 ","$137,900 ","$294,500 ",176,2023-01-25
2020,"$116,500 ","$105,000 ","$221,500 ",176,2023-01-25
,,,,,
2022,"$81,400 ","$129,800 ","$211,200 ",177,2023-01-25
2021,"$85,100 ","$129,800 ","$214,900 ",177,2023-01-25
2020,"$92,300 ","$88,300 ","$180,600 ",177,2023-01-25
,,,,,
2022,"$231,800 ","$126,600 ","$358,400 ",178,2023-01-25
2021,"$231,800 ","$126,600 ","$358,400 ",178,2023-01-25
2020,"$205,300 ","$97,000 ","$302,300 ",178,2023-01-25
,,,,,
2022,"$149,400 ","$138,100 ","$287,500 ",179,2023-01-25
2021,"$149,400 ","$138,100 ","$287,500 ",179,2023-01-25
2020,"$140,700 ","$105,200 ","$245,900 ",179,2023-01-25
,,,,,
2022,"$597,800 ","$214,300 ","$812,100 ",180,2023-01-25
2021,"$597,800 ","$214,300 ","$812,100 ",180,2023-01-25
2020,"$557,700 ","$225,900 ","$783,600 ",180,2023-01-25
,,,,,
2022,$0 ,"$2,500 ","$2,500 ",181,2023-01-25
2021,$0 ,"$2,500 ","$2,500 ",181,2023-01-25
2020,$0 ,"$2,400 ","$2,400 ",181,2023-01-25
,,,,,
2022,"$507,900 ","$178,200 ","$686,100 ",182,2023-01-25
2021,"$507,900 ","$178,200 ","$686,100 ",182,2023-01-25
2020,"$520,800 ","$227,800 ","$748,600 ",182,2023-01-25
,,,,,
2022,"$282,900 ","$103,000 ","$385,900 ",183,2023-01-25
2021,"$10,900 ","$103,000 ","$113,900 ",183,2023-01-25
2020,"$12,500 ","$67,000 ","$79,500 ",183,2023-01-25
,,,,,
2022,"$314,000 ","$170,900 ","$484,900 ",187,2023-01-25
