EF_PID,EF_Map,EF_Lot,EF_Unt,EF_NoParcel,EF_LotSize,EF_MapAcres,EF_Exemp,EF_MuniEasement,EF_ConsEasement,EF_PartofMap,EF_PartofLot,EF_PartofUnit,EF_Street_Address,EF_Frontage,EF_FrontSuffix,EF_Notes,EF_CollectedOn
162,201,111,,,1.8,,,,,,,,18 HIGH ST,335,,,6/2/24
163,201,112,,,0.76,,,,,,,,14 HIGH ST,202.13,,,6/2/24
164,201,113,,,0.58,,,,,,,,8 HIGH ST,215.2,,,6/2/24
,201,114,,NoParcel,,,,,,,,,,0,,,6/2/24
,201,115,,,,,E,,,201,120,,,276.9,,,6/2/24
,201,116,,,,,,,,201,120,,,0,,Little triangle by High Street,6/2/24
167,201,117,,,1.53,1.03,,ME,,,,,4 CREAMERY LN,179.4,,,6/2/24
168,201,118,,,1.5,,,,,,,,13 CREAMERY LN,370,,,6/2/24
169,201,119,,,0.61,,,,,,,,12 CREAMERY LN,160.8,,,6/2/24
170,201,120,,,3.11,,E,,,,,,1 HIGH ST,411.99,,Town Offices,6/2/24
,201,121,,NoParcel,,,,,,,,,,0,,,6/2/24
171,201,122,,,6.21,,,,,,,,18 SPRING HILL LN,495.88,,,6/2/24
172,201,123,,,7.68,,,,,,,,10 SPRING HILL LN,252.77,,Corner lot,6/2/24
173,201,124,,,1.5,,,,,,,,6 SPRING HILL LN,384.9,,,6/2/24
174,201,125,,,1.56,,,,,,,,13 HIGH ST,150,,,6/2/24
176,201,126,,,1.66,,,,,,,,15 HIGH ST,74.7,,,6/2/24
177,201,127,,,1.3,,,,,,,,19 HIGH ST,300,,,6/2/24
178,201,128,1000,,2.17,,,,,,,,27 HIGH ST,438.66,,,6/2/24
102768,201,128,2000,,2.77,,,,,,,,29 HIGH ST,99.41,,,6/2/24
179,201,129,,,1.7,,,,,,,,35 HIGH ST,440.6,,,6/2/24
180,201,130,,,18.7,,,,,,,,19 ROCKY HILL LN,0,,Only on private lane,6/2/24
181,201,131,,,20,,,,,,,,31 ROCKY HILL LN,0,,Only on private lane,6/2/24
182,201,132,,,12.8,,,,,,,,12 ROCKY HILL LN,320.7,,,6/2/24
183,201,133,,,0.95,,,,,,,,49 HIGH ST,306,,,6/2/24
102737,201,134,,,9.9,,,,,,,,51 HIGH ST,280,,,6/2/24
101642,401,1,1000,,3.01,,,,,,,,11 PRESTON RD,300,,,6/2/24
,401,1,2000,,,,,,,401,3,,,1019.97,,Corner lot,6/2/24
187,401,2,,,43.5,,,,,,,,40 PRESTON RD,525,,"Frontage on Goodell Ln, too",6/2/24
188,401,3,,,13.87,,,,,,,,30 PRESTON RD,75.43,,,6/2/24
189,401,4,,,37,,,,,,,,76 GOODELL LN,1249,,On Goodell Lane,6/2/24
190,401,5,,,23.11,,,,CE,,,,54 GOODELL LN,925,S,,6/2/24
191,401,6,,,104.74,,,,CE,,,,42 GOODELL LN,390,,Goodell & East St.,6/2/24
192,401,7,,,191.4,,,,,,,,68 PRESTON RD,504.5,,,6/2/24
,401,8,,,,,,,CE,401,6,,,1166.7,,,6/2/24
194,401,9,,,2.7,,,,,,,,8 GOODELL LN,525,S,,6/2/24
195,401,10,,,5.2,,,,,,,,298 BAKER HILL RD,260,,,6/2/24
,401,11,,,,,,,CE,401,6,,,1140,,,6/2/24
197,401,12,,,81.63,,,,CE,,,,65 GOODELL LN,2317.4,S,,6/2/24
201,401,13,1000,,29.93,,,,,,,,114 DARTMOUTH COLLEGE HY,1178.94,,,6/2/24
202,401,13,2000,,112.33,,,,,,,,20 PRESTON RD,600.89,,,6/2/24
203,401,14,,,0.83,,,,,,,,102 DARTMOUTH COLLEGE HY,220,,,6/2/24
204,401,15,,,52,,,,,,,,84 DARTMOUTH COLLEGE HY,1871,,,6/2/24
,401,16,,NoParcel,,,,,,,,,,,,,6/2/24
206,401,17,,,15.8,15.8,,,,,,,60 DARTMOUTH COLLEGE HY,426.2,,,6/2/24
207,401,18,,,125.6,,,,CE,,,,19 GOOSE POND RD,2132.5,,,6/2/24
208,401,19,,,1.2,,,,,,,,47 GOOSE POND RD,314,,,6/2/24
209,401,20,,,1.5,,,,,,,,51 GOOSE POND RD,288,,,6/2/24
210,401,21,,,1.5,,,,,,,,57 GOOSE POND RD,150,,,6/2/24
,401,22,,,,,,,,401,39,,,2990,,,6/2/24
217,401,23,1100,,56.37,,,ME,,,,,127 GOOSE POND RD,1280,S,,6/2/24
100863,401,23,1200,,3.44,,,,,,,,161 GOOSE POND RD,496.6,,,6/2/24
,401,23,2000,,,,,,CE,,,,,,,Not in Vision?,6/2/24
219,401,23,3000,,2.82,,,,,,,,149 GOOSE POND RD,192,,,6/2/24
220,401,24,,,2,,,,,,,,153 GOOSE POND RD,265,,,6/2/24
221,401,25,,,1.7,,,,,,,,157 GOOSE POND RD,215.25,,,6/2/24
222,401,26,,,5.05,,,,,,,,5 PELTON LN,953.9,,,6/2/24
223,401,27,,,11.67,,,ME,,,,,32 PELTON LN,468.5,,,6/2/24
224,401,28,,,5.97,,,ME,,,,,12 PELTON LN,313.9,,,6/2/24
225,401,29,,,6.1,,,,,,,,342 BAKER HILL RD,658.72,,,6/2/24
229,401,30,1000,,2.6,,,,,,,,320 BAKER HILL RD,426.53,,,6/2/24
230,401,30,2000,,29.4,,,,CE,,,,330 BAKER HILL RD,458.47,,Partial easement?,6/2/24
231,401,31,1000,,1.03,,,,,,,,162 GOOSE POND RD,226.39,,,6/2/24
102854,401,31,2000,,1.04,,,,,,,,158 GOOSE POND RD,235.74,,,6/2/24
232,401,32,,,0.45,,,,,,,,156 GOOSE POND RD,100,,,6/2/24
233,401,33,,,0.45,,,,,,,,154 GOOSE POND RD,100,,,6/2/24
234,401,34,,,1.9,,,,,,,,148 GOOSE POND RD,415,S,,6/2/24
235,401,35,,,6.2,,,,,,,,144 GOOSE POND RD,30,,,6/2/24
236,401,36,,,0.91,,,,,,,,142 GOOSE POND RD,200,,,6/2/24
237,401,37,,,0.47,,,,,,,,138 GOOSE POND RD,100,,,6/2/24
238,401,38,,,2.6,,,,,,,,104 GOOSE POND RD,300.2,,,6/2/24
241,401,39,,,174,,,,,,,,72 GOOSE POND RD,3840,S,,6/2/24
243,401,40,,,1.1,,,,,,,,54 GOOSE POND RD,830,,,6/2/24
244,401,41,,,0.07,,,,,,,,40 GOOSE POND RD,100,S,,6/2/24
245,401,42,,,0.54,,,,,,,,36 GOOSE POND RD,245,,,6/2/24
246,401,43,,,32.8,,,,CE,,,,20 DARTMOUTH COLLEGE HY,1893.34,,,6/2/24
247,401,44,,,1.1,,,,,,,,1 DARTMOUTH COLLEGE HY,270,S,,6/2/24
248,401,45,,,2.4,,,,,,,,7 HEWS LN,240,,,6/2/24
249,401,46,,,2.8,,,,,,,,13 HEWS LN,335.8,,,6/2/24
250,401,47,,,21,,,,,,,,17 HEWS LN,40.1,,,6/2/24
251,401,48,,,19.03,,,,CE,,,,20 HEWS LN,592.76,S,Partial easement?,6/2/24
252,401,49,,,28.65,,,,,,,,10 HEWS LN,20,,,6/2/24
253,401,50,,,2.4,,,,,,,,8 HEWS LN,135,,,6/2/24
254,401,51,,,53.9,,,,CE,,,,43 DARTMOUTH COLLEGE HY,2608.63,,Partial - along Route 10,6/2/24
255,401,52,,,2.2,,,,,,,,61 DARTMOUTH COLLEGE HY,300,,,6/2/24
256,401,53,1000,,3.2,,,,,,,,63-69 DARTMOUTH COLLEGE HY,533.54,,,6/2/24
102956,401,53,2000,,25,,,,,,,,DARTMOUTH COLLEGE HY,0,,ROW to Rt 10,6/2/24
257,401,54,,,2.4,,,,,,,,77 DARTMOUTH COLLEGE HY,350,,,6/2/24
100142,401,55,101,,0,,,,CE,,,,85 DARTMOUTH COLLEGE HY #1010,804.4,,85 DCH - assigned CE to bldg 101,6/2/24
100162,401,55,102,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #1020,,,,6/2/24
100163,401,55,103,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #1030,,,,6/2/24
100182,401,55,104,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #1040,,,,6/2/24
100164,401,55,105,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #1050,,,,6/2/24
100583,401,55,123,,0,,,,,,,,95 DARTMOUTH COLLEGE HY #1234,,,,6/2/24
100422,401,55,201,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #2010,,,,6/2/24
100442,401,55,202,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #2020,,,,6/2/24
100462,401,55,203,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #2030,,,,6/2/24
100463,401,55,204,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #2040,,,,6/2/24
258,401,55,301,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #3010,,,,6/2/24
100502,401,55,401,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #4010,,,,6/2/24
100482,401,55,403,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #4030,,,,6/2/24
100503,401,55,404,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #4040,,,,6/2/24
100522,401,55,501,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #5010,,,,6/2/24
100523,401,55,502,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #5020,,,,6/2/24
100542,401,55,601,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #6010,,,,6/2/24
100184,401,55,701,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #7010,,,,6/2/24
100543,401,55,801,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #8010,,,,6/2/24
100562,401,55,901,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #9010,,,,6/2/24
100563,401,55,902,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #9020,,,,6/2/24
100582,401,55,903,,0,,,,,,,,85 DARTMOUTH COLLEGE HY #9030,,,,6/2/24
259,401,56,,,136,,,ME,CE,,,,101 DARTMOUTH COLLEGE HY,1625,S,Crossroads,6/2/24
260,401,57,,,0.83,,,,,,,,82 RIVER RD,98.76,,,6/2/24
100722,401,58,,,1.7,,,,,,,,5 WILMOTT WY,221.4,,,6/2/24
267,401,59,,,5.78,,,,,,,,7 WILMOTT WY,671.7,,,6/2/24
270,401,60,,,4.91,,,,,,,,21 WILMOTT WY,276.9,,,6/2/24
271,401,61,,,2.1,,,,,,,,25 WILMOTT WY,291.6,,,6/2/24
272,401,62,,,1.3,,E,,,,,,30 WILMOTT WY (LAND ONLY),336.18,,Town of Lyme-Wilmot Way,6/2/24
273,401,63,,,2.01,,,,,,,,34 WILMOTT WY,0,,Abuts turnaround,6/2/24
274,401,64,,,6,,,,,,,,20 WILMOTT WY,684.97,,,6/2/24
275,401,65,,,2.5,,,,,,,,12 WILMOTT WY,260.6,,,6/2/24
276,401,66,,,1.5,,,,,,,,6 WILMOTT WY,341.8,,,6/2/24
277,401,67,,,4.4,,,,CE,,,,62 RIVER RD,801.9,,,6/2/24
278,401,68,,,43.47,,,,,,,,50 RIVER RD,810.7,,,6/2/24
279,401,69,,,3.5,,,,,,,,38 RIVER RD,250.5,,,6/2/24
280,401,70,,,63.5,,,,,,,,20 RIVER RD,2080.7,,,6/2/24
283,401,71,,,23,,,,,,,,1 HOVEY ISLAND,4910,,Island in Ct River,6/2/24
,401,72,,,,,,,,401,70,,,0,,Frontage ?,6/2/24
,401,73,,,,,,,,401,68,,,180,S,,6/2/24
287,401,74,,,0.9,,,,,,,,51 RIVER RD,352,,,6/2/24
288,401,75,,,1.9,,,,,,,,61 RIVER RD,380,,,6/2/24
,401,76,,NoParcel,,,,,,,,,,,,,6/2/24
290,401,77,,,11.2,,,ME,,,,,75 RIVER RD,783,S,,6/2/24
291,401,78,,,20,,,,CE,,,,85 RIVER RD,610,,,6/2/24
383,401,79,,,76,,,,,,,,96 RIVER RD,????,,Not Shown?,6/2/24
292,402,1,1000,,86,,,,,,,,294 DARTMOUTH COLLEGE HY,1400,,,6/2/24
101182,402,1,2000,,7.92,,,,,,,,89 WASHBURN HILL RD,553.28,,,6/2/24
,402,2,,NoParcel,,,,,,,,,,,,,6/2/24
294,402,3,,,37.3,,,,,,,,252 DARTMOUTH COLLEGE HY,1430,S,,6/2/24
295,402,4,,,0.53,,,,,,,,246 DARTMOUTH COLLEGE HY,69,,,6/2/24
296,402,4,1,,0,,,,,,,,246 DARTMOUTH COLLEGE HY,,,Not Shown?,6/2/24
297,402,5,,,4.8,,,,,,,,244 DARTMOUTH COLLEGE HY,95,S,,6/2/24
298,402,6,,,0.67,,,,,,,,240 DARTMOUTH COLLEGE HY,165,S,,6/2/24
299,402,7,,,0.92,,,,,,,,234 DARTMOUTH COLLEGE HY,275,,,6/2/24
300,402,8,,,0.4,,,,,,,,232 DARTMOUTH COLLEGE HY,130,,,6/2/24
301,402,9,,,12.5,,,,,,,,226 DARTMOUTH COLLEGE HY,445,S,,6/2/24
,402,10,,NoParcel,,,,,,,,,,,,,6/2/24
303,402,11,,,7.9,,,,,,,,23 WASHBURN HILL RD,710,,,6/2/24
,402,12,,,,,,,,402,18,2000,,,,Triangle,6/2/24
,402,13,,,,,,,CE,402,16,,,319,,,6/2/24
306,402,14,,,3.1,,,,,,,,69 WASHBURN HILL RD,360,,,6/2/24
307,402,15,1000,,18.44,,,,,,,,77 WASHBURN HILL RD,510.71,,,6/2/24
100401,402,15,2000,,37.66,,,ME,,,,,65 WASHBURN HILL RD,73,,,6/2/24
308,402,16,,,3.31,,,,,,,,64 WASHBURN HILL RD,243.6,,,6/2/24
309,402,17,,,79.7,,,,CE,,,,66 WASHBURN HILL RD,1246.8,,,6/2/24
100000,402,18,1000,,15.33,,,,,,,,106 PRESTON RD,598.08,,,6/2/24
310,402,18,2000,,15.78,,,,,,,,108 PRESTON RD,333.42,,,6/2/24
311,402,19,,,146.1,,,,,,,,92 PRESTON RD,1303.9,,,6/2/24
,402,20,,NoParcel,,,,,,,,,,,,,6/2/24
313,402,21,,,48.8,,,,,,,,50 PRESTON RD,1049.9,,,6/2/24
,402,22,,,,,,,,401,2,,,237,,,6/2/24
315,402,23,,,7,,,,,,,,45 PRESTON RD,399.6,,,6/2/24
316,402,24,,,10,,,,,,,,55 PRESTON RD,599.9,,,6/2/24
317,402,25,,,2,,,,,,,,71 PRESTON RD,200,,,6/2/24
319,402,26,1000,,5.09,,,,,,,,69 PRESTON RD,363,,,6/2/24
320,402,26,2000,,57.7,,,,,,,,81 PRESTON RD,1200,,,6/2/24
321,402,27,,,1.1,,,,,,,,97 PRESTON RD,290,,,6/2/24
322,402,28,,,22,,,,,,,,20 WASHBURN HILL RD,1565,,,6/2/24
323,402,29,,,2,,,,,,,,218 DARTMOUTH COLLEGE HY,417,,,6/2/24
324,402,30,,,1.5,,,,,,,,208 DARTMOUTH COLLEGE HY,246,,,6/2/24
325,402,31,,,5.9,,,,,,,,204 DARTMOUTH COLLEGE HY,600,S,,6/2/24
326,402,32,,,2.26,,,,,,,,188 DARTMOUTH COLLEGE HY,301,,,6/2/24
327,402,33,,,4.3,,,,,,,,180 DARTMOUTH COLLEGE HY,440,,,6/2/24
328,402,34,,,2.9,,,,,,,,174 DARTMOUTH COLLEGE HY,490,,,6/2/24
329,402,35,,,0.47,,,,,,,,166 DARTMOUTH COLLEGE HY,160,,,6/2/24
330,402,36,,,13.9,,,,,,,,156 DARTMOUTH COLLEGE HY,721.7,,,6/2/24
331,402,37,,,1.5,,,,,,,,150 DARTMOUTH COLLEGE HY,190,,,6/2/24
101622,402,37,100,,12.52,,,,,,,,3 PRESTON RD,413.3,,,6/2/24
,402,38,,NoParcel,,,,,,,,,,,,,6/2/24
333,402,39,,,1.8,,E,,,,,,39 SHOESTRAP RD (OLD DUMP),550,S,Town Land on Shoestrap,6/2/24
334,402,40,,,68.9,,,,,,,,114 RIVER RD,1140,,,6/2/24
335,402,41,,,2.7,,,,,,,,12 MAPLE LN,567,,,6/2/24
336,402,42,,,3.4,,,,,,,,11 MAPLE LN,433.45,,,6/2/24
337,402,43,,,3,,,,,,,,17 MAPLE LN,309,,,6/2/24
100742,402,44,,,15,,,,,,,,19 MAPLE LN,900,S,,6/2/24
339,402,45,,,0.95,,,,,,,,48 SHOESTRAP RD,136,,,6/2/24
340,402,46,,,7.4,,,,,,,,38 SHOESTRAP RD,570,,,6/2/24
341,402,47,,,0.34,,,,,,,,30 SHOESTRAP RD,155,S,,6/2/24
343,402,48,,,7,,,,,,,,28 SHOESTRAP RD,121.5,,,6/2/24
