PID	Ass. Year	Improvements	Land	Total	CollectedOn
30	2021	275800	218200	494000	2023-08-17
30	2020	273700	161800	435500	2023-08-17
32	2022	131000	146800	277800	2023-08-17
32	2021	131000	146800	277800	2023-08-17
32	2020	119100	154700	273800	2023-08-17
33	2022	176400	151600	328000	2023-08-17
33	2021	176400	151600	328000	2023-08-17
33	2020	148000	153900	301900	2023-08-17
34	2022	395200	157700	552900	2023-08-17
34	2021	395200	157700	552900	2023-08-17
34	2020	391300	166100	557400	2023-08-17
35	2022	0	29200	29200	2023-08-17
35	2021	0	29200	29200	2023-08-17
35	2020	0	24000	24000	2023-08-17
36	2022	303000	416200	719200	2023-08-17
36	2021	303000	416200	719200	2023-08-17
36	2020	404700	318600	723300	2023-08-17
37	2022	297500	353000	650500	2023-08-17
37	2021	297500	353000	650500	2023-08-17
37	2020	199500	286400	485900	2023-08-17
39	2022	569100	237000	806100	2023-08-17
39	2021	339700	237000	576700	2023-08-17
39	2020	421400	208700	630100	2023-08-17
40	2022	0	43000	43000	2023-08-17
40	2021	0	43000	43000	2023-08-17
40	2020	0	37300	37300	2023-08-17
41	2022	447000	186000	633000	2023-08-17
41	2021	447000	186000	633000	2023-08-17
41	2020	441600	175800	617400	2023-08-17
42	2022	269800	218700	488500	2023-08-17
42	2021	269800	218700	488500	2023-08-17
42	2020	246800	192400	439200	2023-08-17
43	2022	137300	208300	345600	2023-08-17
43	2021	137300	208300	345600	2023-08-17
43	2020	156300	163100	319400	2023-08-17
50	2022	194300	0	194300	2023-08-17
50	2021	194300	0	194300	2023-08-17
50	2020	150100	0	150100	2023-08-17
51	2022	197400	0	197400	2023-08-17
51	2021	197400	0	197400	2023-08-17
51	2020	144300	0	144300	2023-08-17
52	2022	184100	0	184100	2023-08-17
52	2021	184100	0	184100	2023-08-17
52	2020	141100	0	141100	2023-08-17
53	2022	208500	0	208500	2023-08-17
53	2021	208500	0	208500	2023-08-17
53	2020	162700	0	162700	2023-08-17
54	2022	179900	0	179900	2023-08-17
54	2021	179900	0	179900	2023-08-17
54	2020	137400	0	137400	2023-08-17
55	2022	195600	0	195600	2023-08-17
55	2021	195600	0	195600	2023-08-17
55	2020	151200	0	151200	2023-08-17
56	2022	976100	234500	1210600	2023-08-17
56	2021	926400	234500	1160900	2023-08-17
56	2020	908500	186700	1095200	2023-08-17
57	2022	734700	230000	964700	2023-08-17
57	2021	734700	230000	964700	2023-08-17
57	2020	714200	202400	916600	2023-08-17
58	2022	653600	262000	915600	2023-08-17
58	2021	653600	262000	915600	2023-08-17
58	2020	604000	255500	859500	2023-08-17
59	2022	355300	156500	511800	2023-08-17
59	2021	355300	156500	511800	2023-08-17
59	2020	331100	165000	496100	2023-08-17
60	2022	485100	218900	704000	2023-08-17
60	2021	485100	218900	704000	2023-08-17
60	2020	442800	192600	635400	2023-08-17
62	2022	498400	163900	662300	2023-08-17
62	2021	485300	163900	649200	2023-08-17
62	2020	404000	172100	576100	2023-08-17
63	2022	258400	232100	490500	2023-08-17
63	2021	258400	232100	490500	2023-08-17
63	2020	182300	204300	386600	2023-08-17
64	2022	103900	218200	322100	2023-08-17
64	2021	103900	218200	322100	2023-08-17
64	2020	100700	161800	262500	2023-08-17
65	2022	436100	228900	665000	2023-08-17
65	2021	316000	228900	544900	2023-08-17
65	2020	288100	201400	489500	2023-08-17
66	2022	218800	230900	449700	2023-08-17
66	2021	218800	230900	449700	2023-08-17
66	2020	205200	203200	408400	2023-08-17
67	2022	0	103200	103200	2023-08-17
67	2021	0	103200	103200	2023-08-17
67	2020	0	87400	87400	2023-08-17
68	2022	127000	157100	284100	2023-08-17
68	2021	127000	157100	284100	2023-08-17
68	2020	136000	120600	256600	2023-08-17
69	2022	0	8600	8600	2023-08-17
69	2021	0	8600	8600	2023-08-17
69	2020	0	8400	8400	2023-08-17
76	2022	519800	234400	754200	2023-08-17
76	2021	519800	234400	754200	2023-08-17
76	2020	537500	206400	743900	2023-08-17
77	2022	343500	234900	578400	2023-08-17
77	2021	343500	234900	578400	2023-08-17
77	2020	338100	206800	544900	2023-08-17
78	2022	173800	216500	390300	2023-08-17
78	2021	173800	216500	390300	2023-08-17
78	2020	132600	190400	323000	2023-08-17
79	2022	116800	216500	333300	2023-08-17
79	2021	116800	216500	333300	2023-08-17
79	2020	105400	190200	295600	2023-08-17
80	2022	301600	317200	618800	2023-08-17
80	2021	301600	317200	618800	2023-08-17
80	2020	226900	265000	491900	2023-08-17
81	2022	92200	233300	325500	2023-08-17
81	2021	139400	290400	429800	2023-08-17
81	2020	119100	255500	374600	2023-08-17
82	2022	217700	199300	417000	2023-08-17
82	2021	217700	199300	417000	2023-08-17
82	2020	157800	186800	344600	2023-08-17
83	2022	190300	161800	352100	2023-08-17
83	2021	189900	161800	351700	2023-08-17
83	2020	151100	170400	321500	2023-08-17
84	2022	3187200	2000100	5187300	2023-08-17
84	2021	3187200	2000100	5187300	2023-08-17
84	2020	2800400	1387500	4187900	2023-08-17
85	2022	0	16900	16900	2023-08-17
85	2021	0	16900	16900	2023-08-17
85	2020	0	16400	16400	2023-08-17
86	2022	471700	228900	700600	2023-08-17
86	2021	471700	228900	700600	2023-08-17
86	2020	422300	201400	623700	2023-08-17
87	2022	379700	256000	635700	2023-08-17
87	2021	379700	256000	635700	2023-08-17
87	2020	373400	225400	598800	2023-08-17
88	2022	43200	113400	156600	2023-08-17
88	2021	43200	113400	156600	2023-08-17
88	2020	36900	75200	112100	2023-08-17
89	2022	252300	239000	491300	2023-08-17
89	2021	252300	239500	491800	2023-08-17
89	2020	272500	211800	484300	2023-08-17
91	2022	526300	277000	803300	2023-08-17
91	2021	526300	277000	803300	2023-08-17
91	2020	548900	191900	740800	2023-08-17
92	2022	77800	179500	257300	2023-08-17
92	2021	77800	179500	257300	2023-08-17
92	2020	63100	149400	212500	2023-08-17
93	2022	548900	204300	753200	2023-08-17
93	2021	475800	204300	680100	2023-08-17
93	2020	298700	188200	486900	2023-08-17
94	2022	385500	179200	564700	2023-08-17
94	2021	385500	179200	564700	2023-08-17
94	2020	266600	178700	445300	2023-08-17
95	2022	410100	207600	617700	2023-08-17
95	2021	410100	207600	617700	2023-08-17
95	2020	287100	189100	476200	2023-08-17
99	2022	328500	0	328500	2023-08-17
99	2021	328500	0	328500	2023-08-17
99	2020	308800	0	308800	2023-08-17
101	2022	543900	0	543900	2023-08-17
101	2021	543900	0	543900	2023-08-17
101	2020	543200	0	543200	2023-08-17
102	2022	7500	104000	111500	2023-08-17
102	2021	7500	104000	111500	2023-08-17
102	2020	7500	91900	99400	2023-08-17
103	2022	121800	185100	306900	2023-08-17
103	2021	121800	185100	306900	2023-08-17
103	2020	116200	162700	278900	2023-08-17
104	2022	1055000	394300	1449300	2023-08-17
104	2021	1055000	394300	1449300	2023-08-17
104	2020	923900	298600	1222500	2023-08-17
105	2022	236100	274300	510400	2023-08-17
105	2021	236100	274300	510400	2023-08-17
105	2020	219000	249200	468200	2023-08-17
106	2022	1421000	488300	1909300	2023-08-17
106	2021	1421000	488300	1909300	2023-08-17
106	2020	1164400	388300	1552700	2023-08-17
107	2022	359500	263700	623200	2023-08-17
107	2021	359500	263700	623200	2023-08-17
107	2020	340500	233900	574400	2023-08-17
111	2022	4400	424700	429100	2023-08-17
111	2021	4400	424700	429100	2023-08-17
111	2020	4000	337700	341700	2023-08-17
115	2022	51000	123500	174500	2023-08-17
115	2021	221200	137700	358900	2023-08-17
115	2020	168500	105400	273900	2023-08-17
116	2022	249500	148200	397700	2023-08-17
116	2021	249500	148200	397700	2023-08-17
116	2020	222400	119300	341700	2023-08-17
117	2022	426300	0	426300	2023-08-17
117	2021	426300	0	426300	2023-08-17
117	2020	388500	0	388500	2023-08-17
118	2022	155800	405100	560900	2023-08-17
118	2021	155800	405100	560900	2023-08-17
118	2020	143400	287600	431000	2023-08-17
120	2022	462100	360800	822900	2023-08-17
120	2021	462100	360800	822900	2023-08-17
120	2020	461500	277700	739200	2023-08-17
121	2022	2900	143700	146600	2023-08-17
121	2021	2400	143700	146100	2023-08-17
121	2020	73600	115200	188800	2023-08-17
122	2022	273000	133300	406300	2023-08-17
122	2021	273000	133300	406300	2023-08-17
122	2020	223700	105800	329500	2023-08-17
123	2022	151900	132200	284100	2023-08-17
123	2021	151900	132200	284100	2023-08-17
123	2020	120600	105500	226100	2023-08-17
124	2022	354900	223000	577900	2023-08-17
124	2021	354900	223000	577900	2023-08-17
124	2020	326200	140700	466900	2023-08-17
125	2022	272000	155700	427700	2023-08-17
125	2021	272000	155700	427700	2023-08-17
125	2020	227400	119300	346700	2023-08-17
127	2022	240200	153300	393500	2023-08-17
127	2021	240200	153300	393500	2023-08-17
127	2020	263100	114100	377200	2023-08-17
128	2022	395000	188500	583500	2023-08-17
128	2021	395000	188500	583500	2023-08-17
128	2020	416100	111500	527600	2023-08-17
129	2022	182300	157500	339800	2023-08-17
129	2021	182300	157500	339800	2023-08-17
129	2020	170700	124600	295300	2023-08-17
132	2022	0	40300	40300	2023-08-17
132	2021	0	40300	40300	2023-08-17
132	2020	0	33700	33700	2023-08-17
133	2022	42000	0	42000	2023-08-17
133	2021	42000	0	42000	2023-08-17
133	2020	38500	0	38500	2023-08-17
136	2022	15200	12200	27400	2023-08-17
136	2021	15200	12200	27400	2023-08-17
136	2020	13400	9700	23100	2023-08-17
137	2022	46900	189400	236300	2023-08-17
137	2021	46900	189400	236300	2023-08-17
137	2020	42400	154600	197000	2023-08-17
138	2022	1194500	246000	1440500	2023-08-17
138	2021	1194500	246000	1440500	2023-08-17
138	2020	1092000	237600	1329600	2023-08-17
139	2022	81400	166400	247800	2023-08-17
139	2021	81400	166400	247800	2023-08-17
139	2020	73400	132400	205800	2023-08-17
140	2022	575300	151500	726800	2023-08-17
140	2021	575300	151500	726800	2023-08-17
140	2020	531800	156000	687800	2023-08-17
142	2022	183800	209900	393700	2023-08-17
142	2021	183800	209900	393700	2023-08-17
142	2020	190500	184600	375100	2023-08-17
143	2022	334100	206900	541000	2023-08-17
143	2021	334100	206900	541000	2023-08-17
143	2020	289400	181800	471200	2023-08-17
144	2022	145200	133000	278200	2023-08-17
144	2021	144800	133000	277800	2023-08-17
144	2020	138000	111800	249800	2023-08-17
148	2022	163800	142700	306500	2023-08-17
148	2021	163800	142700	306500	2023-08-17
148	2020	138200	108700	246900	2023-08-17
149	2022	385600	171200	556800	2023-08-17
149	2021	385600	171200	556800	2023-08-17
149	2020	290200	130100	420300	2023-08-17
150	2022	410700	170200	580900	2023-08-17
150	2021	410700	170200	580900	2023-08-17
150	2020	124300	129200	253500	2023-08-17
151	2022	0	218500	218500	2023-08-17
151	2021	0	218500	218500	2023-08-17
151	2020	0	137300	137300	2023-08-17
152	2022	176000	84800	260800	2023-08-17
152	2021	175200	84800	260000	2023-08-17
152	2020	130800	70400	201200	2023-08-17
153	2022	149400	111300	260700	2023-08-17
153	2021	149400	111300	260700	2023-08-17
153	2020	138400	90300	228700	2023-08-17
154	2022	82500	82400	164900	2023-08-17
154	2021	82500	82400	164900	2023-08-17
154	2020	66800	72000	138800	2023-08-17
159	2022	21200	166100	187300	2023-08-17
159	2021	21200	166100	187300	2023-08-17
159	2020	17900	127200	145100	2023-08-17
161	2022	562100	219600	781700	2023-08-17
161	2021	562100	219600	781700	2023-08-17
161	2020	592300	158900	751200	2023-08-17
162	2022	165400	126800	292200	2023-08-17
162	2021	165400	126800	292200	2023-08-17
162	2020	165400	97100	262500	2023-08-17
163	2022	269600	158900	428500	2023-08-17
163	2021	269600	158900	428500	2023-08-17
163	2020	298800	97300	396100	2023-08-17
164	2022	46200	98300	144500	2023-08-17
164	2021	46200	98300	144500	2023-08-17
164	2020	38900	83100	122000	2023-08-17
167	2022	289300	224000	513300	2023-08-17
167	2021	289300	224000	513300	2023-08-17
167	2020	279800	110300	390100	2023-08-17
168	2022	174500	129600	304100	2023-08-17
168	2021	174500	129600	304100	2023-08-17
168	2020	146700	98800	245500	2023-08-17
169	2022	154200	111100	265300	2023-08-17
169	2021	154200	111100	265300	2023-08-17
169	2020	130800	92200	223000	2023-08-17
170	2022	1225500	266800	1492300	2023-08-17
170	2021	1225500	266800	1492300	2023-08-17
170	2020	1095300	204200	1299500	2023-08-17
171	2022	0	200	200	2023-08-17
171	2021	0	200	200	2023-08-17
171	2020	0	200	200	2023-08-17
172	2022	0	300	300	2023-08-17
172	2021	0	300	300	2023-08-17
172	2020	0	300	300	2023-08-17
173	2022	465200	146600	611800	2023-08-17
173	2021	465200	154000	619200	2023-08-17
173	2020	361400	117800	479200	2023-08-17
174	2022	152300	132200	284500	2023-08-17
174	2021	152300	132200	284500	2023-08-17
174	2020	136900	100500	237400	2023-08-17
176	2022	156600	137900	294500	2023-08-17
176	2021	156600	137900	294500	2023-08-17
176	2020	116500	105000	221500	2023-08-17
177	2022	81400	129800	211200	2023-08-17
177	2021	85100	129800	214900	2023-08-17
177	2020	92300	88300	180600	2023-08-17
178	2022	231800	126600	358400	2023-08-17
178	2021	231800	126600	358400	2023-08-17
178	2020	205300	97000	302300	2023-08-17
179	2022	149400	138100	287500	2023-08-17
179	2021	149400	138100	287500	2023-08-17
179	2020	140700	105200	245900	2023-08-17
180	2022	597800	214300	812100	2023-08-17
180	2021	597800	214300	812100	2023-08-17
180	2020	557700	225900	783600	2023-08-17
181	2022	0	2500	2500	2023-08-17
181	2021	0	2500	2500	2023-08-17
181	2020	0	2400	2400	2023-08-17
182	2022	507900	178200	686100	2023-08-17
182	2021	507900	178200	686100	2023-08-17
182	2020	520800	227800	748600	2023-08-17
183	2022	282900	103000	385900	2023-08-17
183	2021	10900	103000	113900	2023-08-17
183	2020	12500	67000	79500	2023-08-17
187	2022	314000	170900	484900	2023-08-17
187	2021	351200	193100	544300	2023-08-17
187	2020	259400	131200	390600	2023-08-17
188	2022	613900	260000	873900	2023-08-17
188	2021	329500	218400	547900	2023-08-17
188	2020	234300	161800	396100	2023-08-17
189	2022	8500	44800	53300	2023-08-17
189	2021	8500	44800	53300	2023-08-17
189	2020	7800	35200	43000	2023-08-17
190	2022	0	1000	1000	2023-08-17
190	2021	0	1000	1000	2023-08-17
190	2020	0	1000	1000	2023-08-17
191	2022	0	6000	6000	2023-08-17
191	2021	0	6000	6000	2023-08-17
191	2020	0	6000	6000	2023-08-17
192	2022	0	25500	25500	2023-08-17
192	2021	0	25500	25500	2023-08-17
192	2020	0	25500	25500	2023-08-17
194	2022	0	100	100	2023-08-17
194	2021	0	100	100	2023-08-17
194	2020	0	100	100	2023-08-17
195	2022	343500	176200	519700	2023-08-17
195	2021	343500	176200	519700	2023-08-17
195	2020	328100	138000	466100	2023-08-17
197	2022	0	2500	2500	2023-08-17
197	2021	0	2500	2500	2023-08-17
197	2020	0	2500	2500	2023-08-17
201	2022	322700	134800	457500	2023-08-17
201	2021	322700	134800	457500	2023-08-17
201	2020	350000	101500	451500	2023-08-17
202	2022	418600	293300	711900	2023-08-17
202	2021	392300	293300	685600	2023-08-17
202	2020	377800	227900	605700	2023-08-17
203	2022	232400	125100	357500	2023-08-17
203	2021	232400	125100	357500	2023-08-17
203	2020	195200	93600	288800	2023-08-17
204	2022	396000	324800	720800	2023-08-17
204	2021	396000	324800	720800	2023-08-17
204	2020	256600	173200	429800	2023-08-17
206	2022	606800	135800	742600	2023-08-17
206	2021	606800	135800	742600	2023-08-17
206	2020	566800	103200	670000	2023-08-17
207	2022	1700	52700	54400	2023-08-17
207	2021	1700	52700	54400	2023-08-17
207	2020	1500	52700	54200	2023-08-17
208	2022	180600	142400	323000	2023-08-17
208	2021	180600	142400	323000	2023-08-17
208	2020	172800	98300	271100	2023-08-17
209	2022	124500	143300	267800	2023-08-17
209	2021	119000	143300	262300	2023-08-17
209	2020	102800	99100	201900	2023-08-17
210	2022	193800	143300	337100	2023-08-17
210	2021	193800	143300	337100	2023-08-17
210	2020	186600	99100	285700	2023-08-17
217	2022	0	2600	2600	2023-08-17
217	2021	0	2600	2600	2023-08-17
217	2020	0	2600	2600	2023-08-17
219	2022	176100	164500	340600	2023-08-17
219	2021	176100	164500	340600	2023-08-17
219	2020	189400	99100	288500	2023-08-17
220	2022	180400	108100	288500	2023-08-17
220	2021	180400	108100	288500	2023-08-17
220	2020	140700	82700	223400	2023-08-17
221	2022	221900	95600	317500	2023-08-17
221	2021	221900	95600	317500	2023-08-17
221	2020	173600	73500	247100	2023-08-17
222	2022	269100	168700	437800	2023-08-17
222	2021	269100	168700	437800	2023-08-17
222	2020	232300	126700	359000	2023-08-17
223	2022	334100	125900	460000	2023-08-17
223	2021	322900	125900	448800	2023-08-17
223	2020	288000	113500	401500	2023-08-17
224	2022	234300	215300	449600	2023-08-17
224	2021	234300	215300	449600	2023-08-17
224	2020	222000	167900	389900	2023-08-17
225	2022	86100	176600	262700	2023-08-17
225	2021	86100	176600	262700	2023-08-17
225	2020	73100	113900	187000	2023-08-17
229	2022	312700	179600	492300	2023-08-17
229	2021	312700	179600	492300	2023-08-17
229	2020	290000	105400	395400	2023-08-17
230	2022	0	2800	2800	2023-08-17
230	2021	0	2800	2800	2023-08-17
230	2020	0	2800	2800	2023-08-17
231	2022	82800	91300	174100	2023-08-17
231	2021	82800	91300	174100	2023-08-17
231	2020	57100	69500	126600	2023-08-17
232	2022	72200	57800	130000	2023-08-17
232	2021	72200	57800	130000	2023-08-17
232	2020	54200	52500	106700	2023-08-17
233	2022	81500	65100	146600	2023-08-17
233	2021	81500	65100	146600	2023-08-17
233	2020	59900	59000	118900	2023-08-17
234	2022	228500	134400	362900	2023-08-17
234	2021	228500	134400	362900	2023-08-17
234	2020	234500	78100	312600	2023-08-17
235	2022	455900	169300	625200	2023-08-17
235	2021	455900	169300	625200	2023-08-17
235	2020	403100	107900	511000	2023-08-17
236	2022	184400	119700	304100	2023-08-17
236	2021	184400	119700	304100	2023-08-17
236	2020	152400	67800	220200	2023-08-17
237	2022	45100	88200	133300	2023-08-17
237	2021	45100	88200	133300	2023-08-17
237	2020	39500	53000	92500	2023-08-17
238	2022	149100	133300	282400	2023-08-17
238	2021	149100	133300	282400	2023-08-17
238	2020	108100	93500	201600	2023-08-17
241	2022	143900	163300	307200	2023-08-17
241	2021	143900	163300	307200	2023-08-17
241	2020	120900	116900	237800	2023-08-17
243	2022	0	900	900	2023-08-17
243	2021	0	900	900	2023-08-17
243	2020	0	900	900	2023-08-17
244	2022	0	800	800	2023-08-17
244	2021	0	800	800	2023-08-17
244	2020	0	700	700	2023-08-17
245	2022	193200	115700	308900	2023-08-17
245	2021	193200	115700	308900	2023-08-17
245	2020	98100	86300	184400	2023-08-17
246	2022	0	6200	6200	2023-08-17
246	2021	0	6200	6200	2023-08-17
246	2020	0	6200	6200	2023-08-17
247	2022	13400	149200	162600	2023-08-17
247	2021	13400	149200	162600	2023-08-17
247	2020	10400	92900	103300	2023-08-17
248	2022	126300	137700	264000	2023-08-17
248	2021	126300	137700	264000	2023-08-17
248	2020	144000	105500	249500	2023-08-17
249	2022	155900	144300	300200	2023-08-17
249	2021	155900	144300	300200	2023-08-17
249	2020	167400	122000	289400	2023-08-17
250	2022	0	2700	2700	2023-08-17
250	2021	0	2700	2700	2023-08-17
250	2020	0	2700	2700	2023-08-17
251	2022	367000	232200	599200	2023-08-17
251	2021	367000	232200	599200	2023-08-17
251	2020	163700	182600	346300	2023-08-17
252	2022	176700	144300	321000	2023-08-17
252	2021	176700	144300	321000	2023-08-17
252	2020	155600	94600	250200	2023-08-17
253	2022	212100	150400	362500	2023-08-17
253	2021	212100	150400	362500	2023-08-17
253	2020	187200	116400	303600	2023-08-17
254	2022	356800	150800	507600	2023-08-17
254	2021	356800	150800	507600	2023-08-17
254	2020	243100	117600	360700	2023-08-17
255	2022	471100	129400	600500	2023-08-17
255	2021	435400	129400	564800	2023-08-17
255	2020	188200	99500	287700	2023-08-17
256	2022	1367900	364300	1732200	2023-08-17
256	2021	1367900	364300	1732200	2023-08-17
256	2020	1251500	237700	1489200	2023-08-17
257	2022	56900	130700	187600	2023-08-17
257	2021	56900	130700	187600	2023-08-17
257	2020	67900	100700	168600	2023-08-17
258	2022	378800	0	378800	2023-08-17
258	2021	378800	0	378800	2023-08-17
258	2020	347600	0	347600	2023-08-17
259	2022	2454700	592700	3047400	2023-08-17
259	2021	2454700	592700	3047400	2023-08-17
259	2020	2190400	492700	2683100	2023-08-17
260	2022	82600	164500	247100	2023-08-17
260	2021	82600	164500	247100	2023-08-17
260	2020	61100	157300	218400	2023-08-17
267	2022	66900	122600	189500	2023-08-17
267	2021	66900	122600	189500	2023-08-17
267	2020	36300	96600	132900	2023-08-17
270	2022	54400	117800	172200	2023-08-17
270	2021	54400	117800	172200	2023-08-17
270	2020	33700	92300	126000	2023-08-17
271	2022	293800	127600	421400	2023-08-17
271	2021	293800	127600	421400	2023-08-17
271	2020	313300	78200	391500	2023-08-17
272	2022	0	11300	11300	2023-08-17
272	2021	0	11300	11300	2023-08-17
272	2020	0	9000	9000	2023-08-17
273	2022	32800	100700	133500	2023-08-17
273	2021	32800	100700	133500	2023-08-17
273	2020	25700	69300	95000	2023-08-17
274	2022	230700	139000	369700	2023-08-17
274	2021	230700	139000	369700	2023-08-17
274	2020	197900	101700	299600	2023-08-17
275	2022	15500	109800	125300	2023-08-17
275	2021	30200	109800	140000	2023-08-17
275	2020	14200	84200	98400	2023-08-17
276	2022	133100	173400	306500	2023-08-17
276	2021	133100	173400	306500	2023-08-17
276	2020	122700	167400	290100	2023-08-17
277	2022	0	1500	1500	2023-08-17
277	2021	0	1500	1500	2023-08-17
277	2020	0	1500	1500	2023-08-17
278	2022	147100	180500	327600	2023-08-17
278	2021	159300	191000	350300	2023-08-17
278	2020	72200	168600	240800	2023-08-17
279	2022	161300	176800	338100	2023-08-17
279	2021	161300	176800	338100	2023-08-17
279	2020	123600	148700	272300	2023-08-17
280	2022	0	8400	8400	2023-08-17
280	2021	0	8400	8400	2023-08-17
280	2020	0	8400	8400	2023-08-17
283	2022	25500	171600	197100	2023-08-17
283	2021	25500	171600	197100	2023-08-17
283	2020	32600	130600	163200	2023-08-17
287	2022	566500	297100	863600	2023-08-17
287	2021	566500	297100	863600	2023-08-17
287	2020	518800	278200	797000	2023-08-17
288	2022	245600	328100	573700	2023-08-17
288	2021	245600	328100	573700	2023-08-17
288	2020	204100	307200	511300	2023-08-17
290	2022	618200	290500	908700	2023-08-17
290	2021	618200	290500	908700	2023-08-17
290	2020	269000	281000	550000	2023-08-17
291	2022	0	6400	6400	2023-08-17
291	2021	0	6400	6400	2023-08-17
291	2020	0	6400	6400	2023-08-17
292	2022	376500	174000	550500	2023-08-17
292	2021	376400	174100	550500	2023-08-17
292	2020	317300	137000	454300	2023-08-17
294	2022	411100	180800	591900	2023-08-17
294	2021	411100	180800	591900	2023-08-17
294	2020	378500	138900	517400	2023-08-17
295	2022	132400	104100	236500	2023-08-17
295	2021	132400	104100	236500	2023-08-17
295	2020	130300	90500	220800	2023-08-17
296	2022	131100	0	131100	2023-08-17
296	2021	131100	0	131100	2023-08-17
296	2020	127600	0	127600	2023-08-17
297	2022	40800	88400	129200	2023-08-17
297	2021	40800	88400	129200	2023-08-17
297	2020	31400	70400	101800	2023-08-17
298	2022	168100	118200	286300	2023-08-17
298	2021	168100	118200	286300	2023-08-17
298	2020	130400	95400	225800	2023-08-17
299	2022	108200	133400	241600	2023-08-17
299	2021	108200	133400	241600	2023-08-17
299	2020	100300	95400	195700	2023-08-17
300	2022	116500	93400	209900	2023-08-17
300	2021	116500	93400	209900	2023-08-17
300	2020	105200	84900	190100	2023-08-17
301	2022	197200	148800	346000	2023-08-17
301	2021	197200	148800	346000	2023-08-17
301	2020	150800	112000	262800	2023-08-17
303	2022	392100	179200	571300	2023-08-17
303	2021	392100	179200	571300	2023-08-17
303	2020	310800	142900	453700	2023-08-17
306	2022	252100	220000	472100	2023-08-17
306	2021	254500	220000	474500	2023-08-17
306	2020	173800	201400	375200	2023-08-17
307	2022	498100	260400	758500	2023-08-17
307	2021	498100	260400	758500	2023-08-17
307	2020	498800	229400	728200	2023-08-17
308	2022	280100	196600	476700	2023-08-17
308	2021	280100	196600	476700	2023-08-17
308	2020	274500	150300	424800	2023-08-17
309	2022	283000	306800	589800	2023-08-17
309	2021	283000	306800	589800	2023-08-17
309	2020	264700	232900	497600	2023-08-17
310	2022	511300	183400	694700	2023-08-17
310	2021	511300	183400	694700	2023-08-17
310	2020	475100	178800	653900	2023-08-17
311	2022	0	15600	15600	2023-08-17
311	2021	0	15600	15600	2023-08-17
311	2020	0	15600	15600	2023-08-17
313	2022	675600	430100	1105700	2023-08-17
313	2021	675600	430100	1105700	2023-08-17
313	2020	606600	485300	1091900	2023-08-17
315	2022	484200	174900	659100	2023-08-17
315	2021	484200	174900	659100	2023-08-17
315	2020	437000	136800	573800	2023-08-17
316	2022	229500	180700	410200	2023-08-17
316	2021	229500	180700	410200	2023-08-17
316	2020	228100	143200	371300	2023-08-17
317	2022	361800	152900	514700	2023-08-17
317	2021	361800	152900	514700	2023-08-17
317	2020	361600	127700	489300	2023-08-17
319	2022	381800	222900	604700	2023-08-17
319	2021	381800	222900	604700	2023-08-17
319	2020	351600	172500	524100	2023-08-17
320	2022	0	9700	9700	2023-08-17
320	2021	0	9700	9700	2023-08-17
