Municipality,County,Date incorporated[a],Population (2020)[1],Land area (sq mil),Form of government,Populated places[2],https://en.wikipedia.org/wiki/List_of_municipalities_in_New_Hampshire
Dalton,Coös,1784,933,27.5,Town meeting,"Cushman, Dalton, Scott"
Danbury,Merrimack,1795,1250,37.5,Town meeting,"Converse Station, Danbury, Elmwood, Fords Crossing, Fords Mill, South Danbury"
Danville,Rockingham,1760,4408,11.7,Town meeting,"Danville, North Danville, South Danville"
Deerfield,Rockingham,1766,4855,50.9,Town meeting,"Deerfield, Deerfield Center, Deerfield Parade, James City, Leavitts Hill, Mount Delight, South Deerfield"
Deering,Hillsborough,1774,1904,30.8,Town meeting,"Deering, East Deering, Holton, West Deering"
Derry,Rockingham,1827,34317,35.6,Council-manager,"Chases Grove, Collettes Grove, Conleys Grove, Derry, Derry Village, East Derry, Howards Grove, Hubbard, Peppermint Corner, West Derry"
Dorchester,Grafton,1761,339,44.7,Town meeting,"Bucks Corner, Cheever, Dorchester, North Dorchester"
Dover,Strafford,1623/1855,32741,26.7,Council-manager,"Bellamy, Boston Harbor, Cocheco, Dover, Gates Corner, Sawyers, Wentworth Terrace"
Dublin,Cheshire,1771,1532,28,Town meeting,"Bonds Corner, Dublin"
Dummer,Coös,1848,306,48.2,Town meeting,"Dummer, Paris"
Dunbarton,Merrimack,1765,3005,30.9,Town meeting,"Baileys Corner, Dunbarton Center, Pages Corner"
Durham,Strafford,1732,15490,22.4,Council-manager,Durham
East Kingston,Rockingham,1738,2441,10,Town meeting,"East Kingston, Monahan Corners, Powwow River, Tappan Corners"
Easton,Grafton,1876,292,31.2,Town meeting,"Easton, Wildwood"
Eaton,Carroll,1766,405,24.3,Town meeting,"Eaton Center, Snowville"
Effingham,Carroll,1778,1691,38.4,Town meeting,"Center Effingham, Chases Mill, Effingham (Lord's Hill), Effingham Falls, Grape Corner, Pine River, South Effingham, Drake's Corner"
Ellsworth,Grafton,1802,93,21.4,Town meeting,Ellsworth
Enfield,Grafton,1761,4465,40.3,Town meeting,"Enfield, Enfield Center, Fish Market, Lockehaven, Lower Shaker Village, Montcalm, Purmort, Upper Shaker Village"
Epping,Rockingham,1741,7125,26,Town meeting (with ballot initiative),"Camp Hedding, Epping, Martin Crossing, North Epping, West Epping"
,,,,,,
Epsom,Merrimack,1727,4834,34.2,Town meeting,"Epsom, Gossville, New Rye, Short Falls"
Errol,Coös,1836,298,60.6,Town meeting,Errol
Exeter,Rockingham,1638,16049,19.6,Town meeting,"Dows Corner, Exeter, Gooch Corner, Haynes Corner, Jady Hill, Perkins Hill"
Farmington,Strafford,1798,6722,37.2,Town meeting,"Farmington, Hornetown, Merrill Corners, Place"
Fitzwilliam,Cheshire,1773,2351,34.6,Town meeting,"Beechwood Corners, Bowkerville, Fitzwilliam, Fitzwilliam Depot, Rockwood, State Line"
Francestown,Hillsborough,1772,1610,30.2,Town meeting,Francestown
Franconia,Grafton,1764,1083,65.7,Town meeting,"Franconia, Mittersill"
Franklin,Merrimack,1828/1895,8741,27.4,Council-manager,"Franklin, Webster Lake, Webster Place, West Franklin"
Freedom,Carroll,1831,1689,35,Town meeting,"East Freedom, Four Corners, Freedom"
Fremont,Rockingham,1764,4739,17.2,Town meeting,"Fremont, Fremont Station, Lyford Crossing, Pages Corner"
Gilford,Belknap,1812,7699,38.9,Town meeting,"Ames, Belknap Point, Dockham Shore, Gilford, Glendale, Lake Shore Park, Samoset, The Ledges, Yale Estates"
Gilmanton,Belknap,1727,3945,57.2,Town meeting,"Allens Mills, Gilmanton Corners, Gilmanton Ironworks, Jones Mills, Kelleys Corner, Lower Gilmanton"
Gilsum,Cheshire,1763,752,16.7,Town meeting,"Gilsum, Lower Village, Roundys Corner"
Goffstown,Hillsborough,1761,18577,36.9,Town meeting,"Browns Corner, Goffstown, Grasmere, Mountain Base, Parker, Pinardville, Shirley Park"
Gorham,Coös,1836,2698,31.9,Town meeting,"Cascade, Gorham, Upper Village, Lead Mines"
Goshen,Sullivan,1791,796,22.5,Town meeting,"Goshen, Goshen Four Corners"
Grafton,Grafton,1778,1385,41.7,Town meeting,"East Grafton, Grafton, Grafton Center, Robinson Corner, Cardigan Station"
Grantham,Sullivan,1761,3404,27.2,Town meeting,"East Grantham, Eastman, Grantham, North Grantham"
Greenfield,Hillsborough,1791,1716,26.1,Town meeting,"Greenfield, Russell"
Greenland,Rockingham,1721,4067,10.5,Town meeting,"Bayside, Breakfast Hill, Camp Gundalow, Greenland, Greenland Station, Stratham Station"
Greenville,Hillsborough,1872,1974,6.9,Town meeting,Greenville
Groton,Grafton,1761,569,40.8,Town meeting,"Groton, North Groton"
Hampstead,Rockingham,1749,8998,13.3,Town meeting,"Baglett Grove, East Hampstead, Hampstead, West Hampstead"
Hampton,Rockingham,1639,16214,12.9,Town meeting,"Coffins Mill, Dunvegan Woods, Eastman Point, Elmwood Corners, Great Boars Head, Hampton, Hampton Beach, Hampton Landing, North Beach, Plaice Cove, Smith Colony, The Five Corners, The Plantation, The Willows"
Hampton Falls,Rockingham,1726,2403,12.2,Town meeting (with ballot initiative),"Brimstone Hill (The Common), Fogg Corners, Hampton Falls, Nason Corners, Sanborn, Sanborn Corners, Town Hall Corner, Weares Mill"
,,,,,,
Hancock,Hillsborough,1779,1731,30,Town meeting,"Elmwood, Hancock"
Hanover,Grafton,1761,11870,49,Town meeting,"Etna, Hanover, Hanover Center, Rivercrest"
Harrisville,Cheshire,1870,984,18.6,Town meeting,"Chesham, Eastview, Harrisville"
Hart's Location,Carroll,1795,68,18.5,Town meeting,"Notchland, Sawyers River, Willey House"
Haverhill,Grafton,1763,4585,51,Town meeting (with town manager),"Center Haverhill, East Haverhill, Haverhill, Mountain Lakes (part), North Haverhill, Pike, Woodsville"
,,,,,,
Hebron,Grafton,1792,632,16.5,Town meeting,"East Hebron, Hebron, Nuttings Beach"
Henniker,Merrimack,1768,6185,44.1,Town meeting,"Colby, Henniker, Henniker Junction, West Henniker, Emerson Station"
Hill,Merrimack,1778,1017,26.7,Town meeting,"Hill, Hill Center, Murray Hill, South Alexandria"
Hillsborough,Hillsborough,1772,5939,43.6,Town meeting,"Hillsborough, Hillsboro Center, Hillsboro Lower Village, Hillsboro Upper Village, Bridge Village"
Hinsdale,Cheshire,1753,3948,20.6,Town meeting,"Dole Junction, Hinsdale, North Hinsdale"
Holderness,Grafton,1761,2004,30.5,Town meeting,"Deephaven, East Holderness, Holderness, Rockywold"
Hollis,Hillsborough,1746,8342,31.8,Town meeting,"Hollis, Hollis Depot, West Hollis"
Hooksett,Merrimack,1822,14871,36.4,Council-manager,"Hooksett, Martin, Martins Corner, Martins Ferry, Rowes Corner, South Hooksett"
Hopkinton,Merrimack,1765,5914,43.4,Town meeting,"Contoocook, Hatfield Corner, Hopkinton, Tyler, West Hopkinton"
Hudson,Hillsborough,1746,25394,28.3,Town meeting,"Hudson, Hudson Center, Perhams Four Corners, Potash Corner"
Jackson,Carroll,1800,1028,66.9,Town meeting,"Ducks Head, Dundee, Jackson, Jackson Falls, Panno Place"
Jaffrey,Cheshire,1773,5320,38.3,Town meeting (with town manager),"Hadley, Jaffrey, Jaffrey Center, Squantum"
,,,,,,
Jefferson,Coös,1796,1043,50.2,Town meeting,"Baileys, Highlands, Jefferson, Jefferson Highland, Riverton, Starr King, Waumbeck Junction, Cherry Mountain, Meadows"
Keene,Cheshire,1753/1873,23047,37.1,Mayor-council,"Joslin, Keene, North Swanzey, South Keene"
Kensington,Rockingham,1737,2095,11.9,Town meeting,"Austin Corners, Brick School Corner, Eastman Corners, Five Corners, Kensington, Lamprey Corners, Prescott Corner"
Kingston,Rockingham,1694,6202,19.7,Town meeting,"Kingston, South Kingston, West Kingston"
Laconia,Belknap,1855/1893,16871,19.9,Council-manager,"Interlaken Park, Laconia, Lakeport, Mallard Cove, Pendleton Beach, Weirs Beach, Wildwood Village"
Lancaster,Coös,1763,3218,49.8,Town meeting,"Coos Junction, Grange, Lancaster, Lost Nation, South Lancaster"
Landaff,Grafton,1774,446,28.4,Town meeting,"Ireland, Jericho, Jockey Hill, Landaff Center"
Langdon,Sullivan,1787,651,16.3,Town meeting,"Condon Corner, Langdon"
Lebanon,Grafton,1761/1957,14282,40.3,Council-manager,"East Wilder, Lebanon, Mascoma, Sachem Village, West Lebanon"
Lee,Strafford,1766,4520,20,Town meeting,"Glenmere Village, Lee, Lee Five Corners, South Lee, Wadley Falls"
Lempster,Sullivan,1761,1118,32.3,Town meeting,"Dodge Hollow, East Lempster, Keyes Hollow, Lempster"
Lincoln,Grafton,1764,1631,130.3,Town meeting (with town manager),"Lincoln, North Lincoln, Stillwater (former)"
,,,,,,
Lisbon,Grafton,1763,1621,26.2,Town meeting,"Barrett, Lisbon, Savageville"
Litchfield,Hillsborough,1734,8478,15.1,Town meeting,Litchfield
Littleton,Grafton,1784,6005,50.1,Town meeting,"Apthorp, Littleton, North Littleton"
Londonderry,Rockingham,1722,25826,42,Town council,"Londonderry, North Londonderry, West Derry, Wilson"
Loudon,Merrimack,1773,5576,46.8,Town meeting,"Loudon, Loudon Center, Loudon Ridge, Pearls Corner, Sabattus Heights"
Lyman,Grafton,1761,585,28.5,Town meeting,"Dodge Pond, Parker Hill, Tinkerville"
Lyme,Grafton,1761,1745,53.8,Town meeting,"Hardscrabble, Lyme, Lyme Center"
Lyndeborough,Hillsborough,1764,1702,30.4,Town meeting,"Curtis Corner, Johnson Corner, Lyndeborough Center, Perham Corner, South Lyndeborough"
Madbury,Strafford,1755,1918,11.7,Town meeting,Madbury
Madison,Carroll,1852,2565,38.5,Town meeting,"East Madison, Eidelweiss, Madison, Silver Lake"
Manchester,Hillsborough,1751/1846,115644,33.1,Mayor-council,"Amoskeag, Bakersville, Goffs Falls, Hallsville, Manchester, Massabesic, Rimmon Heights, Youngsville"
,,,,,,
"The Manchester Department of Planning & Community Development has defined 25 neighborhoods within the city, including those listed above.",,,,,,
Marlborough,Cheshire,1776,2096,20.4,Town meeting,"Marlborough, Webb"
Marlow,Cheshire,1761,749,26,Town meeting,"Baker Corner, Gee Mill, Marlow, Marlow Junction"
Mason,Hillsborough,1768,1448,23.9,Town meeting,"Mason, Pratt"
Meredith,Belknap,1768,6662,39.9,Town meeting (with town manager),"Bear Island, East Bear Island, Leavitt Park, Lovejoy Sands, Meredith, Meredith Center, Meredith Hill"
,,,,,,
Merrimack,Hillsborough,1746,26632,32.6,Council-manager,"Lawrence Corner, East Merrimack, Merrimack, Reeds Ferry, Souhegan Village, South Merrimack, Thorntons Ferry, Woodland Park"
Middleton,Strafford,1778,1823,18.1,Town meeting,"Middleton Corners, New Portsmouth"
Milan,Coös,1824,1358,63.8,Town meeting,"Copperville, Milan, West Milan"
Milford,Hillsborough,1794,16131,25.2,Town meeting,"East Milford, Milford, South Milford, Richardson"
Milton,Strafford,1802,4482,33.1,Town meeting,"Hayes Corner, Laskey Corner, Milton, Milton Mills, Town House"
Monroe,Grafton,1854,864,22.3,Town meeting,Monroe
Mont Vernon,Hillsborough,1803,2584,16.6,Town meeting,Mont Vernon
Moultonborough,Carroll,1777,4918,59.5,Town meeting,"Clark Landing, Lees Mill, Moultonborough, Moultonborough Falls, State Landing, Suissevale, Winnipesaukee"
Nashua,Hillsborough,1746/1853,91322,30.8,Mayor-council,"Broad Acres, Crown Hill, French Hill, Lincoln Park, Nashua, Nashville Historic District, North End"
Nelson,Cheshire,1774,629,21.9,Town meeting,"Munsonville, Nelson"
New Boston,Hillsborough,1763,6108,42.8,Town meeting,"Klondike Corner, New Boston"
New Castle,Rockingham,1693,1000,0.8,Town meeting,New Castle
New Durham,Strafford,1762,2693,41.5,Town meeting,"Coburn, Copplecrown Village District, Davis, Dexter Corner, New Durham, New Durham Corner"
New Hampton,Belknap,1777,2377,36.7,Town meeting,"New Hampton, Winona"
New Ipswich,Hillsborough,1762,5204,32.8,Town meeting,"Bank, Davis, Gibson Four Corners, High Bridge, New Ipswich, New Ipswich Center, Smithville, Wilder"
New London,Merrimack,1779,4400,22.5,Town meeting,"Crockett Corner, Elkins, Hastings, Lakeside, New London, Otterville, Pages Corner"
Newbury,Merrimack,1778,2172,35.8,Town meeting,"Box Corner, Blodgett Landing, Chalk Pond, Edgemont, Mount Sunapee, Newbury, Pine Cliff, South Newbury"
Newfields,Rockingham,1849,1769,7,Town meeting,"Littlefield, Newfields, Rockingham"
Newington,Rockingham,1764,811,8.2,Town meeting,"Newington, Newington Station, Piscataqua, South Newington"
Newmarket,Rockingham,1727,9430,12.5,Council-manager,"Four Corners, Newmarket"
Newport,Sullivan,1761,6299,43.6,Town meeting,"Chandler Station, Chandlers Mills, Guild, Kelleyville, Newport, North Newport"
Newton,Rockingham,1749,4820,9.9,Town meeting,"Crane Crossing, Newton, Newton Junction, Rowes Corner, Sargent Corners"
North Hampton,Rockingham,1742,4538,13.9,Town meeting,"Bass Beach, Cemetery Corners, Fogg Corner, Little Boars Head, North Hampton, North Hampton Center"
Northfield,Merrimack,1780,4872,28.8,Town meeting,"Northfield, Northfield Station"
Northumberland,Coös,1779,2126,35.7,Town meeting,"Groveton, Northumberland"
Northwood,Rockingham,1773,4641,28,Town meeting,"Melrose Beach, Northwood, Northwood Center, Northwood Narrows, Northwood Ridge"
Nottingham,Rockingham,1722,5229,46.5,Town meeting,"Cedar Waters, North Nottingham, Nottingham, Nottingham Square, West Nottingham, Pawtuckaway"
Orange,Grafton,1790,277,23.2,Town meeting,Orange
Orford,Grafton,1761,1237,46.7,Town meeting,"Gilmans Corner, Orford, Orfordville, Quinttown"
Ossipee,Carroll,1785,4372,70.8,Town meeting,"Center Ossipee, Chickville, Dorrs Corner, Granite, Leighton Corners, Long Sands, Moultonville, Ossipee, Ossipee Lake Shores, Ossipee Valley, Pollys Crossing, Roland Park, Water Village, West Ossipee"
Pelham,Hillsborough,1746,14222,26.4,Town meeting,"North Pelham, Pelham"
Pembroke,Merrimack,1759,7207,22.8,Town meeting,"North Pembroke, Pembroke, Pembroke Hill, Suncook (part)"
Peterborough,Hillsborough,1760,6418,37.7,Town meeting,"Drury, Happy Valley, MacDowell, Noone, North Village, Peterborough, West Peterborough"
Piermont,Grafton,1764,769,38.5,Town meeting,Piermont
Pittsburg,Coös,1840,800,281.4,Town meeting,"Happy Corner, Idlewilde, Pittsburg, The Glen"
Pittsfield,Merrimack,1782,4075,23.9,Town meeting,"Pittsfield, Rings Corner, South Pittsfield, Webster Mills"
Plainfield,Sullivan,1761,2459,52.2,Town meeting,"Coryville, East Plainfield, Hell Hollow, Meriden, Mill Village, Plainfield, Pratts Corners"
Plaistow,Rockingham,1749,7830,10.6,Town meeting (with town manager),"Atkinson Depot, Plaistow, Westville"
,,,,,,
Plymouth,Grafton,1763,6682,28.1,Town meeting,"Plymouth, West Plymouth"
Portsmouth,Rockingham,1631/1849,21956,15.7,Council-manager,"Atlantic Heights, Bersum Gardens, Christian Shore, Colonial Pines, Creek Area, Elwyn Park, Haymarket Square, Hillcrest Estates, Maplehaven, Meadowbrook, Pannaway Manor, Portsmouth, Portsmouth Plains, Sagamore Grove, Seacrest Village, Strawbery Banke, The Woodlands, Wentworth Acres"
Randolph,Coös,1824,328,47.1,Town meeting,"Appalachia, Bowman, Randolph, Randolph Hill, Scates Corner"
Raymond,Rockingham,1764,10684,28.8,Town meeting (with town manager),"Onway Lake, Raymond"
,,,,,,
Richmond,Cheshire,1752,1197,37.6,Town meeting,"North Richmond, Richmond"
Rindge,Cheshire,1768,6476,37.2,Town meeting (with town manager),"Converseville, Cutter Hill, East Rindge, Jones Corner, Rand, Rindge, Thomas, West Rindge, Woodmere"
,,,,,,
Rochester,Strafford,1722/1891,32492,45,Council-manager,"East Rochester, Gonic, Meaderboro Corner, Melrose Corner, North Rochester, Pickering, Rochester, West Gonic"
Rollinsford,Strafford,1849,2597,7.3,Town meeting,"Kelwyn Park, Rollinsford, Rollinsford Station"
Roxbury,Cheshire,1812,220,11.9,Town meeting,Roxbury Center
Rumney,Grafton,1761,1498,41.7,Town meeting,"Quincy, Rumney, Rumney Depot, Stinson Lake, West Rumney"
Rye,Rockingham,1726,5543,12.6,Town meeting,"Acorn Acres, Cable Road, Fairhill Manor, Foss Beach, Foyes Corner, Gosport, Jenness Beach, Langs Corner, Odiorne Point, Rye, Rye Beach, Rye Harbor, Rye North Beach, Wallis Sands, West Rye"
Salem,Rockingham,1750,30089,24.7,Town meeting (with town manager),"Arlington Park, Canobie Lake, Cluffs Crossing, Cowbell Corners, Foster Corners, Hampshire Road, Millville, Mount Ararat, North Salem, Noyes Terrace, Pine Grove Park, Salem, Salem Depot, Wilson Corners"
,,,,,,
Salisbury,Merrimack,1768,1422,40,Town meeting,"Salisbury, Salisbury Heights, Scribners Corner, Smiths Corner, Thompson Corner, West Salisbury"
Sanbornton,Belknap,1770,3026,47.6,Town meeting,"Bay Meetinghouse, Gaza, North Sanbornton, Sanbornton, Winnisquam"
Sandown,Rockingham,1756,6548,13.9,Town meeting,Sandown
Sandwich,Carroll,1763,1466,90.2,Town meeting,"Big Rock Corner, Center Sandwich, Chicks Corner, East Sandwich, North Sandwich, Sandwich (Lower Corner), Sandwich Landing, Wentworth Hill, Whiteface"
Seabrook,Rockingham,1768,8401,8.9,Town meeting (with town manager),"Atlantic, Fogg Corners, Riverside, Seabrook, Seabrook Beach, Seabrook Station, Smithtown, South Seabrook, Walton Landing, Weare Corner, Weares Mill"
,,,,,,
Sharon,Hillsborough,1791,359,15.6,Town meeting,Sharon
Shelburne,Coös,1820,353,47.9,Town meeting,Shelburne
Somersworth,Strafford,1754/1893,11855,9.8,Council-manager,"Blackwater, Central Park, Crocketts Crossing, Foundry, Somersworth"
South Hampton,Rockingham,1742,894,7.9,Town meeting,"Currierville, Jewell Town, Smith's Corner, South Hampton, Towles Corner"
Springfield,Sullivan,1794,1259,43.2,Town meeting,"East Springfield, Roby Corners, Springfield, Twin Lakes Village, Washburn Corner, West Springfield"
Stark,Coös,1795,478,58.7,Town meeting,"Crystal, Percy, Stark"
Stewartstown,Coös,1795,813,46.2,Town meeting,"Stewartstown, Stewartstown Hollow, West Stewartstown"
Stoddard,Cheshire,1774,1374,50.9,Town meeting,"Leominster Corner, Mill Village, South Stoddard, Stoddard, Woods Mill"
Strafford,Strafford,1820,4230,49.2,Town meeting,"Berrys Corner, Bow Lake Village, Center Strafford, Hills Corner, Leighton Corners, Strafford, Strafford Corner, Welsh's Corner"
Stratford,Coös,1773,662,79.5,Town meeting,"Beatties, East Stratford, Mapleton, Masons, North Stratford, Stratford Center, Stratford Hollow"
Stratham,Rockingham,1716,7669,15.1,Town meeting,"Parkman Corner, Stratham, Winniconic, Winnicut Mills"
Sugar Hill,Grafton,1962,647,17,Town meeting,Sugar Hill
Sullivan,Cheshire,1787,658,18.5,Town meeting,"East Sullivan, Ellisville, Sullivan"
Sunapee,Sullivan,1781,3342,21.1,Town meeting (with town manager),"Burkehaven, Fernwood, Georges Mills, Granliden, Lower Village, Sunapee, Sunapee Station, Wendell"
,,,,,,
Surry,Cheshire,1769,820,15.6,Town meeting,"Shaws Corner, Surry"
Sutton,Merrimack,1784,1978,42.3,Town meeting,"East Sutton, North Sutton, Shingle Mill Corner, South Sutton, Sutton, Sutton Mills"
Swanzey,Cheshire,1753,7270,45,Town meeting,"East Swanzey, North Swanzey, Spragueville, Swanzey, Swanzey Station, West Swanzey, Westport"
Tamworth,Carroll,1766,2812,59.7,Town meeting,"Bennett Corners, Chocorua, Pequawket, South Tamworth, Tamworth, Whittier, Wonalancet"
Temple,Hillsborough,1768,1382,22.2,Town meeting,Temple
Thornton,Grafton,1763,2708,50.2,Town meeting,"Goose Hollow, Thornton, West Thornton"
Tilton,Belknap,1869,3962,11.1,Town meeting,"Belmont Junction, East Tilton, Lochmere, The Plains, Tilton, Winnisquam"
Troy,Cheshire,1815,2130,17.4,Town meeting,Troy
Tuftonboro,Carroll,1795,2467,41,Town meeting,"Center Tuftonboro, Federal Corner, Melvin Village, Mirror Lake, Tuftonboro Corner, Union Wharf, Wawbeek"
Unity,Sullivan,1764,1518,36.9,Town meeting,"East Unity, Quaker City, Unity, West Unity"
Wakefield,Carroll,1774,5201,39.5,Town meeting,"East Wakefield, North Wakefield, Province Lake, Sanbornville, Union, Wakefield, Woodman"
Walpole,Cheshire,1752,3633,35.2,Town meeting,"Christian Hollow, Cold River, Dodge Tavern, Drewsville, North Walpole, Walpole"
Warner,Merrimack,1774,2937,55.6,Town meeting,"Bagley, Davisville, Dimond, Lower Village, Melvin Mills, Newmarket, Roby, Warner, Waterloo"
Warren,Grafton,1763,825,48.5,Town meeting,"Breezy Point, Glencliff, Warren"
Washington,Sullivan,1776,1192,45.4,Town meeting,"East Washington, Washington"
Waterville Valley,Grafton,1829,508,64.9,Town meeting,Waterville Valley
Weare,Hillsborough,1764,9092,58.8,Town meeting,"Chase Village, Clinton Grove, North Weare, Riverdale, Slab City, South Weare, Tavern Village, Weare"
Webster,Merrimack,1860,1913,27.9,Town meeting,"Courser Hill, Dingit Corner, Gerrish Corner, Snyders Mill, Swetts Mills, Webster"
Wentworth,Grafton,1766,845,41.4,Town meeting,Wentworth
Westmoreland,Cheshire,1752,1706,35.9,Town meeting,"East Westmoreland, Gilboa, Park Hill, Poocham, Westmoreland, Westmoreland Depot"
Whitefield,Coös,1804,2490,34.2,Town meeting,"Hazens, Whitefield"
Wilmot,Merrimack,1807,1407,29.6,Town meeting,"North Wilmot, Wilmot, Wilmot Flat"
Wilton,Hillsborough,1762,3896,25.8,Town meeting,"Davisville, West Wilton, Wilton, Wilton Center"
Winchester,Cheshire,1753,4150,54.9,Town meeting,"Ashuelot, Camp Forest Lake, Curtis Corner, Scotland, Winchester"
Windham,Rockingham,1742,15817,26.8,Town meeting,"West Windham, Windham, Windham Depot"
Windsor,Hillsborough,1798,262,8.3,Town meeting,Windsor
Wolfeboro,Carroll,1770,6416,47.9,Town meeting (with town manager),"Cotton Valley Station, East Wolfeboro, Fernald, Goose Corner, Keewayden, North Wolfeboro, South Wolfeboro, Stockbridge Corner, Wolfeboro, Wolfeboro Center, Wolfeboro Falls"
,,,,,,
